lineage,status,scale_source,k_src,n
esophagus,ok,shrunk,2,307876
eye,censored_ranked,shrunk,1,14654
eye,ok,shrunk,1,189482
fibroblast,censored_ranked,shrunk,1,10867
fibroblast,censored_ranked,shrunk,2,10184
fibroblast,ok,shrunk,1,25206
fibroblast,ok,shrunk,2,441826
gastric,censored_ranked,shrunk,1,22727
gastric,censored_ranked,shrunk,2,21405
gastric,censored_ranked,shrunk,3,532
gastric,ok,shrunk,1,86943
gastric,ok,shrunk,2,367858
gastric,ok,shrunk,3,73017
kidney,censored_ranked,shrunk,1,21978
kidney,censored_ranked,shrunk,2,12224
kidney,ok,shrunk,1,115083
kidney,ok,shrunk,2,371936
liver,censored_ranked,fallback_global,1,554
liver,censored_ranked,fallback_global,2,976
liver,censored_ranked,shrunk,1,8254
liver,censored_ranked,shrunk,2,12368
liver,ok,fallback_global,1,410
liver,ok,fallback_global,2,20962
liver,ok,shrunk,1,8158
liver,ok,shrunk,2,260942
lung,censored_ranked,fallback_global,1,2706
lung,censored_ranked,fallback_global,2,1126
lung,censored_ranked,fallback_global,3,614
lung,censored_ranked,shrunk,1,135137
lung,censored_ranked,shrunk,2,139451
lung,censored_ranked,shrunk,3,1455
lung,ok,fallback_global,1,4350
lung,ok,fallback_global,2,2838
lung,ok,fallback_global,3,41644
lung,ok,shrunk,1,531080
lung,ok,shrunk,2,2172406
lung,ok,shrunk,3,103560
lymphocyte,censored_ranked,fallback_global,1,859
lymphocyte,censored_ranked,fallback_global,2,197
lymphocyte,censored_ranked,fallback_global,3,123
lymphocyte,censored_ranked,shrunk,1,65440
lymphocyte,censored_ranked,shrunk,2,29140
lymphocyte,censored_ranked,shrunk,3,1152
lymphocyte,ok,fallback_global,1,1665
lymphocyte,ok,fallback_global,2,519
lymphocyte,ok,fallback_global,3,9250
lymphocyte,ok,shrunk,1,374621
lymphocyte,ok,shrunk,2,544050
lymphocyte,ok,shrunk,3,140882
ovary,censored_ranked,shrunk,1,54193
ovary,censored_ranked,shrunk,2,27893
ovary,censored_ranked,shrunk,3,2958
ovary,ok,shrunk,1,206786
ovary,ok,shrunk,2,472812
ovary,ok,shrunk,3,175015
pancreas,censored_ranked,fallback_global,1,2025
pancreas,censored_ranked,fallback_global,2,1588
pancreas,censored_ranked,shrunk,1,27855
pancreas,censored_ranked,shrunk,2,17762
pancreas,ok,fallback_global,1,11076
pancreas,ok,fallback_global,2,41440
pancreas,ok,shrunk,1,142659
pancreas,ok,shrunk,2,458779
peripheral_nervous_system,censored_ranked,fallback_global,1,1602
peripheral_nervous_system,censored_ranked,shrunk,1,24058
peripheral_nervous_system,censored_ranked,shrunk,2,5967
peripheral_nervous_system,ok,fallback_global,1,21022
peripheral_nervous_system,ok,shrunk,1,197508
peripheral_nervous_system,ok,shrunk,2,202742
plasma_cell,censored_ranked,fallback_global,1,1218
plasma_cell,censored_ranked,fallback_global,2,1566
plasma_cell,censored_ranked,shrunk,1,16995
plasma_cell,censored_ranked,shrunk,2,15341
plasma_cell,ok,fallback_global,1,717
plasma_cell,ok,fallback_global,2,28494
plasma_cell,ok,shrunk,1,42994
plasma_cell,ok,shrunk,2,282067
prostate,censored_ranked,fallback_global,1,1710
prostate,censored_ranked,fallback_global,2,284
prostate,censored_ranked,shrunk,1,8147
prostate,censored_ranked,shrunk,2,857
prostate,ok,fallback_global,1,11668
prostate,ok,fallback_global,2,21644
prostate,ok,shrunk,1,65649
prostate,ok,shrunk,2,63406
skin,censored_ranked,fallback_global,1,2750
skin,censored_ranked,fallback_global,2,1262
skin,censored_ranked,fallback_global,3,54
skin,censored_ranked,shrunk,1,45613
skin,censored_ranked,shrunk,2,19943
skin,ok,fallback_global,1,22614
skin,ok,fallback_global,2,31997
skin,ok,fallback_global,3,9953
skin,ok,shrunk,1,322483
skin,ok,shrunk,2,657125
soft_tissue,censored_ranked,shrunk,1,60212
soft_tissue,censored_ranked,shrunk,2,14072
soft_tissue,censored_ranked,shrunk,3,352
soft_tissue,ok,shrunk,1,414060
soft_tissue,ok,shrunk,2,281354
soft_tissue,ok,shrunk,3,39104
thyroid,censored_ranked,fallback_global,1,874
thyroid,censored_ranked,fallback_global,2,614
thyroid,censored_ranked,shrunk,1,10850
thyroid,censored_ranked,shrunk,2,3159
thyroid,ok,fallback_global,1,450
thyroid,ok,fallback_global,2,21070
thyroid,ok,shrunk,1,86131
thyroid,ok,shrunk,2,108983
unknown,censored_ranked,fallback_global,1,1091
unknown,censored_ranked,shrunk,1,75279
unknown,ok,fallback_global,1,11470
unknown,ok,shrunk,1,791430
upper_aerodigestive,censored_ranked,fallback_global,1,1011
upper_aerodigestive,censored_ranked,fallback_global,2,138
upper_aerodigestive,censored_ranked,fallback_global,3,34
upper_aerodigestive,censored_ranked,shrunk,1,38408
upper_aerodigestive,censored_ranked,shrunk,2,9891
upper_aerodigestive,censored_ranked,shrunk,3,170
upper_aerodigestive,ok,fallback_global,1,11515
upper_aerodigestive,ok,fallback_global,2,774
upper_aerodigestive,ok,fallback_global,3,9988
upper_aerodigestive,ok,shrunk,1,318837
upper_aerodigestive,ok,shrunk,2,347474
upper_aerodigestive,ok,shrunk,3,49940
urinary_tract,censored_ranked,shrunk,1,23091
urinary_tract,censored_ranked,shrunk,2,10186
urinary_tract,censored_ranked,shrunk,3,480
urinary_tract,ok,shrunk,1,147115
urinary_tract,ok,shrunk,2,224440
urinary_tract,ok,shrunk,3,82312
uterus,censored_ranked,fallback_global,1,434
uterus,censored_ranked,fallback_global,2,479
uterus,censored_ranked,shrunk,1,27554
uterus,censored_ranked,shrunk,2,14165
uterus,ok,fallback_global,1,186
uterus,ok,fallback_global,2,10398
uterus,ok,shrunk,1,148250
uterus,ok,shrunk,2,316726
