Geo_accession,CEL_file_names,title,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,characteristics_ch1,platform_id,contact_country,contact_institute,GSE_ID,GSE_filename,cell_line,disease,origin,Cellosaurus_ID,Cellline,Matching_Type,cell_line_Trimmed
GSM1017463,GSM1017463,DU145_4a,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,DU 145,Homo sapiens,gender: male,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,DU 145,moderately differentiated adenocarcinoma,,CVCL_0105,DU 145,Cello Cell line Synonym,du145
GSM1017464,GSM1017464,DU145_4b,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,DU 145,Homo sapiens,gender: male,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,DU 145,moderately differentiated adenocarcinoma,,CVCL_0105,DU 145,Cello Cell line Synonym,du145
GSM1017465,GSM1017465,DU145_4c,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,DU 145,Homo sapiens,gender: male,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,DU 145,moderately differentiated adenocarcinoma,,CVCL_0105,DU 145,Cello Cell line Synonym,du145
GSM1017466,GSM1017466,HACAT_5a,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,HaCaT,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,HaCaT,non-tumorigenic; spontaneously immortilized keratinocytes,,CVCL_0038,HaCaT,Cello Cell line Name,hacat
GSM1017467,GSM1017467,HACAT_5b,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,HaCaT,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,HaCaT,non-tumorigenic; spontaneously immortilized keratinocytes,,CVCL_0038,HaCaT,Cello Cell line Name,hacat
GSM1017468,GSM1017468,HACAT_5c,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,HaCaT,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,HaCaT,non-tumorigenic; spontaneously immortilized keratinocytes,,CVCL_0038,HaCaT,Cello Cell line Name,hacat
GSM1017469,GSM1017469,HCT116_6a,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,HCT 116,Homo sapiens,gender: male,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,HCT 116,colorectal carcinoma,,CVCL_0291,HCT 116,Cello Cell line Name,hct116
GSM1017470,GSM1017470,HCT116_6b,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,HCT 116,Homo sapiens,gender: male,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,HCT 116,colorectal carcinoma,,CVCL_0291,HCT 116,Cello Cell line Name,hct116
GSM1017471,GSM1017471,HCT116_6c,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,HCT 116,Homo sapiens,gender: male,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,HCT 116,colorectal carcinoma,,CVCL_0291,HCT 116,Cello Cell line Name,hct116
GSM1017472,GSM1017472,HELA_7a,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,HeLa,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,HeLa,adenocarcinoma,,CVCL_0030,HeLa,Cello Cell line Name,hela
GSM1017473,GSM1017473,HELA_7b,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,HeLa,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,HeLa,adenocarcinoma,,CVCL_0030,HeLa,Cello Cell line Name,hela
GSM1017474,GSM1017474,HELA_7c,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,HeLa,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,HeLa,adenocarcinoma,,CVCL_0030,HeLa,Cello Cell line Name,hela
GSM1017475,GSM1017475,HS68_8a,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,Hs68,Homo sapiens,gender: male,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,Hs68,non-tumorigenic; aspartoacylase deficiency; possible Canavan disease,,CVCL_0839,Hs68,Cello Cell line Synonym,hs68
GSM1017476,GSM1017476,HS68_8b,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,Hs68,Homo sapiens,gender: male,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,Hs68,non-tumorigenic; aspartoacylase deficiency; possible Canavan disease,,CVCL_0839,Hs68,Cello Cell line Synonym,hs68
GSM1017477,GSM1017477,HS68_8c,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,Hs68,Homo sapiens,gender: male,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,Hs68,non-tumorigenic; aspartoacylase deficiency; possible Canavan disease,,CVCL_0839,Hs68,Cello Cell line Synonym,hs68
GSM1017478,GSM1017478,HT29_9a,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,HT-29,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,HT-29,colorectal adenocarcinoma,,CVCL_0320,HT-29,Cello Cell line Name,ht29
GSM1017479,GSM1017479,HT29_9b,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,HT-29,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,HT-29,colorectal adenocarcinoma,,CVCL_0320,HT-29,Cello Cell line Name,ht29
GSM1017480,GSM1017480,HT29_9c,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,HT-29,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,HT-29,colorectal adenocarcinoma,,CVCL_0320,HT-29,Cello Cell line Name,ht29
GSM1017481,GSM1017481,KPL4_10a,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,KPL-4,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,KPL-4,invasive ductal carcinoma; inflammatory skin metastasis,,CVCL_5310,KPL-4,Cello Cell line Name,kpl4
GSM1017482,GSM1017482,KPL4_10b,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,KPL-4,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,KPL-4,invasive ductal carcinoma; inflammatory skin metastasis,,CVCL_5310,KPL-4,Cello Cell line Name,kpl4
GSM1017483,GSM1017483,KPL4_10c,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,KPL-4,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,KPL-4,invasive ductal carcinoma; inflammatory skin metastasis,,CVCL_5310,KPL-4,Cello Cell line Name,kpl4
GSM1017484,GSM1017484,MCF10A_11a,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,MCF 10A,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,MCF 10A,non-tumorigenic; Fibrocystic Breast disease,,CVCL_0598,MCF 10A,Cello Cell line Synonym,mcf10a
GSM1017485,GSM1017485,MCF10A_11b,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,MCF 10A,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,MCF 10A,non-tumorigenic; Fibrocystic Breast disease,,CVCL_0598,MCF 10A,Cello Cell line Synonym,mcf10a
GSM1017486,GSM1017486,MCF10A_11c,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,MCF 10A,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,MCF 10A,non-tumorigenic; Fibrocystic Breast disease,,CVCL_0598,MCF 10A,Cello Cell line Synonym,mcf10a
GSM1017487,GSM1017487,MCF7_12a,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,MCF7,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,MCF7,intraductal adenocarcinoma,,CVCL_0031,MCF7,Cello Cell line Synonym,mcf7
GSM1017488,GSM1017488,MCF7_12b,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,MCF7,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,MCF7,intraductal adenocarcinoma,,CVCL_0031,MCF7,Cello Cell line Synonym,mcf7
GSM1017489,GSM1017489,MCF7_12c,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,MCF7,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,MCF7,intraductal adenocarcinoma,,CVCL_0031,MCF7,Cello Cell line Synonym,mcf7
GSM1017490,GSM1017490,MDAMB231_13a,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,MDA-MB-231,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,MDA-MB-231,adenocarcinoma,,CVCL_0062,MDA-MB-231,Cello Cell line Name,mdamb231
GSM1017491,GSM1017491,MDAMB231_13b,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,MDA-MB-231,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,MDA-MB-231,adenocarcinoma,,CVCL_0062,MDA-MB-231,Cello Cell line Name,mdamb231
GSM1017492,GSM1017492,MDAMB231_13c,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,MDA-MB-231,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,MDA-MB-231,adenocarcinoma,,CVCL_0062,MDA-MB-231,Cello Cell line Name,mdamb231
GSM1017493,GSM1017493,MIAPACA2_14a,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,Mia PaCa-2,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,Mia PaCa-2,carcinoma,,CVCL_0428,MIA PaCa-2,Cello match alphanum,miapaca2
GSM1017494,GSM1017494,MIAPACA2_14b,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,Mia PaCa-2,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,Mia PaCa-2,carcinoma,,CVCL_0428,MIA PaCa-2,Cello match alphanum,miapaca2
GSM1017495,GSM1017495,MIAPACA2_14c,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,Mia PaCa-2,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,Mia PaCa-2,carcinoma,,CVCL_0428,MIA PaCa-2,Cello match alphanum,miapaca2
GSM1017496,GSM1017496,NCIH460_15a,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,NCI-H460,Homo sapiens,gender: male,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,NCI-H460,large cell carcinoma,,CVCL_0459,NCI-H460,Cello Cell line Name,ncih460
GSM1017497,GSM1017497,NCIH460_15b,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,NCI-H460,Homo sapiens,gender: male,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,NCI-H460,large cell carcinoma,,CVCL_0459,NCI-H460,Cello Cell line Name,ncih460
GSM1017498,GSM1017498,NCIH460_15c,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,NCI-H460,Homo sapiens,gender: male,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,NCI-H460,large cell carcinoma,,CVCL_0459,NCI-H460,Cello Cell line Name,ncih460
GSM1017499,GSM1017499,PC3_16a,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,PC-3,Homo sapiens,gender: male,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,PC-3,Gleason Grade 4; adenocarcinoma,,CVCL_0035,PC-3,Cello Cell line Name,pc3
GSM1017500,GSM1017500,PC3_16b,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,PC-3,Homo sapiens,gender: male,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,PC-3,Gleason Grade 4; adenocarcinoma,,CVCL_0035,PC-3,Cello Cell line Name,pc3
GSM1017501,GSM1017501,PC3_16c,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,PC-3,Homo sapiens,gender: male,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,PC-3,Gleason Grade 4; adenocarcinoma,,CVCL_0035,PC-3,Cello Cell line Name,pc3
GSM1017502,GSM1017502,SKMEL28_17a,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,SK-MEL-28,Homo sapiens,gender: male,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,SK-MEL-28,malignant melanoma,,CVCL_0526,SK-MEL-28,Cello Cell line Name,skmel28
GSM1017503,GSM1017503,SKMEL28_17b,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,SK-MEL-28,Homo sapiens,gender: male,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,SK-MEL-28,malignant melanoma,,CVCL_0526,SK-MEL-28,Cello Cell line Name,skmel28
GSM1017504,GSM1017504,SKMEL28_17c,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,SK-MEL-28,Homo sapiens,gender: male,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,SK-MEL-28,malignant melanoma,,CVCL_0526,SK-MEL-28,Cello Cell line Name,skmel28
GSM1017505,GSM1017505,SKOV3_18a,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,SK-OV-3,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,SK-OV-3,adenocarcinoma,,CVCL_0532,SK-OV-3,Cello Cell line Name,skov3
GSM1017506,GSM1017506,SKOV3_18b,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,SK-OV-3,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,SK-OV-3,adenocarcinoma,,CVCL_0532,SK-OV-3,Cello Cell line Name,skov3
GSM1017507,GSM1017507,SKOV3_18c,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,SK-OV-3,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,SK-OV-3,adenocarcinoma,,CVCL_0532,SK-OV-3,Cello Cell line Name,skov3
GSM1017508,GSM1017508,SW480_19a,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,SW480,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,SW480,Dukes' type B; colorectal adenocarcinoma,,CVCL_0546,SW480,Cello Cell line Name,sw480
GSM1017509,GSM1017509,SW480_19b,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,SW480,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,SW480,Dukes' type B; colorectal adenocarcinoma,,CVCL_0546,SW480,Cello Cell line Name,sw480
GSM1017510,GSM1017510,SW480_19c,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,SW480,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,SW480,Dukes' type B; colorectal adenocarcinoma,,CVCL_0546,SW480,Cello Cell line Name,sw480
GSM1017511,GSM1017511,T47D_20a,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,T47D,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,T47D,ductal carcinoma,,CVCL_0553,T47D,Cello Cell line Synonym,t47d
GSM1017512,GSM1017512,T47D_20b,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,T47D,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,T47D,ductal carcinoma,,CVCL_0553,T47D,Cello Cell line Synonym,t47d
GSM1017513,GSM1017513,T47D_20c,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,T47D,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,T47D,ductal carcinoma,,CVCL_0553,T47D,Cello Cell line Synonym,t47d
GSM1017514,GSM1017514,U2OS_21a,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,U-2 OS,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,U-2 OS,osteosarcoma,,CVCL_0042,U-2 OS,Cello Cell line Synonym,u2os
GSM1017515,GSM1017515,U2OS_21b,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,U-2 OS,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,U-2 OS,osteosarcoma,,CVCL_0042,U-2 OS,Cello Cell line Synonym,u2os
GSM1017516,GSM1017516,U2OS_21c,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,U-2 OS,Homo sapiens,gender: female,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,U-2 OS,osteosarcoma,,CVCL_0042,U-2 OS,Cello Cell line Synonym,u2os
GSM1035303,GSM1035303,,,,,,,,,,,,,,,,,,CVCL_1660,RL,Cello GEO GSM,
GSM1035304,GSM1035304,,,,,,,,,,,,,,,,,,CVCL_7082,,,
GSM1035305,GSM1035305,,,,,,,,,,,,,,,,,,CVCL_1885,Ri-1,Cello GEO GSM,
GSM1035306,GSM1035306,,,,,,,,,,,,,,,,,,CVCL_7082,,,
GSM1035307,GSM1035307,,,,,,,,,,,,,,,,,,CVCL_1793,WSU-NHL,Cello GEO GSM,
GSM1035308,GSM1035308,,,,,,,,,,,,,,,,,,CVCL_1902,WSU-DLCL2,Cello GEO GSM,
GSM1035309,GSM1035309,,,,,,,,,,,,,,,,,,CVCL_1819,VAL,Cello GEO GSM,
GSM1035310,GSM1035310,,,,,,,,,,,,,,,,,,CVCL_1890,SU-DHL-16,Cello GEO GSM,
GSM1035311,GSM1035311,,,,,,,,,,,,,,,,,,CVCL_2206,SU-DHL-6,Cello GEO GSM,
GSM1035312,GSM1035312,,,,,,,,,,,,,,,,,,CVCL_1889,SU-DHL-10,Cello GEO GSM,
GSM1035313,GSM1035313,,,,,,,,,,,,,,,,,,CVCL_1325,Karpas-422,Cello GEO GSM,
GSM1035314,GSM1035314,,,,,,,,,,,,,,,,,,CVCL_1290,HT,Cello GEO GSM,
GSM1035315,GSM1035315,,,,,,,,,,,,,,,,,,CVCL_1883,RC-K8,Cello GEO GSM,
GSM1035316,GSM1035316,,,,,,,,,,,,,,,,,,CVCL_2207,SU-DHL-8,Cello GEO GSM,
GSM1035317,GSM1035317,,,,,,,,,,,,,,,,,,CVCL_1735,SU-DHL-5,Cello GEO GSM,
GSM1035318,GSM1035318,,,,,,,,,,,,,,,,,,CVCL_7082,,,
GSM1035319,GSM1035319,,,,,,,,,,,,,,,,,,CVCL_7082,,,
GSM1035320,GSM1035320,,,,,,,,,,,,,,,,,,CVCL_1877,NU-DUL-1,Cello GEO GSM,
GSM1035321,GSM1035321,,,,,,,,,,,,,,,,,,CVCL_1168,DB,Cello GEO GSM,
GSM1035322,GSM1035322,,,,,,,,,,,,,,,,,,CVCL_0539,SU-DHL-4,Cello GEO GSM,
GSM1035323,GSM1035323,,,,,,,,,,,,,,,,,,CVCL_7082,,,
GSM1035324,GSM1035324,,,,,,,,,,,,,,,,,,CVCL_1888,Sc-1,Cello GEO GSM,
GSM1035325,GSM1035325,,,,,,,,,,,,,,,,,,CVCL_7082,,,
GSM1035326,GSM1035326,,,,,,,,,,,,,,,,,,CVCL_1878,OCI-Ly19,Cello GEO GSM,
GSM1035327,GSM1035327,,,,,,,,,,,,,,,,,,CVCL_1179,DoHH2,Cello GEO GSM,
GSM1035329,GSM1035329,,,,,,,,,,,,,,,,,,CVCL_7082,,,
GSM1035330,GSM1035330,,,,,,,,,,,,,,,,,,CVCL_1876,NU-DHL-1,Cello GEO GSM,
GSM1035331,GSM1035331,,,,,,,,,,,,,,,,,,CVCL_3302,Farage,Cello GEO GSM,
GSM1035332,GSM1035332,,,,,,,,,,,,,,,,,,CVCL_7082,,,
GSM1035333,GSM1035333,,,,,,,,,,,,,,,,,,CVCL_1881,OCI-Ly7,Cello GEO GSM,
GSM1035334,GSM1035334,,,,,,,,,,,,,,,,,,CVCL_3326,Pfeiffer,Cello GEO GSM,
GSM1035335,GSM1035335,,,,,,,,,,,,,,,,,,CVCL_7082,,,
GSM1035336,GSM1035336,,,,,,,,,,,,,,,,,,CVCL_3611,Toledo,Cello GEO GSM,
GSM1035337,GSM1035337,,,,,,,,,,,,,,,,,,CVCL_7082,,,
