Geo_accession,CEL_file_names,title,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,characteristics_ch1,platform_id,contact_country,contact_institute,GSE_ID,GSE_filename,cell_line,disease,origin,Cellosaurus_ID,Cellline,Matching_Type,cell_line_Trimmed
GSM101610,GSM101610,,,,,,,,,,,,,,,,,,CVCL_0131,A-172,Cello GEO GSM,
GSM101615,GSM101615,,,,,,,,,,,,,,,,,,CVCL_0393,LN-229,Cello GEO GSM,
GSM101616,GSM101616,,,,,,,,,,,,,,,,,,CVCL_0393,LN-229,Cello GEO GSM,
GSM101667,GSM101667,,,,,,,,,,,,,,,,,,CVCL_1715,SW1088,Cello GEO GSM,
GSM101668,GSM101668,,,,,,,,,,,,,,,,,,CVCL_1715,SW1088,Cello GEO GSM,
GSM101671,GSM101671,,,,,,,,,,,,,,,,,,CVCL_0633,U-118MG,Cello GEO GSM,
GSM101672,GSM101672,,,,,,,,,,,,,,,,,,CVCL_0633,U-118MG,Cello GEO GSM,
GSM101673,GSM101673,,,,,,,,,,,,,,,,,,CVCL_0020,U-138MG,Cello GEO GSM,
GSM101674,GSM101674,,,,,,,,,,,,,,,,,,CVCL_0020,U-138MG,Cello GEO GSM,
GSM101675,GSM101675,,,,,,,,,,,,,,,,,,CVCL_0021,U-251MG,Cello GEO GSM,
GSM101676,GSM101676,,,,,,,,,,,,,,,,,,CVCL_0022,U-87MG ATCC,Cello GEO GSM,
GSM101677,GSM101677,,,,,,,,,,,,,,,,,,CVCL_0021,U-251MG,Cello GEO GSM,
GSM101678,GSM101678,,,,,,,,,,,,,,,,,,CVCL_0021,U-251MG,Cello GEO GSM,
GSM101679,GSM101679,,,,,,,,,,,,,,,,,,CVCL_0021,U-251MG,Cello GEO GSM,
GSM101680,GSM101680,,,,,,,,,,,,,,,,,,CVCL_0021,U-251MG,Cello GEO GSM,
GSM101685,GSM101685,,,,,,,,,,,,,,,,,,CVCL_0021,U-251MG,Cello GEO GSM,
GSM101686,GSM101686,,,,,,,,,,,,,,,,,,CVCL_0022,U-87MG ATCC,Cello GEO GSM,
GSM101687,GSM101687,,,,,,,,,,,,,,,,,,CVCL_0022,U-87MG ATCC,Cello GEO GSM,
GSM101688,GSM101688,,,,,,,,,,,,,,,,,,CVCL_0022,U-87MG ATCC,Cello GEO GSM,
GSM1017454,GSM1017454,786O_1a,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,786-O,Homo sapiens,gender: male,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,786-O,renal cell adenocarcinoma,,CVCL_1051,786-O,Cello Cell line Name,786o
GSM1017455,GSM1017455,786O_1b,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,786-O,Homo sapiens,gender: male,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,786-O,renal cell adenocarcinoma,,CVCL_1051,786-O,Cello Cell line Name,786o
GSM1017456,GSM1017456,786O_1c,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,786-O,Homo sapiens,gender: male,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,786-O,renal cell adenocarcinoma,,CVCL_1051,786-O,Cello Cell line Name,786o
GSM1017457,GSM1017457,A549_2a,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,A549,Homo sapiens,gender: male,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,A549,non-small cell carcinoma,,CVCL_0023,A549,Cello Cell line Synonym,a549
GSM1017458,GSM1017458,A549_2b,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,A549,Homo sapiens,gender: male,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,A549,non-small cell carcinoma,,CVCL_0023,A549,Cello Cell line Synonym,a549
GSM1017459,GSM1017459,A549_2c,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,A549,Homo sapiens,gender: male,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,A549,non-small cell carcinoma,,CVCL_0023,A549,Cello Cell line Synonym,a549
GSM1017460,GSM1017460,CACO2_3a,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,Caco-2,Homo sapiens,gender: male,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,Caco-2,colorectal adenocarcinoma,,CVCL_0025,Caco-2,Cello Cell line Name,caco2
GSM1017461,GSM1017461,CACO2_3b,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,Caco-2,Homo sapiens,gender: male,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,Caco-2,colorectal adenocarcinoma,,CVCL_0025,Caco-2,Cello Cell line Name,caco2
GSM1017462,GSM1017462,CACO2_3c,Public on Oct 10 2012,Oct 10 2012,Oct 10 2012,RNA,1.0,Caco-2,Homo sapiens,gender: male,GPL570,Germany,Bayer Pharma AG,GSE41445,GSE41445_series_matrix.txt.gz,Caco-2,colorectal adenocarcinoma,,CVCL_0025,Caco-2,Cello Cell line Name,caco2
