ProfileID,ModelCondition,ModelID,Datatype,WESKit
PR-0z5dYr,MC-001193-ObM2,ACH-001193,rna,
PR-0ZqBjs,MC-000577-J7sN,ACH-000577,rna,
PR-0zqOQm,MC-000371-fnbQ,ACH-000371,rna,
PR-0Zt9XK,MC-001795-P5GZ,ACH-001795,rna,
PR-10vZ6j,MC-000753-DxZw,ACH-000753,wes,AGILENT
PR-11IVol,MC-000595-Ssey,ACH-000595,wes,AGILENT
PR-11LrS9,MC-000802-XNE7,ACH-000802,wes,AGILENT
PR-11OFEY,MC-000900-lYab,ACH-000900,wes,AGILENT
PR-12QdUO,MC-000964-tTts,ACH-000964,wes,AGILENT
PR-12qkb6,MC-001846-eTrK,ACH-001846,rna,
PR-12SQGk,MC-000558-HsPe,ACH-000558,wes,AGILENT
PR-132fPs,MC-000653-q5Vl,ACH-000653,wes,AGILENT
PR-14sBTC,MC-000434-8t7w,ACH-000434,wes,ICE
PR-191Fbv,MC-000837-xXNo,ACH-000837,wes,ICE
PR-1930g1,MC-000563-jCCJ,ACH-000563,wes,AGILENT
PR-1a8HqD,MC-000948-TWxM,ACH-000948,wgs,
PR-1ah9FQ,MC-000508-Bwd0,ACH-000508,wgs,
PR-1B5abd,MC-000499-mIS1,ACH-000499,wes,AGILENT
PR-1CYINn,MC-000486-zsD2,ACH-000486,wgs,
PR-1Dpd7i,MC-000986-UTzf,ACH-000986,wgs,
PR-1dX3q2,MC-000723-XaoY,ACH-000723,wes,AGILENT
PR-1e83fN,MC-000356-xmV6,ACH-000356,wgs,
PR-1ExPUw,MC-002023-a5ob,ACH-002023,wes,ICE
PR-1fyy3l,MC-002364-MRqD,ACH-002364,wes,AGILENT
PR-1GbOQ3,MC-000822-5No9,ACH-000822,rna,
PR-1hnFd4,MC-000556-YK2Z,ACH-000556,rna,
PR-1I95pE,MC-001578-zUzM,ACH-001578,wes,AGILENT
PR-1ip1tY,MC-002141-tkp3,ACH-002141,wes,AGILENT
PR-1JkFPD,MC-001370-W35c,ACH-001370,wes,ICE
PR-1jLfJo,MC-000238-rNv7,ACH-000238,wes,AGILENT
PR-1JTXkC,MC-000589-DVAf,ACH-000589,wgs,
PR-1Ju43a,MC-000082-zify,ACH-000082,wgs,
PR-1jxOSO,MC-000154-Ip6F,ACH-000154,rna,
PR-1KE6K3,MC-000819-hAT2,ACH-000819,wgs,
PR-1kfdq0,MC-000599-SvzV,ACH-000599,wes,AGILENT
PR-1KtKNh,MC-000942-b3sA,ACH-000942,wes,AGILENT
PR-1L6wsI,MC-001410-v8bP,ACH-001410,rna,
PR-1mxODI,MC-001680-amSC,ACH-001680,wes,AGILENT
PR-1nMfGT,MC-000767-kxY9,ACH-000767,rna,
PR-1ofDIZ,MC-001738-GVx0,ACH-001738,wes,AGILENT
PR-1og6pR,MC-000883-Soug,ACH-000883,rna,
PR-1oT3fV,MC-000985-wCMb,ACH-000985,rna,
PR-1Oypwt,MC-000150-x7RT,ACH-000150,rna,
PR-1P0pL3,MC-002368-1MMJ,ACH-002368,wes,AGILENT
PR-1p5gBP,MC-002356-6Mia,ACH-002356,wes,AGILENT
PR-1ri2y7,MC-001791-uBwq,ACH-001791,rna,
PR-1ROJWL,MC-000117-n0Mf,ACH-000117,wes,AGILENT
PR-1sOqpV,MC-000716-fcc9,ACH-000716,wes,AGILENT
PR-1SxiAL,MC-001142-o8Gg,ACH-001142,rna,
PR-1T6Ogc,MC-001709-uqbT,ACH-001709,wgs,
PR-1tFrLv,MC-001205-qL1Z,ACH-001205,wes,AGILENT
PR-1Tiri5,MC-000679-4DaG,ACH-000679,rna,
PR-1TN3aP,MC-000496-10Gs,ACH-000496,wgs,
PR-1TpRzd,MC-001278-XOlL,ACH-001278,wes,ICE
PR-1tswkQ,MC-000500-AuBV,ACH-000500,rna,
PR-1Uo7R0,MC-000363-oBSH,ACH-000363,wes,AGILENT
PR-1vrwZu,MC-000482-VfTP,ACH-000482,rna,
PR-1wr0dD,MC-000236-1iU3,ACH-000236,rna,
PR-1WZfVC,MC-000403-3khV,ACH-000403,rna,
PR-1x4KRV,MC-000025-jryP,ACH-000025,rna,
PR-1xuv37,MC-001417-QWc5,ACH-001417,wes,AGILENT
PR-1yNVXd,MC-001765-czdh,ACH-001765,wes,ICE
PR-1ysvRM,MC-000325-SArX,ACH-000325,wes,AGILENT
PR-1YXvdo,MC-000966-gj8L,ACH-000966,wes,AGILENT
PR-1z1P4o,MC-000203-Ylfj,ACH-000203,wes,AGILENT
PR-1ZmtTs,MC-000053-6XfB,ACH-000053,rna,
PR-2056gD,MC-000789-RFW6,ACH-000789,wes,AGILENT
PR-20INxP,MC-002206-0UHF,ACH-002206,wes,AGILENT
PR-20Kvag,MC-002314-4BVq,ACH-002314,wes,AGILENT
PR-21pydG,MC-000538-s70K,ACH-000538,wes,AGILENT
PR-22NLFP,MC-000135-L9Ng,ACH-000135,wes,AGILENT
PR-24alez,MC-000945-JzaO,ACH-000945,rna,
