method,cluster,n_lines,top_tissue,top_tissue_frac,cross_tissue,nearly_pure,breakdown_json
HC_avg_k24,23,58,soft_tissue,0.3448275862068966,True,False,"{""soft_tissue"": 0.3448, ""lung"": 0.1897, ""ovary"": 0.1207, ""uterus"": 0.069, ""kidney"": 0.069, ""bile_duct"": 0.0345, ""central_nervous_system"": 0.0345, ""esophagus"": 0.0172, ""gastric"": 0.0172, ""pancreas"": 0.0172, ""breast"": 0.0172, ""bone"": 0.0172, ""liver"": 0.0172, ""adrenal_cortex"": 0.0172, ""cervix"": 0.0172}"
HC_avg_k24,24,1,gastric,1.0,False,True,"{""gastric"": 1.0}"
HC_avg_k29,1,28,liver,0.4642857142857143,True,False,"{""liver"": 0.4643, ""bile_duct"": 0.3929, ""gastric"": 0.0714, ""lung"": 0.0357, ""pancreas"": 0.0357}"
HC_avg_k29,2,2,thyroid,1.0,False,True,"{""thyroid"": 1.0}"
HC_avg_k29,3,59,kidney,0.6779661016949152,False,False,"{""kidney"": 0.678, ""ovary"": 0.1525, ""urinary_tract"": 0.0508, ""uterus"": 0.0508, ""soft_tissue"": 0.0339, ""liver"": 0.0169, ""lung"": 0.0169}"
HC_avg_k29,4,2,lung,1.0,False,True,"{""lung"": 1.0}"
HC_avg_k29,5,21,lung,0.6666666666666666,False,False,"{""lung"": 0.6667, ""cervix"": 0.1905, ""bile_duct"": 0.0476, ""gastric"": 0.0476, ""uterus"": 0.0476}"
HC_avg_k29,6,28,lung,0.42857142857142855,True,False,"{""lung"": 0.4286, ""pancreas"": 0.25, ""bile_duct"": 0.1786, ""esophagus"": 0.0357, ""gastric"": 0.0357, ""thyroid"": 0.0357, ""ovary"": 0.0357}"
HC_avg_k29,7,9,breast,1.0,False,True,"{""breast"": 1.0}"
HC_avg_k29,8,56,ovary,0.5714285714285714,False,False,"{""ovary"": 0.5714, ""uterus"": 0.3929, ""breast"": 0.0179, ""liver"": 0.0179}"
HC_avg_k29,9,443,colorectal,0.17381489841986456,True,False,"{""colorectal"": 0.1738, ""lung"": 0.1648, ""upper_aerodigestive"": 0.14, ""breast"": 0.1106, ""pancreas"": 0.0926, ""gastric"": 0.0655, ""esophagus"": 0.0609, ""urinary_tract"": 0.0542, ""bile_duct"": 0.0519, ""cervix"": 0.0271, ""prostate"": 0.0226, ""ovary"": 0.0158, ""skin"": 0.0113, ""central_nervous_system"": 0.0023, ""thyroid"": 0.0023, ""uterus"": 0.0023, ""epidermoid_carcinoma"": 0.0023}"
HC_avg_k29,10,3,colorectal,0.6666666666666666,False,False,"{""colorectal"": 0.6667, ""gastric"": 0.3333}"
HC_avg_k29,11,2,prostate,1.0,False,True,"{""prostate"": 1.0}"
HC_avg_k29,12,5,esophagus,0.4,True,False,"{""esophagus"": 0.4, ""gastric"": 0.2, ""urinary_tract"": 0.2, ""upper_aerodigestive"": 0.2}"
HC_avg_k29,13,1,central_nervous_system,1.0,False,True,"{""central_nervous_system"": 1.0}"
HC_avg_k29,14,259,blood,0.444015444015444,True,False,"{""blood"": 0.444, ""lymphocyte"": 0.4363, ""plasma_cell"": 0.1158, ""lung"": 0.0039}"
HC_avg_k29,15,120,skin,0.8083333333333333,False,False,"{""skin"": 0.8083, ""eye"": 0.1, ""central_nervous_system"": 0.0417, ""soft_tissue"": 0.0167, ""peripheral_nervous_system"": 0.0167, ""bile_duct"": 0.0083, ""unknown"": 0.0083}"
HC_avg_k29,16,1,skin,1.0,False,True,"{""skin"": 1.0}"
HC_avg_k29,17,3,lung,0.3333333333333333,True,False,"{""lung"": 0.3333, ""liver"": 0.3333, ""breast"": 0.3333}"
HC_avg_k29,18,320,central_nervous_system,0.25,True,False,"{""central_nervous_system"": 0.25, ""soft_tissue"": 0.1219, ""lung"": 0.1219, ""fibroblast"": 0.1187, ""bone"": 0.0594, ""thyroid"": 0.0406, ""skin"": 0.0375, ""peripheral_nervous_system"": 0.0344, ""unknown"": 0.025, ""eye"": 0.025, ""breast"": 0.0219, ""liver"": 0.0187, ""uterus"": 0.0156, ""ovary"": 0.0156, ""upper_aerodigestive"": 0.0156, ""urinary_tract"": 0.0156, ""muscle"": 0.0156, ""gastric"": 0.0125, ""bile_duct"": 0.0094, ""kidney"": 0.0063, ""hair"": 0.0063, ""pleura"": 0.0031, ""embryo"": 0.0031, ""colorectal"": 0.0031, ""pancreas"": 0.0031}"
HC_avg_k29,19,12,lung,0.5,False,False,"{""lung"": 0.5, ""thyroid"": 0.4167, ""ovary"": 0.0833}"
HC_avg_k29,20,22,lung,0.22727272727272727,True,False,"{""lung"": 0.2273, ""urinary_tract"": 0.1818, ""ovary"": 0.1364, ""uterus"": 0.0909, ""bone"": 0.0909, ""central_nervous_system"": 0.0455, ""cervix"": 0.0455, ""thyroid"": 0.0455, ""breast"": 0.0455, ""pancreas"": 0.0455, ""upper_aerodigestive"": 0.0455}"
HC_avg_k29,21,3,colorectal,0.3333333333333333,True,False,"{""colorectal"": 0.3333, ""lung"": 0.3333, ""bile_duct"": 0.3333}"
HC_avg_k29,22,44,soft_tissue,0.5909090909090909,False,False,"{""soft_tissue"": 0.5909, ""bone"": 0.1818, ""skin"": 0.0682, ""liver"": 0.0455, ""gastric"": 0.0227, ""kidney"": 0.0227, ""peripheral_nervous_system"": 0.0227, ""testis"": 0.0227, ""central_nervous_system"": 0.0227}"
HC_avg_k29,23,17,testis,0.35294117647058826,True,False,"{""testis"": 0.3529, ""embryo"": 0.1765, ""uterus"": 0.1765, ""blood"": 0.0588, ""gastric"": 0.0588, ""liver"": 0.0588, ""colorectal"": 0.0588, ""ovary"": 0.0588}"
HC_avg_k29,24,148,lung,0.4594594594594595,True,False,"{""lung"": 0.4595, ""peripheral_nervous_system"": 0.2027, ""bone"": 0.1622, ""central_nervous_system"": 0.0338, ""upper_aerodigestive"": 0.0203, ""colorectal"": 0.0203, ""gastric"": 0.0203, ""eye"": 0.0135, ""uterus"": 0.0135, ""ovary"": 0.0068, ""thyroid"": 0.0068, ""adrenal_cortex"": 0.0068, ""breast"": 0.0068, ""cervix"": 0.0068, ""prostate"": 0.0068, ""pancreas"": 0.0068, ""skin"": 0.0068}"
HC_avg_k29,25,5,pancreas,0.4,True,False,"{""pancreas"": 0.4, ""gastric"": 0.2, ""lung"": 0.2, ""esophagus"": 0.2}"
HC_avg_k29,26,1,soft_tissue,1.0,False,True,"{""soft_tissue"": 1.0}"
HC_avg_k29,27,3,soft_tissue,0.6666666666666666,False,False,"{""soft_tissue"": 0.6667, ""ovary"": 0.3333}"
HC_avg_k29,28,55,soft_tissue,0.32727272727272727,True,False,"{""soft_tissue"": 0.3273, ""lung"": 0.2, ""ovary"": 0.1091, ""uterus"": 0.0727, ""kidney"": 0.0727, ""bile_duct"": 0.0364, ""central_nervous_system"": 0.0364, ""esophagus"": 0.0182, ""gastric"": 0.0182, ""pancreas"": 0.0182, ""breast"": 0.0182, ""bone"": 0.0182, ""liver"": 0.0182, ""adrenal_cortex"": 0.0182, ""cervix"": 0.0182}"
HC_avg_k29,29,1,gastric,1.0,False,True,"{""gastric"": 1.0}"
HC_avg_k34,1,28,liver,0.4642857142857143,True,False,"{""liver"": 0.4643, ""bile_duct"": 0.3929, ""gastric"": 0.0714, ""lung"": 0.0357, ""pancreas"": 0.0357}"
HC_avg_k34,2,2,thyroid,1.0,False,True,"{""thyroid"": 1.0}"
HC_avg_k34,3,59,kidney,0.6779661016949152,False,False,"{""kidney"": 0.678, ""ovary"": 0.1525, ""urinary_tract"": 0.0508, ""uterus"": 0.0508, ""soft_tissue"": 0.0339, ""liver"": 0.0169, ""lung"": 0.0169}"
HC_avg_k34,4,2,lung,1.0,False,True,"{""lung"": 1.0}"
HC_avg_k34,5,21,lung,0.6666666666666666,False,False,"{""lung"": 0.6667, ""cervix"": 0.1905, ""bile_duct"": 0.0476, ""gastric"": 0.0476, ""uterus"": 0.0476}"
HC_avg_k34,6,16,pancreas,0.4375,True,False,"{""pancreas"": 0.4375, ""bile_duct"": 0.25, ""lung"": 0.125, ""esophagus"": 0.0625, ""gastric"": 0.0625, ""ovary"": 0.0625}"
HC_avg_k34,7,12,lung,0.8333333333333334,False,False,"{""lung"": 0.8333, ""bile_duct"": 0.0833, ""thyroid"": 0.0833}"
HC_avg_k34,8,9,breast,1.0,False,True,"{""breast"": 1.0}"
HC_avg_k34,9,56,ovary,0.5714285714285714,False,False,"{""ovary"": 0.5714, ""uterus"": 0.3929, ""breast"": 0.0179, ""liver"": 0.0179}"
HC_avg_k34,10,443,colorectal,0.17381489841986456,True,False,"{""colorectal"": 0.1738, ""lung"": 0.1648, ""upper_aerodigestive"": 0.14, ""breast"": 0.1106, ""pancreas"": 0.0926, ""gastric"": 0.0655, ""esophagus"": 0.0609, ""urinary_tract"": 0.0542, ""bile_duct"": 0.0519, ""cervix"": 0.0271, ""prostate"": 0.0226, ""ovary"": 0.0158, ""skin"": 0.0113, ""central_nervous_system"": 0.0023, ""thyroid"": 0.0023, ""uterus"": 0.0023, ""epidermoid_carcinoma"": 0.0023}"
HC_avg_k34,11,3,colorectal,0.6666666666666666,False,False,"{""colorectal"": 0.6667, ""gastric"": 0.3333}"
HC_avg_k34,12,2,prostate,1.0,False,True,"{""prostate"": 1.0}"
HC_avg_k34,13,5,esophagus,0.4,True,False,"{""esophagus"": 0.4, ""gastric"": 0.2, ""urinary_tract"": 0.2, ""upper_aerodigestive"": 0.2}"
HC_avg_k34,14,1,central_nervous_system,1.0,False,True,"{""central_nervous_system"": 1.0}"
HC_avg_k34,15,259,blood,0.444015444015444,True,False,"{""blood"": 0.444, ""lymphocyte"": 0.4363, ""plasma_cell"": 0.1158, ""lung"": 0.0039}"
HC_avg_k34,16,120,skin,0.8083333333333333,False,False,"{""skin"": 0.8083, ""eye"": 0.1, ""central_nervous_system"": 0.0417, ""soft_tissue"": 0.0167, ""peripheral_nervous_system"": 0.0167, ""bile_duct"": 0.0083, ""unknown"": 0.0083}"
HC_avg_k34,17,1,skin,1.0,False,True,"{""skin"": 1.0}"
