ensg,symbol,cohen_d,direction
ensg00000125618,ensg00000125618,3.3830653585985173,up
ensg00000153822,ensg00000153822,3.2705059826591865,up
ensg00000146038,ensg00000146038,3.217611110318708,up
ensg00000113249,ensg00000113249,3.206890539597701,up
ensg00000166589,ensg00000166589,2.8318220400804384,up
ensg00000100557,ensg00000100557,2.819700755527353,up
ensg00000113946,ensg00000113946,2.8093077511668527,up
ensg00000171234,ensg00000171234,2.7507470150643516,up
ensg00000275410,ensg00000275410,2.536698536137705,up
ensg00000241935,ensg00000241935,2.4718431526818736,up
ensg00000125872,ensg00000125872,2.452824502337863,up
ensg00000137731,ensg00000137731,2.4322981026617705,up
ensg00000124564,ensg00000124564,2.3282727111763815,up
ensg00000046889,ensg00000046889,2.3029503575133705,up
ensg00000128242,ensg00000128242,2.2909243701261066,up
ensg00000124568,ensg00000124568,2.271122681696032,up
ensg00000145850,ensg00000145850,2.252572742361496,up
ensg00000136883,ensg00000136883,2.2512450683220315,up
ensg00000263961,ensg00000263961,2.2436170120472037,up
ensg00000156427,ensg00000156427,2.228928298426565,up
ensg00000173660,ensg00000173660,-1.3678397519862335,down
ensg00000135090,ensg00000135090,-1.1754153858907632,down
ensg00000100578,ensg00000100578,-1.1014914464318457,down
ensg00000166477,ensg00000166477,-1.0465374765472863,down
ensg00000112039,ensg00000112039,-1.028770695813038,down
ensg00000163939,ensg00000163939,-1.021966503959614,down
ensg00000176438,ensg00000176438,-1.004342406610993,down
ensg00000084070,ensg00000084070,-1.003702408660732,down
ensg00000174485,ensg00000174485,-0.9798266936167169,down
ensg00000164038,ensg00000164038,-0.9766764998166363,down
ensg00000125952,ensg00000125952,-0.9623131400521312,down
ensg00000169018,ensg00000169018,-0.9370546736722716,down
ensg00000090061,ensg00000090061,-0.9334688298698117,down
ensg00000085377,ensg00000085377,-0.9162306029071295,down
ensg00000092020,ensg00000092020,-0.9073294859629274,down
ensg00000108788,ensg00000108788,-0.9018326159564803,down
ensg00000078304,ensg00000078304,-0.8882417353060315,down
ensg00000173598,ensg00000173598,-0.8865577511332098,down
ensg00000166411,ensg00000166411,-0.8850473115450931,down
ensg00000119397,ensg00000119397,-0.8837505278681643,down
