name,n_clusters,ari,nmi,null_ari_mean,null_ari_sd,null_nmi_mean,null_nmi_sd,ari_pct_above_null,nmi_pct_above_null
HC_avg_k24,24,0.21866831272774953,0.496839552264865,3.250286149645159e-05,0.0019587529090299696,0.061244224999952905,0.003071288780162952,1.0,1.0
HC_avg_k29,29,0.21867915627301154,0.49796295305054705,3.862929131821733e-05,0.0019920860962187622,0.0656754486460337,0.0029849974985935827,1.0,1.0
HC_avg_k34,34,0.21929351278445264,0.5038289907210142,-8.083596206142686e-05,0.002068585557167619,0.07392741095367149,0.0028875290466835713,1.0,1.0
HC_avg_k39,39,0.22282711712584388,0.5091575174381465,-5.8787330568986875e-05,0.002002522330361574,0.08020014482710414,0.002979661799817746,1.0,1.0
HC_avg_k44,44,0.2711834928891626,0.5237737984778456,-0.00010400683867820447,0.0016686403211426627,0.08702631947481498,0.0031510539461655387,1.0,1.0
HC_avg_k51,51,0.28169500047255663,0.5348248166045527,-5.1737805401326296e-05,0.0017957847055544685,0.09695680789528134,0.003038125547213099,1.0,1.0
Louvain_k10,18,0.26521919069205896,0.5505876670694436,-3.1919634422952065e-06,0.002087241834852788,0.05703032715646584,0.003051015219250149,1.0,1.0
Louvain_k15,15,0.24013106801321313,0.5239408038392225,-4.4096245093319784e-05,0.001821818156080769,0.04864921193344694,0.0028967310897557736,1.0,1.0
Louvain_k20,14,0.25474637006764417,0.5224169368631526,4.447410415860478e-05,0.0019146483726485669,0.045919340299258135,0.002955801238988147,1.0,1.0
Louvain_k30,11,0.247267516030257,0.5037040081192754,2.7966391620149825e-05,0.0017049018572926071,0.03719074060934859,0.002731568582835472,1.0,1.0
