ensg_id,bucket,source_biotype
ensg00000261884,B_no_hgnc_anchor,
ensg00000261915,B_no_hgnc_anchor,
ensg00000261934,B_no_hgnc_anchor,
ensg00000262209,B_no_hgnc_anchor,
ensg00000262302,B_no_hgnc_anchor,
ensg00000262304,B_no_hgnc_anchor,
ensg00000262526,B_no_hgnc_anchor,
ensg00000262560,B_no_hgnc_anchor,
ensg00000262576,B_no_hgnc_anchor,
ensg00000262633,B_no_hgnc_anchor,
ensg00000262660,B_no_hgnc_anchor,
ensg00000263020,B_no_hgnc_anchor,
ensg00000263620,B_no_hgnc_anchor,
ensg00000263809,B_no_hgnc_anchor,
ensg00000264058,B_no_hgnc_anchor,
ensg00000264187,B_no_hgnc_anchor,
ensg00000264324,B_no_hgnc_anchor,
ensg00000264668,B_no_hgnc_anchor,
ensg00000264813,B_no_hgnc_anchor,
ensg00000265118,B_no_hgnc_anchor,
ensg00000265303,B_no_hgnc_anchor,
ensg00000266076,B_no_hgnc_anchor,
ensg00000266086,B_no_hgnc_anchor,
ensg00000266202,B_no_hgnc_anchor,
ensg00000266302,B_no_hgnc_anchor,
ensg00000266728,B_no_hgnc_anchor,
ensg00000266953,B_no_hgnc_anchor,
ensg00000266997,B_no_hgnc_anchor,
ensg00000267001,B_no_hgnc_anchor,
ensg00000267022,B_no_hgnc_anchor,
ensg00000267059,B_no_hgnc_anchor,
ensg00000267110,B_no_hgnc_anchor,
ensg00000267127,B_no_hgnc_anchor,
ensg00000267140,B_no_hgnc_anchor,
ensg00000267157,B_no_hgnc_anchor,
ensg00000267168,B_no_hgnc_anchor,
ensg00000267173,B_no_hgnc_anchor,
ensg00000267179,B_no_hgnc_anchor,
ensg00000267228,B_no_hgnc_anchor,
ensg00000267261,B_no_hgnc_anchor,
ensg00000267303,B_no_hgnc_anchor,
ensg00000267314,B_no_hgnc_anchor,
ensg00000267318,B_no_hgnc_anchor,
ensg00000267335,B_no_hgnc_anchor,
ensg00000267360,B_no_hgnc_anchor,
ensg00000267426,B_no_hgnc_anchor,
ensg00000267477,B_no_hgnc_anchor,
ensg00000267552,B_no_hgnc_anchor,
ensg00000267561,B_no_hgnc_anchor,
ensg00000267618,B_no_hgnc_anchor,
ensg00000267699,B_no_hgnc_anchor,
ensg00000267706,B_no_hgnc_anchor,
ensg00000267740,B_no_hgnc_anchor,
ensg00000267748,B_no_hgnc_anchor,
ensg00000267881,B_no_hgnc_anchor,
ensg00000267952,B_no_hgnc_anchor,
ensg00000268083,B_no_hgnc_anchor,
ensg00000268107,B_no_hgnc_anchor,
ensg00000268133,B_no_hgnc_anchor,
ensg00000268163,B_no_hgnc_anchor,
ensg00000268173,B_no_hgnc_anchor,
ensg00000268193,B_no_hgnc_anchor,
ensg00000268361,B_no_hgnc_anchor,
ensg00000268434,B_no_hgnc_anchor,
ensg00000268465,B_no_hgnc_anchor,
ensg00000268500,B_no_hgnc_anchor,
ensg00000268533,B_no_hgnc_anchor,
ensg00000268643,B_no_hgnc_anchor,
ensg00000268674,B_no_hgnc_anchor,
ensg00000268750,B_no_hgnc_anchor,
ensg00000268790,B_no_hgnc_anchor,
ensg00000268797,B_no_hgnc_anchor,
ensg00000268870,B_no_hgnc_anchor,
ensg00000269026,B_no_hgnc_anchor,
ensg00000269035,B_no_hgnc_anchor,
ensg00000269095,B_no_hgnc_anchor,
ensg00000269179,B_no_hgnc_anchor,
ensg00000269237,B_no_hgnc_anchor,
ensg00000269307,B_no_hgnc_anchor,
ensg00000269469,B_no_hgnc_anchor,
ensg00000269476,B_no_hgnc_anchor,
ensg00000269533,B_no_hgnc_anchor,
ensg00000269547,B_no_hgnc_anchor,
ensg00000269590,B_no_hgnc_anchor,
ensg00000269693,B_no_hgnc_anchor,
ensg00000269711,B_no_hgnc_anchor,
ensg00000269755,B_no_hgnc_anchor,
ensg00000269825,B_no_hgnc_anchor,
ensg00000270149,B_no_hgnc_anchor,
ensg00000270249,B_no_hgnc_anchor,
ensg00000270299,B_no_hgnc_anchor,
ensg00000271254,B_no_hgnc_anchor,
ensg00000271741,B_no_hgnc_anchor,
ensg00000271793,B_no_hgnc_anchor,
ensg00000271810,B_no_hgnc_anchor,
ensg00000271949,B_no_hgnc_anchor,
ensg00000272104,B_no_hgnc_anchor,
ensg00000272162,B_no_hgnc_anchor,
ensg00000272297,B_no_hgnc_anchor,
ensg00000272305,B_no_hgnc_anchor,
ensg00000272410,B_no_hgnc_anchor,
ensg00000272442,B_no_hgnc_anchor,
ensg00000272617,B_no_hgnc_anchor,
ensg00000272647,B_no_hgnc_anchor,
ensg00000272741,B_no_hgnc_anchor,
ensg00000272772,B_no_hgnc_anchor,
ensg00000272822,B_no_hgnc_anchor,
ensg00000272896,B_no_hgnc_anchor,
ensg00000272897,B_no_hgnc_anchor,
ensg00000272916,B_no_hgnc_anchor,
ensg00000272921,B_no_hgnc_anchor,
ensg00000272980,B_no_hgnc_anchor,
ensg00000273025,B_no_hgnc_anchor,
ensg00000273047,B_no_hgnc_anchor,
ensg00000273049,B_no_hgnc_anchor,
ensg00000273088,B_no_hgnc_anchor,
ensg00000273154,B_no_hgnc_anchor,
ensg00000273155,B_no_hgnc_anchor,
ensg00000273167,B_no_hgnc_anchor,
ensg00000273171,B_no_hgnc_anchor,
ensg00000273217,B_no_hgnc_anchor,
ensg00000273259,B_no_hgnc_anchor,
ensg00000273269,B_no_hgnc_anchor,
ensg00000273291,B_no_hgnc_anchor,
ensg00000273345,B_no_hgnc_anchor,
ensg00000273398,B_no_hgnc_anchor,
ensg00000273554,B_no_hgnc_anchor,
ensg00000273734,B_no_hgnc_anchor,
ensg00000273748,B_no_hgnc_anchor,
ensg00000274175,B_no_hgnc_anchor,
ensg00000274322,B_no_hgnc_anchor,
ensg00000274792,B_no_hgnc_anchor,
ensg00000274944,B_no_hgnc_anchor,
ensg00000275063,B_no_hgnc_anchor,
ensg00000275163,B_no_hgnc_anchor,
ensg00000275249,B_no_hgnc_anchor,
ensg00000275674,B_no_hgnc_anchor,
ensg00000275778,B_no_hgnc_anchor,
ensg00000275869,B_no_hgnc_anchor,
ensg00000276017,B_no_hgnc_anchor,
ensg00000276087,B_no_hgnc_anchor,
ensg00000276256,B_no_hgnc_anchor,
ensg00000276302,B_no_hgnc_anchor,
ensg00000276345,B_no_hgnc_anchor,
ensg00000276418,B_no_hgnc_anchor,
ensg00000276490,B_no_hgnc_anchor,
ensg00000276547,B_no_hgnc_anchor,
ensg00000276760,B_no_hgnc_anchor,
ensg00000277196,B_no_hgnc_anchor,
ensg00000277400,B_no_hgnc_anchor,
ensg00000277475,B_no_hgnc_anchor,
ensg00000277611,B_no_hgnc_anchor,
ensg00000277630,B_no_hgnc_anchor,
ensg00000277836,B_no_hgnc_anchor,
ensg00000277856,B_no_hgnc_anchor,
ensg00000277971,B_no_hgnc_anchor,
ensg00000278384,B_no_hgnc_anchor,
ensg00000278633,B_no_hgnc_anchor,
ensg00000278646,B_no_hgnc_anchor,
ensg00000278704,B_no_hgnc_anchor,
ensg00000278817,B_no_hgnc_anchor,
ensg00000279073,B_no_hgnc_anchor,
ensg00000279686,B_no_hgnc_anchor,
ensg00000279956,B_no_hgnc_anchor,
ensg00000279983,B_no_hgnc_anchor,
ensg00000280148,B_no_hgnc_anchor,
ensg00000280537,B_no_hgnc_anchor,
ensg00000280571,B_no_hgnc_anchor,
ensg00000280709,B_no_hgnc_anchor,
ensg00000280778,B_no_hgnc_anchor,
ensg00000280893,B_no_hgnc_anchor,
ensg00000281039,B_no_hgnc_anchor,
ensg00000281348,B_no_hgnc_anchor,
ensg00000281593,B_no_hgnc_anchor,
ensg00000281613,B_no_hgnc_anchor,
ensg00000281883,B_no_hgnc_anchor,
ensg00000281938,B_no_hgnc_anchor,
ensg00000282034,B_no_hgnc_anchor,
ensg00000282218,B_no_hgnc_anchor,
ensg00000282278,B_no_hgnc_anchor,
ensg00000282804,B_no_hgnc_anchor,
ensg00000282936,B_no_hgnc_anchor,
ensg00000282988,B_no_hgnc_anchor,
ensg00000283128,B_no_hgnc_anchor,
ensg00000283149,B_no_hgnc_anchor,
ensg00000283189,B_no_hgnc_anchor,
ensg00000283201,B_no_hgnc_anchor,
ensg00000283205,B_no_hgnc_anchor,
ensg00000283208,B_no_hgnc_anchor,
ensg00000283228,B_no_hgnc_anchor,
ensg00000283239,B_no_hgnc_anchor,
ensg00000283321,B_no_hgnc_anchor,
ensg00000283515,B_no_hgnc_anchor,
ensg00000283536,B_no_hgnc_anchor,
ensg00000283563,B_no_hgnc_anchor,
ensg00000283580,B_no_hgnc_anchor,
ensg00000283663,B_no_hgnc_anchor,
ensg00000283761,B_no_hgnc_anchor,
ensg00000283765,B_no_hgnc_anchor,
ensg00000283782,B_no_hgnc_anchor,
ensg00000283809,B_no_hgnc_anchor,
ensg00000283952,B_no_hgnc_anchor,
ensg00000284057,B_no_hgnc_anchor,
ensg00000284292,B_no_hgnc_anchor,
ensg00000284337,B_no_hgnc_anchor,
ensg00000284341,B_no_hgnc_anchor,
ensg00000284431,B_no_hgnc_anchor,
ensg00000284461,B_no_hgnc_anchor,
ensg00000284512,B_no_hgnc_anchor,
ensg00000284526,B_no_hgnc_anchor,
ensg00000284554,B_no_hgnc_anchor,
ensg00000284626,B_no_hgnc_anchor,
ensg00000284684,B_no_hgnc_anchor,
ensg00000284686,B_no_hgnc_anchor,
ensg00000284691,B_no_hgnc_anchor,
ensg00000284695,B_no_hgnc_anchor,
ensg00000284732,B_no_hgnc_anchor,
ensg00000284762,B_no_hgnc_anchor,
ensg00000284772,B_no_hgnc_anchor,
ensg00000284773,B_no_hgnc_anchor,
ensg00000284776,B_no_hgnc_anchor,
ensg00000284779,B_no_hgnc_anchor,
ensg00000284820,B_no_hgnc_anchor,
ensg00000284874,B_no_hgnc_anchor,
ensg00000284895,B_no_hgnc_anchor,
ensg00000284906,B_no_hgnc_anchor,
ensg00000284931,B_no_hgnc_anchor,
ensg00000284934,B_no_hgnc_anchor,
ensg00000284946,B_no_hgnc_anchor,
ensg00000284952,B_no_hgnc_anchor,
ensg00000284956,B_no_hgnc_anchor,
ensg00000284969,B_no_hgnc_anchor,
ensg00000284976,B_no_hgnc_anchor,
ensg00000284987,B_no_hgnc_anchor,
ensg00000284989,B_no_hgnc_anchor,
ensg00000285000,B_no_hgnc_anchor,
ensg00000285025,B_no_hgnc_anchor,
ensg00000285043,B_no_hgnc_anchor,
ensg00000285053,B_no_hgnc_anchor,
ensg00000285082,B_no_hgnc_anchor,
ensg00000285085,B_no_hgnc_anchor,
ensg00000285130,B_no_hgnc_anchor,
ensg00000285133,B_no_hgnc_anchor,
ensg00000285188,B_no_hgnc_anchor,
ensg00000285218,B_no_hgnc_anchor,
ensg00000285238,B_no_hgnc_anchor,
ensg00000285245,B_no_hgnc_anchor,
ensg00000285253,B_no_hgnc_anchor,
ensg00000285269,B_no_hgnc_anchor,
ensg00000285283,B_no_hgnc_anchor,
ensg00000285304,B_no_hgnc_anchor,
ensg00000285329,B_no_hgnc_anchor,
ensg00000285330,B_no_hgnc_anchor,
ensg00000285382,B_no_hgnc_anchor,
ensg00000285404,B_no_hgnc_anchor,
ensg00000285437,B_no_hgnc_anchor,
ensg00000285444,B_no_hgnc_anchor,
ensg00000285446,B_no_hgnc_anchor,
ensg00000285458,B_no_hgnc_anchor,
ensg00000285471,B_no_hgnc_anchor,
ensg00000285505,B_no_hgnc_anchor,
ensg00000285508,B_no_hgnc_anchor,
ensg00000285526,B_no_hgnc_anchor,
ensg00000285528,B_no_hgnc_anchor,
ensg00000285542,B_no_hgnc_anchor,
ensg00000285547,B_no_hgnc_anchor,
