gsm,reason
gsm1589659,cvcl_7082_unverified
gsm1589044,cvcl_7082_unverified
gsm1589681,cvcl_7082_unverified
gsm1589696,cvcl_7082_unverified
gsm1035338,cvcl_7082_unverified
gsm1177899,cvcl_7082_unverified
gsm320216,cvcl_7082_unverified
gsm1589012,cvcl_7082_unverified
gsm388886,cvcl_7082_unverified
gsm1589753,cvcl_7082_unverified
gsm1589122,cvcl_7082_unverified
gsm1589786,cvcl_7082_unverified
gsm1589007,cvcl_7082_unverified
gsm1589635,cvcl_7082_unverified
gsm1589648,cvcl_7082_unverified
gsm1177878,cvcl_7082_unverified
gsm1589092,cvcl_7082_unverified
gsm1589094,cvcl_7082_unverified
gsm1589047,cvcl_7082_unverified
gsm1177897,cvcl_7082_unverified
gsm1589643,cvcl_7082_unverified
gsm1589040,cvcl_7082_unverified
gsm1177880,cvcl_7082_unverified
gsm1589718,cvcl_7082_unverified
gsm320234,cvcl_7082_unverified
gsm1588987,cvcl_7082_unverified
gsm320242,cvcl_7082_unverified
gsm960292,cvcl_7082_unverified
gsm388887,cvcl_7082_unverified
gsm1589053,cvcl_7082_unverified
gsm1589025,cvcl_7082_unverified
gsm320217,cvcl_7082_unverified
gsm1589065,cvcl_7082_unverified
gsm320230,cvcl_7082_unverified
gsm1589126,cvcl_7082_unverified
gsm1589755,cvcl_7082_unverified
gsm1035304,cvcl_7082_unverified
gsm1589793,cvcl_7082_unverified
gsm1589727,cvcl_7082_unverified
gsm960289,cvcl_7082_unverified
gsm320224,cvcl_7082_unverified
gsm1044974,cvcl_7082_unverified
gsm1035347,cvcl_7082_unverified
gsm1177894,cvcl_7082_unverified
gsm1589671,cvcl_7082_unverified
gsm388888,cvcl_7082_unverified
gsm1589125,cvcl_7082_unverified
gsm1589661,cvcl_7082_unverified
gsm1589073,cvcl_7082_unverified
gsm1589070,cvcl_7082_unverified
gsm397670,cvcl_7082_unverified
gsm1589778,cvcl_7082_unverified
gsm1588983,cvcl_7082_unverified
gsm711707,cvcl_7082_unverified
gsm1589063,cvcl_7082_unverified
gsm1589779,cvcl_7082_unverified
gsm1589109,cvcl_7082_unverified
gsm960276,cvcl_7082_unverified
gsm1589633,cvcl_7082_unverified
gsm1589782,cvcl_7082_unverified
gsm320220,cvcl_7082_unverified
gsm1177903,cvcl_7082_unverified
gsm1589763,cvcl_7082_unverified
gsm1589649,cvcl_7082_unverified
gsm1589009,cvcl_7082_unverified
gsm1589050,cvcl_7082_unverified
gsm1589095,cvcl_7082_unverified
gsm1589676,cvcl_7082_unverified
gsm1589630,cvcl_7082_unverified
gsm1589628,cvcl_7082_unverified
gsm1589771,cvcl_7082_unverified
gsm1589794,cvcl_7082_unverified
gsm320222,cvcl_7082_unverified
gsm1589145,cvcl_7082_unverified
gsm1589668,cvcl_7082_unverified
gsm320240,cvcl_7082_unverified
gsm960275,cvcl_7082_unverified
gsm1588989,cvcl_7082_unverified
gsm1035325,cvcl_7082_unverified
gsm1589703,cvcl_7082_unverified
gsm1589632,cvcl_7082_unverified
gsm1589710,cvcl_7082_unverified
gsm1589728,cvcl_7082_unverified
gsm1589691,cvcl_7082_unverified
gsm1589758,cvcl_7082_unverified
gsm1177904,cvcl_7082_unverified
gsm1588974,cvcl_7082_unverified
gsm1589761,cvcl_7082_unverified
gsm1589722,cvcl_7082_unverified
gsm1589791,cvcl_7082_unverified
gsm587229,cvcl_7082_unverified
gsm1589621,cvcl_7082_unverified
gsm320232,cvcl_7082_unverified
gsm1589698,cvcl_7082_unverified
gsm1589016,cvcl_7082_unverified
gsm1589079,cvcl_7082_unverified
gsm1589720,cvcl_7082_unverified
gsm1589652,cvcl_7082_unverified
gsm1035318,cvcl_7082_unverified
gsm1589118,cvcl_7082_unverified
gsm1589704,cvcl_7082_unverified
gsm1589759,cvcl_7082_unverified
gsm1589021,cvcl_7082_unverified
gsm1589056,cvcl_7082_unverified
gsm1589135,cvcl_7082_unverified
gsm1589089,cvcl_7082_unverified
gsm1589693,cvcl_7082_unverified
gsm2322615,cvcl_7082_unverified
gsm1589723,cvcl_7082_unverified
gsm1589677,cvcl_7082_unverified
gsm960281,cvcl_7082_unverified
gsm960282,cvcl_7082_unverified
gsm1588991,cvcl_7082_unverified
gsm1177890,cvcl_7082_unverified
gsm1589074,cvcl_7082_unverified
gsm1589653,cvcl_7082_unverified
gsm1589640,cvcl_7082_unverified
gsm711718,cvcl_7082_unverified
gsm1589744,cvcl_7082_unverified
gsm1589002,cvcl_7082_unverified
gsm1589714,cvcl_7082_unverified
gsm1589679,cvcl_7082_unverified
gsm2322621,cvcl_7082_unverified
gsm1588971,cvcl_7082_unverified
gsm711717,cvcl_7082_unverified
gsm1588978,cvcl_7082_unverified
gsm1589748,cvcl_7082_unverified
gsm1589111,cvcl_7082_unverified
gsm1589645,cvcl_7082_unverified
gsm1589020,cvcl_7082_unverified
gsm1589027,cvcl_7082_unverified
gsm1589620,cvcl_7082_unverified
gsm1589675,cvcl_7082_unverified
gsm320214,cvcl_7082_unverified
gsm1589101,cvcl_7082_unverified
gsm1589032,cvcl_7082_unverified
gsm1589127,cvcl_7082_unverified
gsm206459,cvcl_7082_unverified
gsm1589099,cvcl_7082_unverified
gsm1589035,cvcl_7082_unverified
gsm1589042,cvcl_7082_unverified
gsm1589673,cvcl_7082_unverified
gsm1589743,cvcl_7082_unverified
gsm1589039,cvcl_7082_unverified
gsm1589037,cvcl_7082_unverified
gsm1177889,cvcl_7082_unverified
gsm1589665,cvcl_7082_unverified
gsm1588995,cvcl_7082_unverified
gsm1589041,cvcl_7082_unverified
gsm1589018,cvcl_7082_unverified
gsm1589776,cvcl_7082_unverified
gsm1589788,cvcl_7082_unverified
gsm1589060,cvcl_7082_unverified
gsm1589712,cvcl_7082_unverified
gsm1035335,cvcl_7082_unverified
gsm1589666,cvcl_7082_unverified
gsm1589747,cvcl_7082_unverified
gsm1589687,cvcl_7082_unverified
gsm1589052,cvcl_7082_unverified
gsm587225,cvcl_7082_unverified
gsm1589624,cvcl_7082_unverified
gsm1589735,cvcl_7082_unverified
gsm2322616,cvcl_7082_unverified
gsm1589702,cvcl_7082_unverified
gsm1589639,cvcl_7082_unverified
gsm1589112,cvcl_7082_unverified
gsm1589115,cvcl_7082_unverified
gsm1589700,cvcl_7082_unverified
gsm1589683,cvcl_7082_unverified
gsm1044980,cvcl_7082_unverified
gsm1035306,cvcl_7082_unverified
gsm1589773,cvcl_7082_unverified
gsm1589756,cvcl_7082_unverified
gsm1589713,cvcl_7082_unverified
gsm1589708,cvcl_7082_unverified
gsm1177886,cvcl_7082_unverified
gsm1589004,cvcl_7082_unverified
gsm1589031,cvcl_7082_unverified
gsm1589077,cvcl_7082_unverified
gsm711694,cvcl_7082_unverified
gsm1589061,cvcl_7082_unverified
gsm1589130,cvcl_7082_unverified
gsm1589000,cvcl_7082_unverified
gsm1589097,cvcl_7082_unverified
gsm1589034,cvcl_7082_unverified
gsm960285,cvcl_7082_unverified
gsm1589709,cvcl_7082_unverified
gsm1589796,cvcl_7082_unverified
gsm1035332,cvcl_7082_unverified
gsm1589651,cvcl_7082_unverified
gsm1589729,cvcl_7082_unverified
gsm320218,cvcl_7082_unverified
gsm1589011,cvcl_7082_unverified
gsm1589775,cvcl_7082_unverified
gsm1589706,cvcl_7082_unverified
gsm206440,cvcl_7082_unverified
gsm1589685,cvcl_7082_unverified
gsm711727,cvcl_7082_unverified
gsm1588996,cvcl_7082_unverified
gsm1589762,cvcl_7082_unverified
gsm1589631,cvcl_7082_unverified
gsm1589151,cvcl_7082_unverified
gsm1589090,cvcl_7082_unverified
gsm960297,cvcl_7082_unverified
gsm1589692,cvcl_7082_unverified
gsm1589684,cvcl_7082_unverified
gsm1589623,cvcl_7082_unverified
gsm1589029,cvcl_7082_unverified
gsm1589008,cvcl_7082_unverified
gsm1589017,cvcl_7082_unverified
gsm1588973,cvcl_7082_unverified
gsm320237,cvcl_7082_unverified
gsm711701,cvcl_7082_unverified
gsm1589013,cvcl_7082_unverified
gsm1589055,cvcl_7082_unverified
gsm1589062,cvcl_7082_unverified
gsm1589738,cvcl_7082_unverified
gsm1589672,cvcl_7082_unverified
gsm1589733,cvcl_7082_unverified
gsm1589785,cvcl_7082_unverified
gsm587226,cvcl_7082_unverified
gsm206539,cvcl_7082_unverified
gsm1589760,cvcl_7082_unverified
gsm320228,cvcl_7082_unverified
gsm1589716,cvcl_7082_unverified
gsm1589116,cvcl_7082_unverified
gsm1588992,cvcl_7082_unverified
gsm1588979,cvcl_7082_unverified
gsm1589098,cvcl_7082_unverified
gsm1589736,cvcl_7082_unverified
gsm1589030,cvcl_7082_unverified
gsm1589699,cvcl_7082_unverified
gsm1589664,cvcl_7082_unverified
gsm1589768,cvcl_7082_unverified
gsm1589657,cvcl_7082_unverified
gsm1589113,cvcl_7082_unverified
gsm1044975,cvcl_7082_unverified
gsm1589705,cvcl_7082_unverified
gsm1589114,cvcl_7082_unverified
gsm1588988,cvcl_7082_unverified
gsm1589043,cvcl_7082_unverified
gsm1589001,cvcl_7082_unverified
gsm587219,cvcl_7082_unverified
gsm1588980,cvcl_7082_unverified
gsm960290,cvcl_7082_unverified
gsm1177907,cvcl_7082_unverified
gsm1589752,cvcl_7082_unverified
gsm1035319,cvcl_7082_unverified
gsm1589730,cvcl_7082_unverified
gsm1589726,cvcl_7082_unverified
gsm1589787,cvcl_7082_unverified
gsm1589749,cvcl_7082_unverified
gsm320239,cvcl_7082_unverified
gsm1589686,cvcl_7082_unverified
gsm1589663,cvcl_7082_unverified
gsm1589081,cvcl_7082_unverified
gsm1588998,cvcl_7082_unverified
gsm1588993,cvcl_7082_unverified
gsm1589023,cvcl_7082_unverified
gsm1589772,cvcl_7082_unverified
gsm1589638,cvcl_7082_unverified
gsm1589695,cvcl_7082_unverified
gsm1589742,cvcl_7082_unverified
gsm711711,cvcl_7082_unverified
gsm1589626,cvcl_7082_unverified
gsm1589148,cvcl_7082_unverified
gsm1589082,cvcl_7082_unverified
gsm320225,cvcl_7082_unverified
gsm1589103,cvcl_7082_unverified
gsm1589780,cvcl_7082_unverified
gsm1589110,cvcl_7082_unverified
gsm587222,cvcl_7082_unverified
gsm1589067,cvcl_7082_unverified
gsm1589622,cvcl_7082_unverified
gsm1589670,cvcl_7082_unverified
gsm1589015,cvcl_7082_unverified
gsm1589757,cvcl_7082_unverified
gsm1177896,cvcl_7082_unverified
gsm1589790,cvcl_7082_unverified
gsm960293,cvcl_7082_unverified
gsm1589150,cvcl_7082_unverified
gsm1589123,cvcl_7082_unverified
gsm1589064,cvcl_7082_unverified
gsm1589678,cvcl_7082_unverified
gsm1589694,cvcl_7082_unverified
gsm1589014,cvcl_7082_unverified
gsm320241,cvcl_7082_unverified
gsm587218,cvcl_7082_unverified
gsm1589770,cvcl_7082_unverified
gsm320215,cvcl_7082_unverified
gsm397669,cvcl_7082_unverified
gsm1589680,cvcl_7082_unverified
gsm206504,cvcl_7082_unverified
gsm1588975,cvcl_7082_unverified
gsm1589792,cvcl_7082_unverified
gsm1589774,cvcl_7082_unverified
gsm1588985,cvcl_7082_unverified
gsm320238,cvcl_7082_unverified
gsm1589697,cvcl_7082_unverified
gsm1589797,cvcl_7082_unverified
gsm1589024,cvcl_7082_unverified
gsm1589717,cvcl_7082_unverified
gsm1589766,cvcl_7082_unverified
gsm960298,cvcl_7082_unverified
gsm320226,cvcl_7082_unverified
gsm1589105,cvcl_7082_unverified
gsm1177879,cvcl_7082_unverified
gsm1589739,cvcl_7082_unverified
gsm1589795,cvcl_7082_unverified
gsm1589132,cvcl_7082_unverified
gsm587224,cvcl_7082_unverified
gsm1589707,cvcl_7082_unverified
gsm1588997,cvcl_7082_unverified
gsm1589076,cvcl_7082_unverified
gsm1589637,cvcl_7082_unverified
gsm1588970,cvcl_7082_unverified
gsm1589724,cvcl_7082_unverified
gsm1177895,cvcl_7082_unverified
gsm1177888,cvcl_7082_unverified
gsm1589085,cvcl_7082_unverified
gsm1044977,cvcl_7082_unverified
gsm1589142,cvcl_7082_unverified
gsm1177883,cvcl_7082_unverified
gsm1177884,cvcl_7082_unverified
gsm1589121,cvcl_7082_unverified
gsm1589049,cvcl_7082_unverified
gsm1589660,cvcl_7082_unverified
gsm1035348,cvcl_7082_unverified
gsm1589764,cvcl_7082_unverified
gsm587227,cvcl_7082_unverified
gsm1589059,cvcl_7082_unverified
gsm587220,cvcl_7082_unverified
gsm1589647,cvcl_7082_unverified
gsm1588986,cvcl_7082_unverified
gsm1589784,cvcl_7082_unverified
gsm1589087,cvcl_7082_unverified
gsm1589119,cvcl_7082_unverified
gsm1589054,cvcl_7082_unverified
gsm1589715,cvcl_7082_unverified
gsm1589669,cvcl_7082_unverified
gsm1589658,cvcl_7082_unverified
gsm1589690,cvcl_7082_unverified
gsm1589719,cvcl_7082_unverified
gsm1589656,cvcl_7082_unverified
gsm1589765,cvcl_7082_unverified
gsm1589051,cvcl_7082_unverified
gsm1589642,cvcl_7082_unverified
gsm320223,cvcl_7082_unverified
gsm1589075,cvcl_7082_unverified
gsm1589019,cvcl_7082_unverified
gsm1589078,cvcl_7082_unverified
gsm1177887,cvcl_7082_unverified
gsm1589746,cvcl_7082_unverified
gsm1589069,cvcl_7082_unverified
gsm1589667,cvcl_7082_unverified
gsm206466,cvcl_7082_unverified
gsm1588976,cvcl_7082_unverified
gsm1177908,cvcl_7082_unverified
gsm1589117,cvcl_7082_unverified
gsm2322623,cvcl_7082_unverified
