floor_q,n0,upper_cut,lower_cut,rho
0.2,25,0.5,0.05,0.025821958011631462
0.2,5,0.7,0.1,0.025628064994032067
0.2,100,0.4,0.05,0.025597200938280818
0.2,100,0.7,0.1,0.025558399843308124
0.2,5,0.6,0.05,0.025556210978997518
0.2,5,0.4,0.05,0.025552665286334295
0.2,10,0.7,0.1,0.025541600320361776
0.2,100,0.6,0.05,0.025523540228725047
0.2,50,0.4,0.05,0.025513869431112963
0.2,50,0.7,0.1,0.025513099879722622
0.2,25,0.7,0.1,0.025496097781523574
0.2,10,0.4,0.05,0.025464781565192846
0.2,10,0.6,0.05,0.025463914776421296
0.2,50,0.6,0.05,0.02546069823896331
0.2,25,0.4,0.05,0.025451734148065563
0.2,25,0.6,0.05,0.02542658419796612
0.2,100,0.5,0.02,0.0254144729977174
0.2,5,0.5,0.02,0.025382041354308212
0.2,50,0.5,0.02,0.025330026202607343
0.2,10,0.5,0.02,0.02528893802579665
0.2,5,0.3,0.05,0.025273507748490926
0.2,25,0.5,0.02,0.02527166121448356
0.2,100,0.3,0.05,0.025249705836867774
0.2,50,0.3,0.05,0.025180677411796113
0.2,10,0.3,0.05,0.025171046147642866
0.2,5,0.8,0.1,0.025154821094894995
0.2,25,0.3,0.05,0.02513354661174579
0.2,10,0.8,0.1,0.025085335207175815
0.2,100,0.4,0.02,0.025054661217805883
0.2,5,0.6,0.02,0.025031203312841317
0.2,100,0.8,0.1,0.025030007260549648
0.2,25,0.8,0.1,0.025028885379173697
0.2,50,0.8,0.1,0.025019615058039308
0.2,5,0.4,0.02,0.02501400453840612
0.2,100,0.6,0.02,0.02499608982501421
0.2,50,0.4,0.02,0.024971180243357753
0.2,10,0.6,0.02,0.024938733242414832
0.2,50,0.6,0.02,0.024933924567547398
0.2,10,0.4,0.02,0.024924949475784004
0.2,25,0.4,0.02,0.024909889419191117
0.2,25,0.6,0.02,0.0249008959584565
0.2,5,0.7,0.05,0.02478716830706123
0.2,5,0.3,0.02,0.024729006243266242
0.2,100,0.7,0.05,0.024720912068893514
0.2,100,0.3,0.02,0.02470726482890767
0.2,10,0.7,0.05,0.024703785273357134
0.2,50,0.7,0.05,0.024676496617744407
0.2,25,0.7,0.05,0.02465967598499955
0.2,50,0.3,0.02,0.024636312392866577
0.2,10,0.3,0.02,0.024625809115430917
0.2,25,0.3,0.02,0.024588315487477277
0.2,5,0.8,0.05,0.024334830028879546
0.2,5,0.7,0.02,0.024289014566491175
0.2,10,0.8,0.05,0.02426683871177939
0.2,100,0.7,0.02,0.02422121873794495
0.2,25,0.8,0.05,0.024210456801017004
0.2,100,0.8,0.05,0.024208563146442916
0.2,10,0.7,0.02,0.024205958847552146
0.2,50,0.8,0.05,0.024199880352014022
0.2,50,0.7,0.02,0.024177839250721065
0.2,25,0.7,0.02,0.02416193855799261
0.2,5,0.8,0.02,0.023848224237093568
0.2,10,0.8,0.02,0.023780961489111487
0.2,25,0.8,0.02,0.023725491689498546
0.2,100,0.8,0.02,0.02372363980588209
0.2,50,0.8,0.02,0.02371489274214237
0.1,5,0.5,0.2,0.021378632898012496
0.1,100,0.5,0.2,0.02132511524053331
0.1,10,0.5,0.2,0.02131089962784125
0.1,50,0.5,0.2,0.021293310877862293
0.1,25,0.5,0.2,0.021277641143941792
0.1,5,0.4,0.2,0.021138499255118022
0.1,5,0.3,0.2,0.02108495741233536
0.1,10,0.4,0.2,0.02106950420502582
0.1,100,0.4,0.2,0.021065112437686804
0.1,50,0.4,0.2,0.021042302539060684
0.1,25,0.4,0.2,0.021030252736013073
0.1,10,0.3,0.2,0.021020774895736064
0.1,100,0.3,0.2,0.021017846397116218
0.1,50,0.3,0.2,0.02099417281218305
0.1,25,0.3,0.2,0.020980491672278567
0.1,5,0.6,0.2,0.02089706680228116
0.1,10,0.6,0.2,0.020826023208206527
0.1,100,0.6,0.2,0.020811868193068603
0.1,50,0.6,0.2,0.020784381910981184
0.1,25,0.6,0.2,0.0207793751035603
0.1,5,0.7,0.2,0.020085235913829644
0.1,100,0.7,0.2,0.020076069974650772
0.1,10,0.7,0.2,0.02003979275976045
0.1,50,0.7,0.2,0.020037561803781315
0.1,25,0.7,0.2,0.02002130820059017
0.1,5,0.8,0.2,0.019521532697451095
0.1,10,0.8,0.2,0.019477286502526003
0.1,100,0.8,0.2,0.019458647248771152
0.1,25,0.8,0.2,0.01944283782606841
0.1,50,0.8,0.2,0.019441735113552173
0.1,100,0.5,0.1,0.018700591047142917
0.1,5,0.5,0.1,0.0186958274770642
0.1,50,0.5,0.1,0.018651345941197238
0.1,10,0.5,0.1,0.01863802759681136
0.1,25,0.5,0.1,0.018620901181434203
0.1,100,0.3,0.1,0.01853306786644164
0.1,5,0.3,0.1,0.018521080308253272
0.1,5,0.4,0.1,0.01851724483765951
