original_value,dataset,resolution_step_reached,reason
ach-002348,cellosaurus,cascade_exhausted,no match at RRID / secondary accession / name / synonym / sanger_xref
ach-002349,cellosaurus,cascade_exhausted,no match at RRID / secondary accession / name / synonym / sanger_xref
ach-002360,cellosaurus,cascade_exhausted,no match at RRID / secondary accession / name / synonym / sanger_xref
ach-002361,cellosaurus,cascade_exhausted,no match at RRID / secondary accession / name / synonym / sanger_xref
ach-002458,cellosaurus,cascade_exhausted,no match at RRID / secondary accession / name / synonym / sanger_xref
ach-002459,cellosaurus,cascade_exhausted,no match at RRID / secondary accession / name / synonym / sanger_xref
ach-002460,cellosaurus,cascade_exhausted,no match at RRID / secondary accession / name / synonym / sanger_xref
ach-002461,cellosaurus,cascade_exhausted,no match at RRID / secondary accession / name / synonym / sanger_xref
ach-002847,cellosaurus,cascade_exhausted,no match at RRID / secondary accession / name / synonym / sanger_xref
ach-002874,cellosaurus,cascade_exhausted,no match at RRID / secondary accession / name / synonym / sanger_xref
ach-002875,cellosaurus,cascade_exhausted,no match at RRID / secondary accession / name / synonym / sanger_xref
ach-000036,cellosaurus,cascade_exhausted,no match at RRID / secondary accession / name / synonym / sanger_xref
ach-000063,cellosaurus,cascade_exhausted,no match at RRID / secondary accession / name / synonym / sanger_xref
ach-000088,cellosaurus,cascade_exhausted,no match at RRID / secondary accession / name / synonym / sanger_xref
ach-000095,cellosaurus,cascade_exhausted,no match at RRID / secondary accession / name / synonym / sanger_xref
ach-000133,cellosaurus,cascade_exhausted,no match at RRID / secondary accession / name / synonym / sanger_xref
ach-000134,cellosaurus,cascade_exhausted,no match at RRID / secondary accession / name / synonym / sanger_xref
ach-000199,cellosaurus,cascade_exhausted,no match at RRID / secondary accession / name / synonym / sanger_xref
ach-000208,cellosaurus,cascade_exhausted,no match at RRID / secondary accession / name / synonym / sanger_xref
ach-000214,cellosaurus,cascade_exhausted,no match at RRID / secondary accession / name / synonym / sanger_xref
ach-000240,cellosaurus,cascade_exhausted,no match at RRID / secondary accession / name / synonym / sanger_xref
ach-000458,cellosaurus,cascade_exhausted,no match at RRID / secondary accession / name / synonym / sanger_xref
ach-000921,cellosaurus,cascade_exhausted,no match at RRID / secondary accession / name / synonym / sanger_xref
ach-001022,cellosaurus,cascade_exhausted,no match at RRID / secondary accession / name / synonym / sanger_xref
ach-001053,cellosaurus,cascade_exhausted,no match at RRID / secondary accession / name / synonym / sanger_xref
ach-001054,cellosaurus,cascade_exhausted,no match at RRID / secondary accession / name / synonym / sanger_xref
ach-001059,cellosaurus,cascade_exhausted,no match at RRID / secondary accession / name / synonym / sanger_xref
ach-001277,cellosaurus,cascade_exhausted,no match at RRID / secondary accession / name / synonym / sanger_xref
ach-001736,cellosaurus,cascade_exhausted,no match at RRID / secondary accession / name / synonym / sanger_xref
ach-001737,cellosaurus,cascade_exhausted,no match at RRID / secondary accession / name / synonym / sanger_xref
ach-002138,cellosaurus,cascade_exhausted,no match at RRID / secondary accession / name / synonym / sanger_xref
