original_value,dataset,resolution_step_reached,reason
ach-001437,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-001438,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-001481,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-001508,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-001537,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-001672,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-001679,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-001691,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-001693,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-001705,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-001847,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-001854,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-001855,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-001971,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-001975,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-001986,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-001990,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-002010,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-002030,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-002035,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-002070,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-002478,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-002485,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-002486,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-002490,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-002497,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-002522,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-002523,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-002524,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-002526,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-002531,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-002533,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-002535,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-002539,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-002650,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-002654,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-002780,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-002781,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-002784,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-002787,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-002799,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-002801,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-002806,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-002921,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-002922,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-002925,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-003019,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-003071,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-003132,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-003133,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-003134,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-003135,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-003136,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-003138,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-003139,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-003141,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-003142,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-003143,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-003145,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-003147,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-003148,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-003149,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-003150,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-003152,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-003153,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-003154,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-003155,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-003156,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-003157,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-003158,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-003159,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-003160,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
ach-003161,depmap_profiles,direct_join,modelid not present in cell_line_lookup.model_id
