^SAMPLE = GSM170980
!Sample_title = Melanoma cell line SKMEL13
!Sample_geo_accession = GSM170980
!Sample_status = Public on Mar 31 2007
!Sample_submission_date = Feb 22 2007
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Melanoma cell line SKMEL13
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Melanoma cell line established from metastatic melanoma
!Sample_biomaterial_provider_ch1 = SKMCC
!Sample_growth_protocol_ch1 = Melanoma cell lines were cultured in RPMI 1640 in the presence of 10% fetal bovine serum. 
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = RNA extractions were performed using Qiagen RNeasy Midi-kits as per the manufacturer’s instructions. RNA quality and concentration were assessed using a 2100 BioAnalyser (Agilent Technologies). 
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = For each sample, 5 μg of total RNA were used for target preparation using Eukaryotic One-cycle Target Labelling and Control Reagents kits according to the manufacturer’s instructions (Affymetrix). First-strand complementary DNA (cDNA) was synthesized using a T7-Oligo(dT) primer followed by second-strand cDNA synthesis from these samples using T4 polymerase. An in-vitro transcription reaction was then performed to produce biotin-labelled complementary RNA (cRNA). 
!Sample_hyb_protocol = This cRNA was fragmented and 15 μg were hybridized to an Affymetrix Human Genome U133 Plus 2.0 Array in an Affymetrix Hybridization Oven 640 for 16 h at 45oC. Chips were then washed and post-stained with streptavidin phycoerythrin and normal goat IgG solutions on an Affymetrix Fluidics Station 450. 
!Sample_scan_protocol = Chips were scanned on an Affymetrix GeneChip Scanner 3000, and raw image data files obtained using Affymetrix GeneChip Operating Software (GCOS Version 1.2). 
!Sample_description = For each sample, 5 μg of total RNA were used for target preparation using Eukaryotic One-cycle Target Labelling and Control Reagents kits according to the manufacturer’s instructions (Affymetrix). First-strand complementary DNA (cDNA) was synthesized using a T7-Oligo(dT) primer followed by second-strand cDNA synthesis from these samples using T4 polymerase. An in-vitro transcription reaction was then performed to produce biotin-labelled complementary RNA (cRNA). This cRNA was fragmented and 15 μg were hybridized to an Affymetrix Human Genome U133 Plus 2.0 Array in an Affymetrix Hybridization Oven 640 for 16 h at 45oC. Chips were then washed and post-stained with streptavidin phycoerythrin and normal goat IgG solutions on an Affymetrix Fluidics Station 450. Chips were scanned on an Affymetrix GeneChip Scanner 3000, and raw image data files obtained using Affymetrix GeneChip Operating Software (GCOS Version 1.2). Relative expression values were generated for each probe set using the Affymetrix PLIER algorithm in ArrayAssist® Version 4.20 (Stratagene) and further log transformed to base 2. The resulting data were imported into GeneSpring GX v7.3 (Agilent Technologies). Data values less than 0.1 were set to 0.1 and the logarithm of data values were used as expression values. The expression values were normalized in two steps. First, values were centralized sample by sample, such that the median expression value was zero for each sample. Second, expression values were centralized gene by gene such that the median expression value was zero for each probe set. 
!Sample_data_processing = Relative expression values were generated for each probe set using the Affymetrix PLIER algorithm in ArrayAssist® Version 4.20 (Stratagene) and further log transformed to base 2. The resulting data were imported into GeneSpring GX v7.3 (Agilent Technologies). Data values less than 0.1 were set to 0.1 and the logarithm of data values were used as expression values. The expression values were normalized in two steps. First, values were centralized sample by sample, such that the median expression value was zero for each sample. Second, expression values were centralized gene by gene such that the median expression value was zero for each probe set. 
!Sample_platform_id = GPL570
!Sample_contact_name = Leisl,,Packer
!Sample_contact_laboratory = Oncogenomics Laboratory
!Sample_contact_department = Cancer and Cell Biology
!Sample_contact_institute = Queensland Institute of Medical Research
!Sample_contact_address = 300 Herston Rd
!Sample_contact_city = Herston
!Sample_contact_state = QLD
!Sample_contact_zip/postal_code = 4006
!Sample_contact_country = Australia
!Sample_contact_web_link = www.qimr.edu.au
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM170nnn/GSM170980/suppl/GSM170980.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM170nnn/GSM170980/suppl/GSM170980.CHP.gz
!Sample_relation = Reanalyzed by: GSE64985
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE7127
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = signal value
#ABS_CALL = signal absent/present
#DETECTION P-VALUE = detection p-value
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
179_at	169.367	P	0.0351629
1861_at	175.542	P	0.000321521
200000_s_at	1627.58	P	0.000244141
200001_at	1423.6	P	0.000244141
200002_at	7849.37	P	0.000244141
200003_s_at	12216.3	P	0.000244141
200004_at	4608.25	P	0.000244141
200005_at	5651.73	P	0.000244141
200006_at	6567.38	P	0.000244141
200007_at	5051.3	P	0.000244141
200008_s_at	2327.34	P	0.000244141
200009_at	3783.57	P	0.000244141
200010_at	8783.62	P	0.000244141
200011_s_at	652.546	P	0.000244141
200012_x_at	9349.1	P	0.000244141
200013_at	11565.1	P	0.000244141
200014_s_at	2208.78	P	0.000244141
200015_s_at	2300.69	P	0.000732422
200016_x_at	8568.72	P	0.000244141
200017_at	11390	P	0.000244141
200018_at	10740.7	P	0.000244141
200019_s_at	8438.33	P	0.000244141
200020_at	1685.78	P	0.000244141
200021_at	9393.1	P	0.000732422
200022_at	8680.3	P	0.000244141
200023_s_at	3617.34	P	0.000244141
200024_at	7727.18	P	0.000732422
200025_s_at	10047.5	P	0.000244141
200026_at	8389.97	P	0.000244141
200027_at	3092.35	P	0.000244141
200028_s_at	1795.03	P	0.000244141
200029_at	10698.7	P	0.000244141
200030_s_at	7012.6	P	0.000244141
200031_s_at	11551	P	0.000244141
200032_s_at	10594.4	P	0.000244141
200033_at	4921.16	P	0.000244141
200034_s_at	8632.1	P	0.000244141
200035_at	233.483	P	0.00585938
200036_s_at	6418.61	P	0.000244141
200037_s_at	4711.64	P	0.000244141
200038_s_at	10936.2	P	0.000244141
200039_s_at	4498.35	P	0.000244141
200040_at	2473.73	P	0.000244141
200041_s_at	2690.3	P	0.000244141
200042_at	2216.14	P	0.000244141
200043_at	5680.82	P	0.000244141
200044_at	2849.02	P	0.000244141
200045_at	998.58	P	0.000244141
200046_at	4051.63	P	0.000244141
200047_s_at	2253.81	P	0.000244141
200048_s_at	3110.62	P	0.000244141
200049_at	309.869	P	0.000244141
200050_at	751.901	P	0.000244141
200051_at	506.53	P	0.000244141
200052_s_at	2447.68	P	0.000244141
200053_at	437.991	P	0.000732422
200054_at	630.571	P	0.000244141
200055_at	2945.98	P	0.000244141
200056_s_at	893.211	P	0.000244141
200057_s_at	4745.7	P	0.000244141
200058_s_at	1736	P	0.000244141
200059_s_at	5085.24	P	0.000244141
200060_s_at	2053.55	P	0.000244141
200061_s_at	8977.92	P	0.000244141
200062_s_at	9403.55	P	0.000244141
200063_s_at	10085.8	P	0.000244141
200064_at	8512.21	P	0.000244141
200065_s_at	5129.54	P	0.000244141
200066_at	885.642	P	0.000244141
200067_x_at	2020.82	P	0.000244141
200068_s_at	4281.91	P	0.000244141
200069_at	205.371	P	0.000244141
200070_at	414.682	P	0.000732422
200071_at	1052.45	P	0.000244141
200072_s_at	3255.89	P	0.000244141
200073_s_at	3064.73	P	0.000244141
200074_s_at	4986.62	P	0.000244141
200075_s_at	919.319	P	0.000244141
200076_s_at	638.243	P	0.000732422
200077_s_at	8153.47	P	0.000244141
200078_s_at	2281.41	P	0.000244141
200079_s_at	2225.14	P	0.000244141
200080_s_at	4930.9	P	0.000244141
200081_s_at	12588.5	P	0.000244141
200082_s_at	11393.9	P	0.000244141
200083_at	1234.89	P	0.000244141
200084_at	2007.84	P	0.000244141
200085_s_at	3517.47	P	0.000244141
200086_s_at	2637.38	P	0.000244141
200087_s_at	4307.38	P	0.000244141
200088_x_at	10533.1	P	0.000244141
200089_s_at	8388.26	P	0.000244141
200090_at	1508.32	P	0.000244141
200091_s_at	7193.5	P	0.000244141
200092_s_at	10950.8	P	0.000244141
200093_s_at	4246.86	P	0.000244141
200094_s_at	7675.73	P	0.000244141
200095_x_at	11964.3	P	0.000244141
200096_s_at	4602.77	P	0.000244141
200097_s_at	2435.46	P	0.000244141
200098_s_at	2187.49	P	0.000244141
200099_s_at	11174.7	P	0.000244141
200593_s_at	2399.44	P	0.000244141
200594_x_at	3729.87	P	0.000244141
200595_s_at	2469.53	P	0.000244141
200596_s_at	865.653	P	0.000244141
200597_at	219.196	P	0.000244141
200598_s_at	3708.2	P	0.000244141
200599_s_at	5715.91	P	0.000244141
200600_at	2544.56	P	0.000244141
200601_at	317.617	P	0.000244141
200602_at	723.73	P	0.000244141
200603_at	3709.4	P	0.000244141
200604_s_at	2383.02	P	0.000244141
200605_s_at	3536.07	P	0.000244141
200606_at	65.6688	P	0.000244141
200607_s_at	583.013	P	0.000244141
200608_s_at	1521.43	P	0.000244141
200609_s_at	1911.48	P	0.000244141
200610_s_at	5224.69	P	0.000244141
200611_s_at	3061.26	P	0.000244141
200612_s_at	428.311	P	0.000244141
200613_at	1936.66	P	0.000244141
200614_at	5795.87	P	0.000244141
200615_s_at	756.691	P	0.000244141
200616_s_at	1148.99	P	0.000244141
200617_at	726.918	P	0.000244141
200618_at	1673.97	P	0.000244141
200619_at	1188.58	P	0.00195313
200620_at	1559.92	P	0.000244141
200621_at	2502.64	P	0.000244141
200622_x_at	833.351	P	0.000244141
200623_s_at	185.376	P	0.000244141
200624_s_at	2788.23	P	0.000244141
200625_s_at	3936.5	P	0.000244141
200626_s_at	3136.6	P	0.000244141
200627_at	6926.21	P	0.000244141
200628_s_at	1606.88	P	0.0012207
200629_at	1597.7	P	0.000244141
200630_x_at	2038.41	P	0.000244141
200631_s_at	2231.74	P	0.000244141
200632_s_at	752.458	P	0.0012207
200633_at	13011.3	P	0.000244141
200634_at	6617.55	P	0.000244141
200635_s_at	121.677	P	0.00585938
200636_s_at	421.914	P	0.000244141
200637_s_at	200.478	P	0.000732422
200638_s_at	4975.43	P	0.000244141
200639_s_at	4003.48	P	0.000244141
200640_at	3609.94	P	0.000244141
200641_s_at	4810.42	P	0.000244141
200642_at	5924.84	P	0.000244141
200643_at	919.569	P	0.000732422
200644_at	2840.87	P	0.000244141
200645_at	3110.48	P	0.000244141
200646_s_at	120.221	P	0.00805664
200647_x_at	6935.53	P	0.000244141
200648_s_at	305.678	P	0.00292969
200649_at	149.777	P	0.000244141
200650_s_at	10939.9	P	0.000244141
200651_at	10708.7	P	0.000244141
200652_at	2768.69	P	0.000244141
200653_s_at	3191.79	P	0.000244141
200654_at	4541.47	P	0.00805664
200655_s_at	2395.74	P	0.000244141
200656_s_at	2794.87	P	0.000244141
200657_at	7357.34	P	0.000244141
200658_s_at	3173.92	P	0.000244141
200659_s_at	487.018	P	0.000244141
200660_at	4914.52	P	0.0012207
