^SAMPLE = GSM169527
!Sample_title = melanoma cell line D20
!Sample_geo_accession = GSM169527
!Sample_status = Public on Mar 31 2007
!Sample_submission_date = Feb 19 2007
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Melanoma cell line D20
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Melanoma cell line established from metastatic melanoma
!Sample_biomaterial_provider_ch1 = Dr C. Schmidt
!Sample_growth_protocol_ch1 = Melanoma cell lines were cultured in RPMI 1640 in the presence of 10% fetal bovine serum. 
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = RNA extractions were performed using Qiagen RNeasy Midi-kits as per the manufacturer’s instructions. RNA quality and concentration were assessed using a 2100 BioAnalyser (Agilent Technologies). 
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = For each sample, 5 μg of total RNA were used for target preparation using Eukaryotic One-cycle Target Labelling and Control Reagents kits according to the manufacturer’s instructions (Affymetrix). First-strand complementary DNA (cDNA) was synthesized using a T7-Oligo(dT) primer followed by second-strand cDNA synthesis from these samples using T4 polymerase. An in-vitro transcription reaction was then performed to produce biotin-labelled complementary RNA (cRNA). 
!Sample_hyb_protocol = This cRNA was fragmented and 15 μg were hybridized to an Affymetrix Human Genome U133 Plus 2.0 Array in an Affymetrix Hybridization Oven 640 for 16 h at 45oC. Chips were then washed and post-stained with streptavidin phycoerythrin and normal goat IgG solutions on an Affymetrix Fluidics Station 450.
!Sample_scan_protocol = Chips were scanned on an Affymetrix GeneChip Scanner 3000, and raw image data files obtained using Affymetrix GeneChip Operating Software (GCOS Version 1.2). 
!Sample_description = For each sample, 5 μg of total RNA were used for target preparation using Eukaryotic One-cycle Target Labelling and Control Reagents kits according to the manufacturer’s instructions (Affymetrix). First-strand complementary DNA (cDNA) was synthesized using a T7-Oligo(dT) primer followed by second-strand cDNA synthesis from these samples using T4 polymerase. An in-vitro transcription reaction was then performed to produce biotin-labelled complementary RNA (cRNA). This cRNA was fragmented and 15 μg were hybridized to an Affymetrix Human Genome U133 Plus 2.0 Array in an Affymetrix Hybridization Oven 640 for 16 h at 45oC. Chips were then washed and post-stained with streptavidin phycoerythrin and normal goat IgG solutions on an Affymetrix Fluidics Station 450. Chips were scanned on an Affymetrix GeneChip Scanner 3000, and raw image data files obtained using Affymetrix GeneChip Operating Software (GCOS Version 1.2). Relative expression values were generated for each probe set using the Affymetrix PLIER algorithm in ArrayAssist® Version 4.20 (Stratagene) and further log transformed to base 2. The resulting data were imported into GeneSpring GX v7.3 (Agilent Technologies). Data values less than 0.1 were set to 0.1 and the logarithm of data values were used as expression values. The expression values were normalized in two steps. First, values were centralized sample by sample, such that the median expression value was zero for each sample. Second, expression values were centralized gene by gene such that the median expression value was zero for each probe set. 
!Sample_data_processing = Relative expression values were generated for each probe set using the Affymetrix PLIER algorithm in ArrayAssist® Version 4.20 (Stratagene) and further log transformed to base 2. The resulting data were imported into GeneSpring GX v7.3 (Agilent Technologies). Data values less than 0.1 were set to 0.1 and the logarithm of data values were used as expression values. The expression values were normalized in two steps. First, values were centralized sample by sample, such that the median expression value was zero for each sample. Second, expression values were centralized gene by gene such that the median expression value was zero for each probe set. 
!Sample_platform_id = GPL570
!Sample_contact_name = Leisl,,Packer
!Sample_contact_laboratory = Oncogenomics Laboratory
!Sample_contact_department = Cancer and Cell Biology
!Sample_contact_institute = Queensland Institute of Medical Research
!Sample_contact_address = 300 Herston Rd
!Sample_contact_city = Herston
!Sample_contact_state = QLD
!Sample_contact_zip/postal_code = 4006
!Sample_contact_country = Australia
!Sample_contact_web_link = www.qimr.edu.au
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM169nnn/GSM169527/suppl/GSM169527.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM169nnn/GSM169527/suppl/GSM169527.CHP.gz
!Sample_relation = Reanalyzed by: GSE64985
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE7127
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = signal value
#ABS_CALL = signal absent/present
#DETECTION-P-VALUE = detection p-value
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION-P-VALUE
179_at	221.027	P	0.0393654
1861_at	162.209	P	0.000959383
200000_s_at	1096.82	P	0.000244141
200001_at	1695.48	P	0.000244141
200002_at	6464.36	P	0.000244141
200003_s_at	10868.2	P	0.000244141
200004_at	5103.1	P	0.000244141
200005_at	3778.5	P	0.000244141
200006_at	5997.01	P	0.000244141
200007_at	3702.45	P	0.000244141
200008_s_at	2293.92	P	0.000244141
200009_at	3886	P	0.000244141
200010_at	7570.08	P	0.000244141
200011_s_at	998.397	P	0.000244141
200012_x_at	6680.09	P	0.000244141
200013_at	8453.24	P	0.000244141
200014_s_at	1480.23	P	0.000244141
200015_s_at	3112.87	P	0.000732422
200016_x_at	7664.53	P	0.000244141
200017_at	10128.6	P	0.000244141
200018_at	8972.45	P	0.000244141
200019_s_at	7124.11	P	0.000244141
200020_at	1666.3	P	0.000244141
200021_at	8841.11	P	0.0012207
200022_at	8383.57	P	0.000244141
200023_s_at	2077.24	P	0.000244141
200024_at	7000.2	P	0.000244141
200025_s_at	7201.2	P	0.000244141
200026_at	5994.75	P	0.000244141
200027_at	3544.38	P	0.000244141
200028_s_at	2292.31	P	0.000244141
200029_at	7004.98	P	0.000244141
200030_s_at	6027.69	P	0.000244141
200031_s_at	11594.9	P	0.000244141
200032_s_at	10940.2	P	0.000244141
200033_at	3514.7	P	0.000244141
200034_s_at	7554.76	P	0.000244141
200035_at	281.773	P	0.0107422
200036_s_at	5240.72	P	0.000244141
200037_s_at	4974.34	P	0.000244141
200038_s_at	9676.18	P	0.000244141
200039_s_at	3417.01	P	0.000244141
200040_at	1824.87	P	0.000244141
200041_s_at	3081.53	P	0.000244141
200042_at	1450.1	P	0.000244141
200043_at	6087.51	P	0.000244141
200044_at	2643.48	P	0.000244141
200045_at	1032.98	P	0.000244141
200046_at	3002.67	P	0.000244141
200047_s_at	2532.41	P	0.000244141
200048_s_at	2772.47	P	0.000244141
200049_at	254.536	P	0.000244141
200050_at	778.847	P	0.000732422
200051_at	455.695	P	0.000244141
200052_s_at	2301.33	P	0.000244141
200053_at	488.098	P	0.000732422
200054_at	299.81	P	0.000244141
200055_at	947.77	P	0.000244141
200056_s_at	776.56	P	0.000244141
200057_s_at	4936.05	P	0.000244141
200058_s_at	1494.49	P	0.000244141
200059_s_at	5666.18	P	0.000244141
200060_s_at	3319.87	P	0.000244141
200061_s_at	7643.11	P	0.000244141
200062_s_at	12226.9	P	0.000244141
200063_s_at	7739.52	P	0.000244141
200064_at	8503.98	P	0.000244141
200065_s_at	4761.66	P	0.000244141
200066_at	386.46	P	0.000732422
200067_x_at	1754.34	P	0.000244141
200068_s_at	3084.78	P	0.000244141
200069_at	199.829	P	0.000732422
200070_at	236.51	P	0.000244141
200071_at	989.626	P	0.000244141
200072_s_at	2195.39	P	0.000244141
200073_s_at	2580.2	P	0.000244141
200074_s_at	5062.36	P	0.000244141
200075_s_at	1082.71	P	0.000244141
200076_s_at	371.727	P	0.000244141
200077_s_at	7756.98	P	0.000244141
200078_s_at	1799.75	P	0.000244141
200079_s_at	2801.68	P	0.000244141
200080_s_at	4686.71	P	0.000244141
200081_s_at	8320.17	P	0.000244141
200082_s_at	7955.5	P	0.000244141
200083_at	1165.48	P	0.000244141
200084_at	2682.67	P	0.000244141
200085_s_at	2701.54	P	0.000244141
200086_s_at	3228.07	P	0.000244141
200087_s_at	3933.9	P	0.000244141
200088_x_at	7729.79	P	0.000244141
200089_s_at	6325.16	P	0.000244141
200090_at	1862.18	P	0.000244141
200091_s_at	4663.49	P	0.000244141
200092_s_at	8396.35	P	0.000244141
200093_s_at	2729.19	P	0.000244141
200094_s_at	4029.78	P	0.000244141
200095_x_at	11444.7	P	0.000244141
200096_s_at	2806.55	P	0.000244141
200097_s_at	2360.67	P	0.000244141
200098_s_at	2465.61	P	0.000244141
200099_s_at	9385.13	P	0.000244141
200593_s_at	1613.82	P	0.000244141
200594_x_at	2979.94	P	0.000244141
200595_s_at	2650.22	P	0.000244141
200596_s_at	905.649	P	0.000244141
200597_at	332.584	P	0.000244141
200598_s_at	3437.33	P	0.000244141
200599_s_at	6360.63	P	0.000244141
200600_at	3343.73	P	0.000244141
200601_at	350.877	P	0.000244141
200602_at	1301.95	P	0.000244141
200603_at	4100.29	P	0.000244141
200604_s_at	2564.5	P	0.000244141
200605_s_at	3884.6	P	0.000244141
200606_at	11.8687	M	0.0561523
200607_s_at	1007.81	P	0.000244141
200608_s_at	2825.84	P	0.000244141
200609_s_at	2830.24	P	0.000244141
200610_s_at	4968.52	P	0.000244141
200611_s_at	2720.11	P	0.000244141
200612_s_at	270.02	P	0.000732422
200613_at	3798.62	P	0.000244141
200614_at	4227.37	P	0.000244141
200615_s_at	392.202	P	0.000244141
200616_s_at	1072.96	P	0.000732422
200617_at	925.422	P	0.000244141
200618_at	2078.46	P	0.000244141
200619_at	771.116	P	0.0107422
200620_at	2817.59	P	0.000244141
200621_at	3093.23	P	0.000244141
200622_x_at	462.984	P	0.000244141
200623_s_at	190.268	P	0.00195313
200624_s_at	1883.07	P	0.000244141
200625_s_at	2371.45	P	0.000244141
200626_s_at	2275.92	P	0.000244141
200627_at	6596.04	P	0.000244141
200628_s_at	1419.4	P	0.0012207
200629_at	1371.59	P	0.000244141
200630_x_at	1076.75	P	0.000244141
200631_s_at	2187.73	P	0.000244141
200632_s_at	2100.19	P	0.000244141
200633_at	11074.2	P	0.000244141
200634_at	5730.03	P	0.000244141
200635_s_at	138.669	P	0.0141602
200636_s_at	420.175	P	0.000244141
200637_s_at	135.194	P	0.00292969
200638_s_at	5301.74	P	0.000244141
200639_s_at	4482.18	P	0.000244141
200640_at	4112.32	P	0.000244141
200641_s_at	4718.47	P	0.000244141
200642_at	6432.26	P	0.000244141
200643_at	857.566	P	0.000732422
200644_at	3942.36	P	0.000244141
200645_at	2794.14	P	0.000244141
200646_s_at	176.517	P	0.0012207
200647_x_at	4734.22	P	0.000244141
200648_s_at	324.782	P	0.00292969
200649_at	258.794	P	0.000244141
200650_s_at	11003.4	P	0.000244141
200651_at	7920.25	P	0.000244141
200652_at	2806.96	P	0.000244141
200653_s_at	5489.34	P	0.000244141
200654_at	4593.18	P	0.0107422
200655_s_at	3735.86	P	0.000244141
200656_s_at	3070.07	P	0.000244141
200657_at	7504.18	P	0.000244141
200658_s_at	1561.41	P	0.000244141
200659_s_at	432.911	P	0.000244141
200660_at	3267.93	P	0.000732422
200661_at	1587.93	P	0.000244141
200662_s_at	2821.38	P	0.000244141
200663_at	9863.75	P	0.000244141
200664_s_at	1339.85	P	0.000732422
200665_s_at	4415.46	P	0.000244141
200666_s_at	1763.09	P	0.000244141
200667_at	956.526	P	0.000244141
200668_s_at	3009.68	P	0.000244141
200669_s_at	1924.9	P	0.000244141
200670_at	994.276	P	0.000244141
200671_s_at	428.756	P	0.00195313
200672_x_at	574.121	P	0.000244141
200673_at	2633.78	P	0.000244141
200674_s_at	9463.84	P	0.000244141
200675_at	1845.55	P	0.000244141
200676_s_at	182.706	P	0.000732422
200677_at	3995.26	P	0.000244141
200678_x_at	655.703	P	0.000244141
200679_x_at	3518.85	P	0.000244141
200680_x_at	6785.81	P	0.000244141
200681_at	4034.11	P	0.000244141
200682_s_at	3776.36	P	0.000244141
200683_s_at	941.042	P	0.000244141
200684_s_at	549.803	P	0.000244141
200685_at	159.702	P	0.0012207
200686_s_at	3189.75	P	0.000244141
200687_s_at	1051.06	P	0.000244141
200688_at	65.6925	M	0.0561523
200689_x_at	7243.27	P	0.000244141
200690_at	339.163	P	0.000732422
200691_s_at	2425.51	P	0.000244141
200692_s_at	1499.69	P	0.000244141
200693_at	3125.6	P	0.000244141
200694_s_at	1402.27	P	0.000244141
200695_at	442.144	P	0.000244141
200696_s_at	2643.25	P	0.000244141
200697_at	1566.2	P	0.000244141
200698_at	2714.65	P	0.000244141
200699_at	1342.07	P	0.000244141
200700_s_at	3389.8	P	0.000244141
200701_at	4034.99	P	0.000244141
200702_s_at	429.219	P	0.000244141
200703_at	6751.81	P	0.000244141
200704_at	1243.89	P	0.000244141
200705_s_at	2774.62	P	0.000244141
200706_s_at	698.826	P	0.000244141
200707_at	1129.11	P	0.000244141
200708_at	1075.47	P	0.000244141
200709_at	2129.06	P	0.000244141
200710_at	1119.7	P	0.000244141
200711_s_at	647.582	P	0.000244141
200712_s_at	1530.21	P	0.000244141
200713_s_at	3323.64	P	0.000244141
200714_x_at	747.953	P	0.000732422
200715_x_at	3573.73	P	0.000244141
200716_x_at	10521.4	P	0.000244141
200717_x_at	11144.1	P	0.000244141
200718_s_at	4868.39	P	0.000244141
200719_at	142.751	P	0.000244141
200720_s_at	489.523	P	0.000244141
200721_s_at	428.602	P	0.000244141
200722_s_at	1350.67	P	0.000244141
200723_s_at	3052.53	P	0.000244141
200724_at	35.932	A	0.171387
200725_x_at	7315.61	P	0.000244141
200726_at	3685.55	P	0.000244141
200727_s_at	693.25	P	0.000732422
200728_at	2729.24	P	0.000244141
200729_s_at	2203.28	P	0.000244141
200730_s_at	2277.83	P	0.000244141
200731_s_at	794.411	P	0.000244141
200732_s_at	949.569	P	0.000244141
200733_s_at	2810.32	P	0.000732422
200734_s_at	658.196	P	0.000244141
200735_x_at	6239.72	P	0.000244141
200736_s_at	3715.08	P	0.000244141
200737_at	3323.95	P	0.000244141
200738_s_at	8823.31	P	0.000244141
200739_s_at	880.972	P	0.000244141
200740_s_at	3395.27	P	0.000244141
200741_s_at	9569.61	P	0.000244141
200742_s_at	691.548	P	0.000244141
200743_s_at	874.251	P	0.000244141
200744_s_at	1777.72	P	0.000244141
200745_s_at	1700.89	P	0.000244141
200746_s_at	1730.2	P	0.000244141
200747_s_at	227.459	P	0.00292969
200748_s_at	11555.5	P	0.000244141
200749_at	1115.26	P	0.000244141
200750_s_at	7422.08	P	0.000244141
200751_s_at	1884.17	P	0.000244141
200752_s_at	89.0798	P	0.0107422
200753_x_at	1185.74	P	0.000244141
200754_x_at	2162.04	P	0.000244141
200755_s_at	4302.84	P	0.000244141
200756_x_at	4140.14	P	0.000244141
200757_s_at	4222.44	P	0.000244141
200758_s_at	590.59	P	0.000732422
200759_x_at	716.008	P	0.000732422
200760_s_at	2768.53	P	0.000244141
200761_s_at	2804.4	P	0.000244141
200762_at	1112.54	P	0.000244141
200763_s_at	10636.9	P	0.000244141
200764_s_at	877.551	P	0.000244141
200765_x_at	1499.88	P	0.000244141
200766_at	140.766	P	0.00292969
200767_s_at	146.892	P	0.000244141
200768_s_at	1242.4	P	0.000244141
200769_s_at	404.092	P	0.000244141
200770_s_at	849.986	P	0.000244141
200771_at	1299.24	P	0.000244141
200772_x_at	5683.08	P	0.000244141
200773_x_at	5985.48	P	0.000244141
200774_at	2062.86	P	0.000244141
200775_s_at	4014.4	P	0.000244141
200776_s_at	4030.45	P	0.000244141
200777_s_at	3081.05	P	0.000244141
200778_s_at	2464.82	P	0.000244141
200779_at	2541.77	P	0.000244141
200780_x_at	7163.6	P	0.000244141
200781_s_at	8305.58	P	0.000244141
200782_at	4145.49	P	0.000244141
200783_s_at	899.763	P	0.000244141
200784_s_at	51.7382	M	0.0561523
200785_s_at	50.3121	P	0.00292969
200786_at	3717.58	P	0.000244141
200787_s_at	1536.4	P	0.000244141
200788_s_at	3523.07	P	0.000244141
200789_at	637.756	P	0.00415039
200790_at	1243.15	P	0.000244141
200791_s_at	945.844	P	0.000244141
200792_at	4647.35	P	0.000244141
200793_s_at	989.138	P	0.000732422
200794_x_at	2982.04	P	0.000244141
200795_at	33.5018	P	0.0375977
200796_s_at	277.947	P	0.0012207
200797_s_at	1870.9	P	0.000244141
200798_x_at	1511.77	P	0.000244141
200799_at	2134.61	P	0.000244141
200800_s_at	976.338	P	0.000244141
200801_x_at	14166.8	P	0.000244141
200802_at	1123.62	P	0.000244141
200803_s_at	4173.18	P	0.000244141
200804_at	1672.42	P	0.000244141
200805_at	466.592	P	0.000244141
200806_s_at	6927.09	P	0.000244141
200807_s_at	9490.78	P	0.000244141
200808_s_at	270.876	P	0.000244141
200809_x_at	7395.31	P	0.000244141
200810_s_at	918.453	P	0.000244141
200811_at	657.46	P	0.00195313
200812_at	2331.9	P	0.000244141
200813_s_at	372.479	P	0.000244141
200814_at	1098.41	P	0.000244141
200815_s_at	526.528	P	0.000244141
200816_s_at	507.576	P	0.000732422
200817_x_at	12718.3	P	0.000244141
200818_at	3126.38	P	0.000244141
200819_s_at	8459.66	P	0.000244141
200820_at	2715.9	P	0.000732422
200821_at	1938.68	P	0.000244141
200822_x_at	6101.55	P	0.000244141
200823_x_at	5317.03	P	0.000244141
200824_at	2360.01	P	0.000244141
200825_s_at	964.728	P	0.000244141
200826_at	4609.01	P	0.000244141
200827_at	1214.24	P	0.000732422
200828_s_at	2849.93	P	0.000244141
200829_x_at	1768.07	P	0.000244141
200830_at	4020.93	P	0.000244141
200831_s_at	848.392	P	0.000244141
200832_s_at	1414.85	P	0.000244141
200833_s_at	1922.69	P	0.000244141
200834_s_at	10108.8	P	0.000244141
200835_s_at	8.94874	A	0.5
200836_s_at	319.42	P	0.0302734
200837_at	3471.93	P	0.000244141
200838_at	2874.99	P	0.000244141
200839_s_at	3497.11	P	0.000244141
200840_at	4932.31	P	0.000244141
200841_s_at	275.755	P	0.000732422
200842_s_at	638.44	P	0.000244141
200843_s_at	605.977	P	0.000244141
200844_s_at	3401.24	P	0.000244141
200845_s_at	2550.4	P	0.000244141
200846_s_at	2375.42	P	0.000244141
200847_s_at	3188.67	P	0.000244141
200848_at	427.43	P	0.000244141
200849_s_at	348.724	P	0.000732422
200850_s_at	964.218	P	0.000244141
200851_s_at	1221.24	P	0.000244141
200852_x_at	694.514	P	0.00195313
200853_at	8422.62	P	0.000244141
200854_at	268.62	P	0.000244141
200855_at	46.9682	P	0.0185547
200856_x_at	59.9717	P	0.0012207
200857_s_at	225.286	P	0.00415039
200858_s_at	6803.86	P	0.000244141
200859_x_at	1980.46	P	0.000244141
200860_s_at	1107.75	P	0.000244141
200861_at	336.725	P	0.0012207
200862_at	1191.8	P	0.000244141
200863_s_at	2665.33	P	0.000244141
200864_s_at	426.167	P	0.000732422
200865_at	5.51519	A	0.398926
200866_s_at	2528.63	P	0.000244141
200867_at	1009.45	P	0.000244141
200868_s_at	1517.06	P	0.000244141
200869_at	9697.47	P	0.000244141
200870_at	1836.49	P	0.000244141
200871_s_at	4679.84	P	0.000732422
200872_at	5720.72	P	0.000244141
200873_s_at	4501.34	P	0.000244141
200874_s_at	281.308	P	0.000244141
200875_s_at	1878.1	P	0.000244141
200876_s_at	4799	P	0.000244141
200877_at	4174.24	P	0.000244141
200878_at	422.423	P	0.000244141
200879_s_at	53.7662	P	0.0107422
200880_at	1117.67	P	0.000244141
200881_s_at	3750.22	P	0.000244141
