model_id,method,cluster,tissue
ach-003184,HC_avg_k24,15,soft_tissue
ach-001616,HC_avg_k24,13,lymphocyte
ach-000625,HC_avg_k24,1,liver
ach-000941,HC_avg_k24,8,uterus
ach-000392,HC_avg_k24,9,lung
ach-000269,HC_avg_k24,15,central_nervous_system
ach-001670,HC_avg_k24,21,peripheral_nervous_system
ach-003133,HC_avg_k24,15,unknown
ach-000856,HC_avg_k24,8,breast
ach-002687,HC_avg_k24,14,eye
ach-001119,HC_avg_k24,13,lymphocyte
ach-003132,HC_avg_k24,15,unknown
ach-000376,HC_avg_k24,15,central_nervous_system
ach-000685,HC_avg_k24,9,pancreas
ach-000729,HC_avg_k24,21,lung
ach-001034,HC_avg_k24,21,bone
ach-001283,HC_avg_k24,21,bone
ach-000880,HC_avg_k24,9,gastric
ach-000035,HC_avg_k24,9,lung
ach-001200,HC_avg_k24,23,soft_tissue
ach-000194,HC_avg_k24,15,fibroblast
ach-000322,HC_avg_k24,14,skin
ach-000552,HC_avg_k24,9,colorectal
ach-002508,HC_avg_k24,15,skin
ach-000222,HC_avg_k24,9,pancreas
ach-000260,HC_avg_k24,15,peripheral_nervous_system
ach-001652,HC_avg_k24,17,uterus
ach-000608,HC_avg_k24,9,ovary
ach-000501,HC_avg_k24,9,colorectal
ach-000612,HC_avg_k24,13,lymphocyte
ach-002033,HC_avg_k24,15,pleura
ach-001184,HC_avg_k24,19,soft_tissue
ach-001688,HC_avg_k24,3,kidney
ach-001838,HC_avg_k24,9,bile_duct
ach-000638,HC_avg_k24,9,lung
ach-001846,HC_avg_k24,1,bile_duct
ach-000798,HC_avg_k24,9,colorectal
ach-001321,HC_avg_k24,21,thyroid
ach-000894,HC_avg_k24,9,lung
ach-001559,HC_avg_k24,15,lung
ach-000344,HC_avg_k24,5,gastric
ach-000223,HC_avg_k24,9,breast
ach-000031,HC_avg_k24,9,pancreas
ach-000034,HC_avg_k24,13,blood
ach-001861,HC_avg_k24,9,bile_duct
ach-003468,HC_avg_k24,15,thyroid
ach-000772,HC_avg_k24,19,soft_tissue
ach-000946,HC_avg_k24,8,uterus
ach-000596,HC_avg_k24,9,lung
ach-001046,HC_avg_k24,13,lung
ach-000632,HC_avg_k24,14,skin
ach-000978,HC_avg_k24,23,uterus
ach-000332,HC_avg_k24,9,pancreas
ach-001841,HC_avg_k24,9,bile_duct
ach-003273,HC_avg_k24,13,blood
ach-000179,HC_avg_k24,21,lung
ach-000887,HC_avg_k24,9,central_nervous_system
ach-000368,HC_avg_k24,15,central_nervous_system
ach-000240,HC_avg_k24,15,fibroblast
ach-000578,HC_avg_k24,9,lung
ach-001611,HC_avg_k24,15,central_nervous_system
ach-000135,HC_avg_k24,15,fibroblast
ach-001671,HC_avg_k24,20,testis
ach-000406,HC_avg_k24,13,blood
ach-001541,HC_avg_k24,13,plasma_cell
ach-000998,HC_avg_k24,9,colorectal
ach-000441,HC_avg_k24,14,skin
ach-000960,HC_avg_k24,13,blood
ach-000098,HC_avg_k24,15,central_nervous_system
ach-001651,HC_avg_k24,5,uterus
ach-001456,HC_avg_k24,9,colorectal
ach-001336,HC_avg_k24,9,cervix
ach-000284,HC_avg_k24,15,fibroblast
ach-000971,HC_avg_k24,10,colorectal
ach-001454,HC_avg_k24,9,colorectal
ach-000926,HC_avg_k24,9,colorectal
ach-000033,HC_avg_k24,9,lung
ach-000576,HC_avg_k24,13,plasma_cell
ach-000019,HC_avg_k24,9,breast
ach-001577,HC_avg_k24,13,blood
ach-001981,HC_avg_k24,14,skin
ach-000330,HC_avg_k24,9,breast
ach-000848,HC_avg_k24,1,liver
ach-000481,HC_avg_k24,9,lung
ach-001517,HC_avg_k24,8,uterus
ach-000338,HC_avg_k24,13,lymphocyte
ach-001959,HC_avg_k24,23,bile_duct
ach-001414,HC_avg_k24,9,urinary_tract
ach-001227,HC_avg_k24,9,upper_aerodigestive
ach-000871,HC_avg_k24,21,lung
ach-001403,HC_avg_k24,8,ovary
ach-000805,HC_avg_k24,14,skin
ach-001142,HC_avg_k24,15,central_nervous_system
ach-001554,HC_avg_k24,14,eye
ach-001667,HC_avg_k24,14,soft_tissue
ach-000847,HC_avg_k24,19,gastric
ach-001447,HC_avg_k24,13,lymphocyte
ach-001537,HC_avg_k24,23,bile_duct
ach-001207,HC_avg_k24,15,fibroblast
ach-001854,HC_avg_k24,15,bile_duct
ach-000832,HC_avg_k24,9,upper_aerodigestive
ach-001975,HC_avg_k24,14,skin
ach-000428,HC_avg_k24,3,kidney
ach-001382,HC_avg_k24,9,pancreas
ach-001302,HC_avg_k24,21,peripheral_nervous_system
ach-000690,HC_avg_k24,9,lung
ach-001134,HC_avg_k24,13,lymphocyte
ach-000914,HC_avg_k24,13,lymphocyte
ach-000858,HC_avg_k24,9,lung
ach-001421,HC_avg_k24,21,eye
ach-002796,HC_avg_k24,19,soft_tissue
ach-003183,HC_avg_k24,15,soft_tissue
ach-002716,HC_avg_k24,13,blood
ach-003100,HC_avg_k24,13,lymphocyte
ach-000544,HC_avg_k24,9,esophagus
ach-000725,HC_avg_k24,9,breast
ach-000566,HC_avg_k24,3,urinary_tract
ach-000760,HC_avg_k24,15,central_nervous_system
ach-001745,HC_avg_k24,19,soft_tissue
ach-000787,HC_avg_k24,15,lung
ach-001598,HC_avg_k24,21,adrenal_cortex
ach-000749,HC_avg_k24,21,lung
ach-001691,HC_avg_k24,15,upper_aerodigestive
ach-001328,HC_avg_k24,9,skin
ach-001704,HC_avg_k24,14,skin
ach-001502,HC_avg_k24,20,testis
ach-002844,HC_avg_k24,15,soft_tissue
ach-001068,HC_avg_k24,13,lymphocyte
ach-000358,HC_avg_k24,21,lung
ach-002695,HC_avg_k24,15,peripheral_nervous_system
ach-001672,HC_avg_k24,20,testis
ach-001654,HC_avg_k24,6,esophagus
ach-001521,HC_avg_k24,9,skin
ach-000209,HC_avg_k24,1,bile_duct
ach-001520,HC_avg_k24,13,blood
ach-000213,HC_avg_k24,9,pancreas
ach-001610,HC_avg_k24,15,central_nervous_system
ach-001408,HC_avg_k24,9,urinary_tract
ach-000991,HC_avg_k24,9,colorectal
ach-001412,HC_avg_k24,9,urinary_tract
ach-000331,HC_avg_k24,15,lung
ach-001407,HC_avg_k24,15,urinary_tract
ach-000580,HC_avg_k24,14,skin
ach-000594,HC_avg_k24,21,lung
ach-000684,HC_avg_k24,3,kidney
ach-000742,HC_avg_k24,15,fibroblast
ach-000868,HC_avg_k24,9,lung
ach-000732,HC_avg_k24,9,upper_aerodigestive
ach-001481,HC_avg_k24,15,peripheral_nervous_system
ach-000429,HC_avg_k24,3,kidney
ach-000310,HC_avg_k24,21,peripheral_nervous_system
ach-002475,HC_avg_k24,20,blood
ach-000643,HC_avg_k24,9,breast
ach-000234,HC_avg_k24,3,kidney
ach-003267,HC_avg_k24,15,soft_tissue
ach-001498,HC_avg_k24,13,lymphocyte
ach-000896,HC_avg_k24,9,urinary_tract
ach-003451,HC_avg_k24,19,kidney
ach-000203,HC_avg_k24,21,peripheral_nervous_system
ach-001607,HC_avg_k24,6,bile_duct
ach-002706,HC_avg_k24,22,gastric
ach-001441,HC_avg_k24,14,eye
ach-000112,HC_avg_k24,13,blood
ach-000874,HC_avg_k24,13,blood
ach-000186,HC_avg_k24,9,lung
ach-002780,HC_avg_k24,21,bone
ach-000677,HC_avg_k24,22,lung
ach-000055,HC_avg_k24,21,central_nervous_system
ach-000485,HC_avg_k24,9,gastric
ach-000672,HC_avg_k24,16,lung
ach-001150,HC_avg_k24,15,bone
ach-000287,HC_avg_k24,13,lymphocyte
ach-000784,HC_avg_k24,9,esophagus
ach-000530,HC_avg_k24,23,lung
ach-002024,HC_avg_k24,21,colorectal
ach-000380,HC_avg_k24,13,plasma_cell
ach-001737,HC_avg_k24,13,blood
ach-001400,HC_avg_k24,9,cervix
ach-001054,HC_avg_k24,21,central_nervous_system
ach-001695,HC_avg_k24,9,upper_aerodigestive
ach-000009,HC_avg_k24,9,colorectal
ach-000491,HC_avg_k24,18,colorectal
ach-001703,HC_avg_k24,13,lymphocyte
ach-000002,HC_avg_k24,13,blood
ach-001568,HC_avg_k24,14,skin
ach-001449,HC_avg_k24,13,lymphocyte
ach-000993,HC_avg_k24,8,uterus
ach-002680,HC_avg_k24,15,central_nervous_system
ach-000877,HC_avg_k24,13,lymphocyte
ach-000711,HC_avg_k24,9,breast
ach-001515,HC_avg_k24,9,cervix
ach-002847,HC_avg_k24,15,unknown
ach-000702,HC_avg_k24,13,lymphocyte
ach-001020,HC_avg_k24,23,soft_tissue
ach-000600,HC_avg_k24,3,kidney
ach-003266,HC_avg_k24,15,soft_tissue
ach-000354,HC_avg_k24,9,pancreas
ach-000012,HC_avg_k24,9,lung
ach-000689,HC_avg_k24,15,soft_tissue
ach-002668,HC_avg_k24,13,blood
ach-002533,HC_avg_k24,3,kidney
ach-000459,HC_avg_k24,3,kidney
ach-002050,HC_avg_k24,15,unknown
ach-003120,HC_avg_k24,21,lung
ach-001413,HC_avg_k24,15,urinary_tract
ach-000686,HC_avg_k24,1,liver
ach-000342,HC_avg_k24,9,colorectal
ach-000208,HC_avg_k24,15,central_nervous_system
ach-000360,HC_avg_k24,9,colorectal
ach-000249,HC_avg_k24,9,colorectal
ach-001368,HC_avg_k24,23,esophagus
ach-000231,HC_avg_k24,15,central_nervous_system
ach-002074,HC_avg_k24,21,lung
ach-000945,HC_avg_k24,16,lung
ach-000662,HC_avg_k24,9,lung
ach-002458,HC_avg_k24,14,skin
ach-001378,HC_avg_k24,9,pancreas
ach-001029,HC_avg_k24,21,bone
ach-001817,HC_avg_k24,15,bone
ach-002846,HC_avg_k24,14,skin
ach-000248,HC_avg_k24,9,breast
ach-000943,HC_avg_k24,10,colorectal
ach-000751,HC_avg_k24,13,blood
ach-001696,HC_avg_k24,9,upper_aerodigestive
ach-002936,HC_avg_k24,19,soft_tissue
ach-001016,HC_avg_k24,15,central_nervous_system
ach-000282,HC_avg_k24,6,lung
ach-003438,HC_avg_k24,15,central_nervous_system
ach-002215,HC_avg_k24,13,lymphocyte
ach-000261,HC_avg_k24,17,lung
ach-000164,HC_avg_k24,22,pancreas
ach-001793,HC_avg_k24,15,soft_tissue
ach-000262,HC_avg_k24,3,kidney
ach-000158,HC_avg_k24,13,lymphocyte
ach-000773,HC_avg_k24,13,lymphocyte
ach-000722,HC_avg_k24,9,colorectal
ach-000857,HC_avg_k24,9,breast
ach-001129,HC_avg_k24,13,blood
