model_id,method,cluster,tissue
ach-000688,HC_avg_k29,18,ovary
ach-000405,HC_avg_k29,14,blood
ach-000821,HC_avg_k29,14,plasma_cell
ach-001677,HC_avg_k29,14,lymphocyte
ach-002526,HC_avg_k29,9,lung
ach-001627,HC_avg_k29,9,prostate
ach-000951,HC_avg_k29,9,lung
ach-001036,HC_avg_k29,14,blood
ach-002792,HC_avg_k29,15,soft_tissue
ach-000547,HC_avg_k29,9,urinary_tract
ach-000826,HC_avg_k29,9,lung
ach-001986,HC_avg_k29,15,skin
ach-001147,HC_avg_k29,14,lymphocyte
ach-002927,HC_avg_k29,15,eye
ach-002470,HC_avg_k29,22,bone
ach-000162,HC_avg_k29,14,lymphocyte
ach-003139,HC_avg_k29,18,muscle
ach-001751,HC_avg_k29,22,soft_tissue
ach-000018,HC_avg_k29,20,urinary_tract
ach-000721,HC_avg_k29,28,breast
ach-000003,HC_avg_k29,9,colorectal
ach-000092,HC_avg_k29,18,lung
ach-000669,HC_avg_k29,9,lung
ach-001099,HC_avg_k29,28,soft_tissue
ach-000648,HC_avg_k29,3,lung
ach-000950,HC_avg_k29,9,colorectal
ach-000050,HC_avg_k29,14,plasma_cell
ach-001106,HC_avg_k29,14,blood
ach-002051,HC_avg_k29,24,lung
ach-000367,HC_avg_k29,18,lung
ach-000589,HC_avg_k29,9,lung
ach-000564,HC_avg_k29,14,plasma_cell
ach-001522,HC_avg_k29,15,skin
ach-000831,HC_avg_k29,3,uterus
ach-000424,HC_avg_k29,24,bone
ach-000409,HC_avg_k29,8,ovary
ach-000616,HC_avg_k29,18,gastric
ach-000628,HC_avg_k29,9,lung
ach-000512,HC_avg_k29,14,plasma_cell
ach-000232,HC_avg_k29,18,central_nervous_system
ach-000820,HC_avg_k29,9,colorectal
ach-001295,HC_avg_k29,24,eye
ach-001164,HC_avg_k29,22,soft_tissue
ach-000806,HC_avg_k29,14,lymphocyte
ach-002524,HC_avg_k29,8,ovary
ach-000645,HC_avg_k29,18,lung
ach-000099,HC_avg_k29,24,peripheral_nervous_system
ach-000902,HC_avg_k29,9,breast
ach-000649,HC_avg_k29,3,kidney
ach-000086,HC_avg_k29,20,lung
ach-000149,HC_avg_k29,18,peripheral_nervous_system
ach-002538,HC_avg_k29,9,colorectal
ach-000142,HC_avg_k29,9,urinary_tract
ach-002535,HC_avg_k29,9,colorectal
ach-000227,HC_avg_k29,24,peripheral_nervous_system
ach-000697,HC_avg_k29,14,lymphocyte
ach-000942,HC_avg_k29,14,blood
ach-000264,HC_avg_k29,21,lung
ach-000809,HC_avg_k29,9,esophagus
ach-000093,HC_avg_k29,9,pancreas
ach-000100,HC_avg_k29,22,soft_tissue
ach-001445,HC_avg_k29,9,upper_aerodigestive
ach-000060,HC_avg_k29,9,pancreas
ach-000001,HC_avg_k29,8,ovary
ach-000957,HC_avg_k29,9,colorectal
ach-000650,HC_avg_k29,15,skin
ach-001096,HC_avg_k29,22,soft_tissue
ach-002799,HC_avg_k29,18,peripheral_nervous_system
ach-002404,HC_avg_k29,15,skin
ach-000239,HC_avg_k29,9,gastric
ach-000762,HC_avg_k29,9,upper_aerodigestive
ach-000922,HC_avg_k29,14,blood
ach-002784,HC_avg_k29,18,soft_tissue
ach-002653,HC_avg_k29,14,blood
ach-000859,HC_avg_k29,9,breast
ach-000990,HC_avg_k29,8,uterus
ach-000410,HC_avg_k29,18,bone
ach-001971,HC_avg_k29,15,skin
ach-000927,HC_avg_k29,9,breast
ach-001853,HC_avg_k29,9,bile_duct
ach-001978,HC_avg_k29,15,skin
ach-000694,HC_avg_k29,9,esophagus
ach-000935,HC_avg_k29,18,colorectal
ach-000918,HC_avg_k29,14,blood
ach-001984,HC_avg_k29,15,skin
ach-000761,HC_avg_k29,9,gastric
ach-001563,HC_avg_k29,18,skin
ach-000974,HC_avg_k29,8,uterus
ach-000297,HC_avg_k29,24,lung
ach-001719,HC_avg_k29,3,ovary
ach-000243,HC_avg_k29,9,pancreas
ach-001418,HC_avg_k29,8,ovary
ach-000362,HC_avg_k29,14,blood
ach-000843,HC_avg_k29,9,lung
ach-002052,HC_avg_k29,24,lung
ach-000840,HC_avg_k29,20,lung
ach-001852,HC_avg_k29,9,bile_duct
ach-001528,HC_avg_k29,19,thyroid
ach-001656,HC_avg_k29,14,blood
ach-000016,HC_avg_k29,3,kidney
ach-000165,HC_avg_k29,18,fibroblast
ach-001460,HC_avg_k29,9,colorectal
ach-000592,HC_avg_k29,18,central_nervous_system
ach-001192,HC_avg_k29,24,bone
ach-000045,HC_avg_k29,14,blood
ach-000741,HC_avg_k29,9,urinary_tract
ach-000912,HC_avg_k29,28,lung
ach-000529,HC_avg_k29,18,fibroblast
ach-000508,HC_avg_k29,24,lung
ach-000577,HC_avg_k29,1,liver
ach-000768,HC_avg_k29,18,breast
ach-000636,HC_avg_k29,14,blood
ach-000667,HC_avg_k29,6,lung
ach-000905,HC_avg_k29,9,urinary_tract
ach-001494,HC_avg_k29,9,bile_duct
ach-000387,HC_avg_k29,14,blood
ach-002510,HC_avg_k29,15,skin
ach-001303,HC_avg_k29,24,peripheral_nervous_system
ach-000026,HC_avg_k29,3,urinary_tract
ach-000838,HC_avg_k29,14,plasma_cell
ach-001172,HC_avg_k29,18,central_nervous_system
ach-000822,HC_avg_k29,15,skin
ach-000531,HC_avg_k29,18,fibroblast
ach-000349,HC_avg_k29,9,breast
ach-000527,HC_avg_k29,8,ovary
ach-000279,HC_avg_k29,24,bone
ach-000516,HC_avg_k29,18,bone
ach-001662,HC_avg_k29,7,breast
ach-000812,HC_avg_k29,15,skin
ach-003157,HC_avg_k29,18,lung
ach-003464,HC_avg_k29,18,soft_tissue
ach-001300,HC_avg_k29,24,peripheral_nervous_system
ach-000524,HC_avg_k29,8,ovary
ach-000611,HC_avg_k29,14,lymphocyte
ach-002419,HC_avg_k29,18,uterus
ach-000411,HC_avg_k29,3,kidney
ach-000718,HC_avg_k29,9,lung
ach-000903,HC_avg_k29,18,thyroid
ach-002021,HC_avg_k29,23,uterus
ach-000433,HC_avg_k29,3,kidney
ach-000499,HC_avg_k29,24,bone
ach-000278,HC_avg_k29,20,ovary
ach-000202,HC_avg_k29,24,colorectal
ach-001736,HC_avg_k29,14,blood
ach-001379,HC_avg_k29,9,pancreas
ach-002070,HC_avg_k29,18,central_nervous_system
ach-002794,HC_avg_k29,18,soft_tissue
ach-000128,HC_avg_k29,18,central_nervous_system
ach-002528,HC_avg_k29,3,kidney
ach-000696,HC_avg_k29,20,ovary
ach-000041,HC_avg_k29,24,bone
ach-000214,HC_avg_k29,18,fibroblast
ach-000747,HC_avg_k29,28,lung
ach-001307,HC_avg_k29,18,thyroid
ach-000341,HC_avg_k29,24,peripheral_nervous_system
ach-001740,HC_avg_k29,22,soft_tissue
ach-000417,HC_avg_k29,9,pancreas
ach-001393,HC_avg_k29,9,breast
ach-000120,HC_avg_k29,18,peripheral_nervous_system
ach-001694,HC_avg_k29,9,upper_aerodigestive
ach-001542,HC_avg_k29,9,upper_aerodigestive
ach-002509,HC_avg_k29,15,skin
ach-000438,HC_avg_k29,6,lung
ach-001366,HC_avg_k29,24,peripheral_nervous_system
ach-000653,HC_avg_k29,14,plasma_cell
ach-000839,HC_avg_k29,9,urinary_tract
ach-000673,HC_avg_k29,18,central_nervous_system
ach-001524,HC_avg_k29,9,skin
ach-000069,HC_avg_k29,14,lymphocyte
ach-002996,HC_avg_k29,18,lung
ach-003142,HC_avg_k29,18,muscle
ach-000323,HC_avg_k29,18,central_nervous_system
ach-000021,HC_avg_k29,9,lung
ach-001863,HC_avg_k29,9,bile_duct
ach-001996,HC_avg_k29,9,bile_duct
ach-000980,HC_avg_k29,24,lung
ach-000106,HC_avg_k29,14,lymphocyte
ach-003156,HC_avg_k29,9,lung
ach-000734,HC_avg_k29,1,liver
ach-000845,HC_avg_k29,9,lung
ach-001982,HC_avg_k29,15,skin
ach-000730,HC_avg_k29,15,skin
ach-001334,HC_avg_k29,9,cervix
ach-000698,HC_avg_k29,24,lung
ach-000802,HC_avg_k29,9,urinary_tract
ach-001836,HC_avg_k29,1,bile_duct
ach-000573,HC_avg_k29,18,breast
ach-001699,HC_avg_k29,9,upper_aerodigestive
ach-000963,HC_avg_k29,9,colorectal
ach-001567,HC_avg_k29,15,skin
ach-001653,HC_avg_k29,9,gastric
ach-000852,HC_avg_k29,9,lung
ach-001862,HC_avg_k29,6,bile_duct
ach-001976,HC_avg_k29,15,skin
ach-002665,HC_avg_k29,9,colorectal
ach-003153,HC_avg_k29,9,lung
ach-000661,HC_avg_k29,15,skin
ach-001500,HC_avg_k29,25,esophagus
ach-001190,HC_avg_k29,15,skin
ach-002467,HC_avg_k29,18,eye
ach-000364,HC_avg_k29,22,bone
ach-000448,HC_avg_k29,9,lung
ach-000979,HC_avg_k29,11,prostate
ach-000932,HC_avg_k29,29,gastric
ach-000783,HC_avg_k29,9,breast
ach-002044,HC_avg_k29,24,upper_aerodigestive
ach-000301,HC_avg_k29,14,blood
ach-002459,HC_avg_k29,15,skin
ach-000976,HC_avg_k29,9,bile_duct
ach-001516,HC_avg_k29,24,cervix
ach-001354,HC_avg_k29,24,peripheral_nervous_system
ach-001645,HC_avg_k29,15,skin
ach-003135,HC_avg_k29,18,central_nervous_system
ach-000867,HC_avg_k29,9,lung
ach-000304,HC_avg_k29,15,skin
ach-002069,HC_avg_k29,22,bone
ach-000931,HC_avg_k29,15,skin
ach-001374,HC_avg_k29,23,ovary
ach-000302,HC_avg_k29,3,uterus
ach-000305,HC_avg_k29,9,esophagus
ach-000072,HC_avg_k29,14,blood
ach-000766,HC_avg_k29,9,lung
ach-000533,HC_avg_k29,28,soft_tissue
ach-000343,HC_avg_k29,28,lung
ach-001437,HC_avg_k29,23,testis
ach-000171,HC_avg_k29,3,kidney
ach-003475,HC_avg_k29,9,upper_aerodigestive
ach-000173,HC_avg_k29,8,uterus
ach-000535,HC_avg_k29,9,pancreas
ach-000774,HC_avg_k29,9,lung
ach-000178,HC_avg_k29,6,pancreas
ach-001306,HC_avg_k29,18,thyroid
ach-000994,HC_avg_k29,8,uterus
ach-001188,HC_avg_k29,24,peripheral_nervous_system
ach-000372,HC_avg_k29,14,blood
ach-002886,HC_avg_k29,9,colorectal
ach-000804,HC_avg_k29,24,peripheral_nervous_system
ach-000011,HC_avg_k29,3,urinary_tract
ach-000733,HC_avg_k29,9,lung
ach-001603,HC_avg_k29,24,peripheral_nervous_system
ach-000829,HC_avg_k29,14,plasma_cell
ach-000141,HC_avg_k29,9,bile_duct
ach-000810,HC_avg_k29,15,skin
ach-001994,HC_avg_k29,1,bile_duct
ach-001145,HC_avg_k29,8,ovary
ach-000717,HC_avg_k29,9,esophagus
ach-000738,HC_avg_k29,18,central_nervous_system
ach-001843,HC_avg_k29,15,bile_duct
ach-002664,HC_avg_k29,9,colorectal
ach-000780,HC_avg_k29,24,lung
ach-001548,HC_avg_k29,24,peripheral_nervous_system
ach-000759,HC_avg_k29,9,breast
ach-001555,HC_avg_k29,18,lung
ach-001369,HC_avg_k29,8,ovary
ach-000969,HC_avg_k29,9,colorectal
ach-000873,HC_avg_k29,12,esophagus
ach-001275,HC_avg_k29,22,soft_tissue
ach-002654,HC_avg_k29,9,colorectal
ach-002435,HC_avg_k29,3,kidney
ach-001972,HC_avg_k29,15,skin
ach-000921,HC_avg_k29,19,lung
ach-003470,HC_avg_k29,18,thyroid
ach-001953,HC_avg_k29,15,skin
ach-002843,HC_avg_k29,18,soft_tissue
ach-001373,HC_avg_k29,8,ovary
ach-002800,HC_avg_k29,18,peripheral_nervous_system
ach-001022,HC_avg_k29,24,bone
ach-000082,HC_avg_k29,18,bone
ach-003105,HC_avg_k29,15,skin
ach-000488,HC_avg_k29,9,esophagus
ach-000790,HC_avg_k29,24,lung
ach-000172,HC_avg_k29,28,soft_tissue
ach-000647,HC_avg_k29,9,esophagus
ach-000602,HC_avg_k29,14,blood
ach-003181,HC_avg_k29,18,soft_tissue
ach-002681,HC_avg_k29,18,central_nervous_system
ach-001465,HC_avg_k29,24,peripheral_nervous_system
ach-003012,HC_avg_k29,5,lung
ach-000156,HC_avg_k29,14,blood
ach-002001,HC_avg_k29,15,skin
ach-000315,HC_avg_k29,14,lymphocyte
ach-001678,HC_avg_k29,14,lymphocyte
ach-002446,HC_avg_k29,9,gastric
ach-000201,HC_avg_k29,28,soft_tissue
ach-000435,HC_avg_k29,8,uterus
ach-000965,HC_avg_k29,9,uterus
ach-001550,HC_avg_k29,22,skin
ach-002026,HC_avg_k29,8,uterus
ach-000883,HC_avg_k29,18,central_nervous_system
ach-000482,HC_avg_k29,9,lung
ach-000450,HC_avg_k29,15,skin
ach-002672,HC_avg_k29,9,pancreas
ach-000835,HC_avg_k29,18,soft_tissue
ach-002431,HC_avg_k29,18,peripheral_nervous_system
ach-001802,HC_avg_k29,22,soft_tissue
ach-000629,HC_avg_k29,18,central_nervous_system
ach-000715,HC_avg_k29,9,upper_aerodigestive
ach-000870,HC_avg_k29,24,lung
ach-000910,HC_avg_k29,9,breast
ach-000779,HC_avg_k29,9,lung
ach-000140,HC_avg_k29,14,lymphocyte
ach-001196,HC_avg_k29,22,soft_tissue
ach-001484,HC_avg_k29,14,blood
ach-000693,HC_avg_k29,9,esophagus
ach-000811,HC_avg_k29,8,ovary
ach-000423,HC_avg_k29,15,skin
ach-000290,HC_avg_k29,24,lung
ach-001847,HC_avg_k29,1,bile_duct
ach-000492,HC_avg_k29,14,blood
ach-001519,HC_avg_k29,28,bone
ach-000110,HC_avg_k29,9,gastric
ach-001497,HC_avg_k29,9,esophagus
ach-000102,HC_avg_k29,18,central_nervous_system
ach-000817,HC_avg_k29,14,plasma_cell
ach-001556,HC_avg_k29,18,lung
ach-000964,HC_avg_k29,14,blood
ach-000378,HC_avg_k29,6,lung
ach-000913,HC_avg_k29,20,uterus
ach-000575,HC_avg_k29,18,lung
ach-000634,HC_avg_k29,18,central_nervous_system
ach-002291,HC_avg_k29,23,embryo
ach-001322,HC_avg_k29,22,soft_tissue
ach-002924,HC_avg_k29,15,eye
ach-000767,HC_avg_k29,24,lung
ach-001642,HC_avg_k29,14,lymphocyte
ach-001552,HC_avg_k29,22,skin
ach-000451,HC_avg_k29,9,lung
ach-000879,HC_avg_k29,28,uterus
ach-001842,HC_avg_k29,9,bile_duct
ach-002662,HC_avg_k29,9,colorectal
ach-001032,HC_avg_k29,24,bone
ach-000982,HC_avg_k29,9,colorectal
ach-001636,HC_avg_k29,14,lymphocyte
ach-000189,HC_avg_k29,3,kidney
ach-000454,HC_avg_k29,9,lung
ach-000131,HC_avg_k29,18,fibroblast
ach-000660,HC_avg_k29,14,lymphocyte
ach-001197,HC_avg_k29,14,lymphocyte
ach-000915,HC_avg_k29,15,skin
ach-000480,HC_avg_k29,1,liver
ach-000745,HC_avg_k29,14,plasma_cell
ach-000161,HC_avg_k29,1,lung
ach-000395,HC_avg_k29,24,lung
ach-001459,HC_avg_k29,9,colorectal
ach-000916,HC_avg_k29,9,lung
ach-001609,HC_avg_k29,18,central_nervous_system
ach-001960,HC_avg_k29,9,bile_duct
ach-002648,HC_avg_k29,8,uterus
ach-001856,HC_avg_k29,1,bile_duct
ach-003158,HC_avg_k29,18,muscle
ach-002433,HC_avg_k29,18,bone
ach-000295,HC_avg_k29,14,blood
ach-001485,HC_avg_k29,14,blood
ach-003269,HC_avg_k29,18,soft_tissue
ach-000292,HC_avg_k29,28,lung
ach-000137,HC_avg_k29,18,central_nervous_system
ach-000308,HC_avg_k29,8,ovary
ach-000445,HC_avg_k29,18,central_nervous_system
ach-001229,HC_avg_k29,9,upper_aerodigestive
ach-000144,HC_avg_k29,9,gastric
ach-000837,HC_avg_k29,9,lung
ach-000048,HC_avg_k29,28,ovary
ach-000463,HC_avg_k29,5,lung
ach-000881,HC_avg_k29,15,skin
ach-000388,HC_avg_k29,14,lymphocyte
ach-001992,HC_avg_k29,18,lung
ach-000147,HC_avg_k29,9,breast
ach-000930,HC_avg_k29,7,breast
ach-000899,HC_avg_k29,15,skin
ach-000366,HC_avg_k29,24,peripheral_nervous_system
ach-001571,HC_avg_k29,14,lymphocyte
ach-001526,HC_avg_k29,22,bone
ach-000064,HC_avg_k29,9,lung
ach-001329,HC_avg_k29,18,central_nervous_system
ach-001676,HC_avg_k29,24,upper_aerodigestive
ach-000418,HC_avg_k29,18,bone
ach-001280,HC_avg_k29,22,soft_tissue
ach-002922,HC_avg_k29,24,peripheral_nervous_system
ach-000861,HC_avg_k29,18,lung
ach-000692,HC_avg_k29,9,upper_aerodigestive
ach-003137,HC_avg_k29,18,central_nervous_system
ach-000107,HC_avg_k29,9,pancreas
ach-000133,HC_avg_k29,18,soft_tissue
ach-000306,HC_avg_k29,18,fibroblast
ach-001530,HC_avg_k29,23,uterus
ach-000651,HC_avg_k29,24,colorectal
ach-000563,HC_avg_k29,9,lung
ach-000058,HC_avg_k29,18,thyroid
ach-000345,HC_avg_k29,24,peripheral_nervous_system
ach-000316,HC_avg_k29,1,liver
ach-000884,HC_avg_k29,15,skin
ach-000289,HC_avg_k29,15,central_nervous_system
ach-001451,HC_avg_k29,20,cervix
ach-003459,HC_avg_k29,15,skin
ach-002440,HC_avg_k29,19,thyroid
ach-000355,HC_avg_k29,24,lung
ach-002926,HC_avg_k29,15,unknown
ach-000962,HC_avg_k29,8,ovary
ach-000473,HC_avg_k29,9,urinary_tract
ach-000192,HC_avg_k29,24,uterus
ach-001624,HC_avg_k29,18,central_nervous_system
ach-001989,HC_avg_k29,15,skin
ach-001807,HC_avg_k29,18,soft_tissue
ach-002532,HC_avg_k29,9,colorectal
ach-002466,HC_avg_k29,18,eye
ach-001344,HC_avg_k29,18,peripheral_nervous_system
ach-001684,HC_avg_k29,14,blood
ach-000757,HC_avg_k29,28,lung
ach-000054,HC_avg_k29,18,soft_tissue
ach-001318,HC_avg_k29,1,liver
ach-000601,HC_avg_k29,25,pancreas
ach-000635,HC_avg_k29,8,ovary
ach-001857,HC_avg_k29,21,bile_duct
ach-000966,HC_avg_k29,8,ovary
ach-000630,HC_avg_k29,18,upper_aerodigestive
ach-000225,HC_avg_k29,24,gastric
ach-002047,HC_avg_k29,18,uterus
ach-000657,HC_avg_k29,28,ovary
ach-000624,HC_avg_k29,9,breast
ach-000699,HC_avg_k29,18,breast
ach-000923,HC_avg_k29,14,lymphocyte
ach-000687,HC_avg_k29,14,lymphocyte
ach-000044,HC_avg_k29,9,breast
ach-000740,HC_avg_k29,9,upper_aerodigestive
ach-000447,HC_avg_k29,6,lung
ach-000101,HC_avg_k29,14,blood
ach-001416,HC_avg_k29,9,urinary_tract
ach-000319,HC_avg_k29,18,lung
ach-000198,HC_avg_k29,14,blood
ach-000280,HC_avg_k29,9,ovary
ach-003265,HC_avg_k29,18,soft_tissue
ach-000104,HC_avg_k29,14,blood
ach-001835,HC_avg_k29,1,bile_duct
ach-000892,HC_avg_k29,5,lung
ach-000493,HC_avg_k29,18,liver
ach-000042,HC_avg_k29,9,pancreas
ach-002045,HC_avg_k29,9,upper_aerodigestive
ach-000221,HC_avg_k29,28,liver
ach-000477,HC_avg_k29,15,skin
ach-000746,HC_avg_k29,24,gastric
ach-000356,HC_avg_k29,9,gastric
ach-000457,HC_avg_k29,3,kidney
ach-000904,HC_avg_k29,24,lung
ach-002060,HC_avg_k29,14,blood
ach-003159,HC_avg_k29,18,hair
ach-001813,HC_avg_k29,18,bone
ach-000244,HC_avg_k29,18,central_nervous_system
ach-000610,HC_avg_k29,24,lung
ach-000081,HC_avg_k29,14,blood
ach-003161,HC_avg_k29,18,pancreas
ach-000255,HC_avg_k29,18,gastric
ach-001038,HC_avg_k29,24,bone
ach-000352,HC_avg_k29,9,breast
ach-002016,HC_avg_k29,18,eye
ach-000416,HC_avg_k29,5,lung
ach-000752,HC_avg_k29,18,lung
ach-000862,HC_avg_k29,9,urinary_tract
ach-000236,HC_avg_k29,9,colorectal
ach-000401,HC_avg_k29,15,skin
ach-000731,HC_avg_k29,18,lung
ach-000875,HC_avg_k29,9,lung
ach-000626,HC_avg_k29,14,plasma_cell
ach-000593,HC_avg_k29,9,urinary_tract
ach-000182,HC_avg_k29,9,bile_duct
ach-000442,HC_avg_k29,18,lung
ach-000159,HC_avg_k29,3,kidney
ach-000907,HC_avg_k29,3,kidney
ach-000191,HC_avg_k29,6,thyroid
ach-000205,HC_avg_k29,9,pancreas
ach-000103,HC_avg_k29,8,ovary
ach-000739,HC_avg_k29,1,liver
ach-001558,HC_avg_k29,18,lung
ach-000206,HC_avg_k29,14,lymphocyte
ach-000841,HC_avg_k29,9,lung
ach-000615,HC_avg_k29,15,skin
ach-001613,HC_avg_k29,14,blood
ach-001608,HC_avg_k29,18,central_nervous_system
ach-000801,HC_avg_k29,15,skin
ach-000539,HC_avg_k29,18,fibroblast
ach-000464,HC_avg_k29,18,central_nervous_system
ach-000622,HC_avg_k29,18,central_nervous_system
ach-000452,HC_avg_k29,12,esophagus
ach-001390,HC_avg_k29,9,breast
ach-001401,HC_avg_k29,28,adrenal_cortex
ach-000365,HC_avg_k29,14,lymphocyte
ach-001431,HC_avg_k29,24,bone
ach-000475,HC_avg_k29,1,liver
ach-000860,HC_avg_k29,9,lung
ach-000074,HC_avg_k29,14,blood
ach-000377,HC_avg_k29,9,bile_duct
ach-001562,HC_avg_k29,18,lung
ach-001693,HC_avg_k29,18,upper_aerodigestive
ach-003134,HC_avg_k29,18,unknown
ach-000259,HC_avg_k29,24,peripheral_nervous_system
ach-001697,HC_avg_k29,9,upper_aerodigestive
ach-002801,HC_avg_k29,15,peripheral_nervous_system
ach-001388,HC_avg_k29,9,breast
ach-001410,HC_avg_k29,9,urinary_tract
ach-002025,HC_avg_k29,9,colorectal
ach-002688,HC_avg_k29,18,bone
ach-000720,HC_avg_k29,18,urinary_tract
ach-000095,HC_avg_k29,24,central_nervous_system
ach-001345,HC_avg_k29,9,colorectal
ach-000558,HC_avg_k29,18,central_nervous_system
ach-000664,HC_avg_k29,14,lymphocyte
ach-000177,HC_avg_k29,24,prostate
ach-001423,HC_avg_k29,3,kidney
ach-000335,HC_avg_k29,18,lung
ach-000940,HC_avg_k29,28,uterus
ach-003160,HC_avg_k29,18,hair
ach-000631,HC_avg_k29,15,central_nervous_system
ach-000207,HC_avg_k29,9,upper_aerodigestive
ach-000764,HC_avg_k29,18,gastric
ach-000995,HC_avg_k29,14,blood
ach-000373,HC_avg_k29,14,blood
ach-000953,HC_avg_k29,14,blood
ach-000709,HC_avg_k29,3,kidney
ach-003463,HC_avg_k29,14,lymphocyte
ach-000846,HC_avg_k29,9,upper_aerodigestive
ach-001702,HC_avg_k29,3,soft_tissue
ach-000333,HC_avg_k29,9,ovary
ach-001708,HC_avg_k29,14,lymphocyte
ach-002059,HC_avg_k29,14,blood
ach-000929,HC_avg_k29,9,lung
ach-001395,HC_avg_k29,9,breast
ach-000948,HC_avg_k29,9,gastric
ach-002015,HC_avg_k29,18,eye
ach-000981,HC_avg_k29,14,blood
ach-000617,HC_avg_k29,8,ovary
ach-000311,HC_avg_k29,9,lung
ach-001210,HC_avg_k29,28,soft_tissue
ach-001834,HC_avg_k29,1,bile_duct
ach-002010,HC_avg_k29,15,eye
ach-003143,HC_avg_k29,3,kidney
ach-000390,HC_avg_k29,9,lung
ach-000468,HC_avg_k29,6,pancreas
ach-002651,HC_avg_k29,14,blood
ach-001061,HC_avg_k29,9,colorectal
ach-000077,HC_avg_k29,14,lymphocyte
ach-000456,HC_avg_k29,19,thyroid
ach-002703,HC_avg_k29,1,gastric
ach-000496,HC_avg_k29,6,lung
ach-002512,HC_avg_k29,15,skin
ach-000062,HC_avg_k29,6,lung
ach-002464,HC_avg_k29,18,eye
ach-000088,HC_avg_k29,18,fibroblast
ach-000536,HC_avg_k29,9,breast
ach-000071,HC_avg_k29,18,fibroblast
ach-002004,HC_avg_k29,15,skin
ach-000878,HC_avg_k29,5,lung
ach-001380,HC_avg_k29,1,pancreas
ach-002061,HC_avg_k29,14,blood
ach-000385,HC_avg_k29,3,kidney
ach-000412,HC_avg_k29,9,colorectal
ach-003474,HC_avg_k29,9,upper_aerodigestive
ach-000427,HC_avg_k29,9,gastric
ach-000938,HC_avg_k29,14,blood
ach-000462,HC_avg_k29,14,blood
ach-000939,HC_avg_k29,28,soft_tissue
ach-000325,HC_avg_k29,9,gastric
ach-000515,HC_avg_k29,24,lung
ach-001033,HC_avg_k29,28,central_nervous_system
ach-000919,HC_avg_k29,9,gastric
ach-000863,HC_avg_k29,18,central_nervous_system
ach-000642,HC_avg_k29,9,breast
ach-000581,HC_avg_k29,9,gastric
ach-001435,HC_avg_k29,22,testis
ach-001050,HC_avg_k29,22,soft_tissue
ach-001818,HC_avg_k29,18,bone
ach-001384,HC_avg_k29,18,thyroid
ach-000797,HC_avg_k29,18,fibroblast
ach-000220,HC_avg_k29,14,lymphocyte
ach-001533,HC_avg_k29,14,lymphocyte
ach-001508,HC_avg_k29,12,upper_aerodigestive
ach-000827,HC_avg_k29,18,skin
ach-003119,HC_avg_k29,24,lung
ach-000961,HC_avg_k29,8,uterus
ach-000778,HC_avg_k29,9,upper_aerodigestive
ach-000825,HC_avg_k29,18,lung
ach-000743,HC_avg_k29,24,lung
ach-000190,HC_avg_k29,18,unknown
ach-001819,HC_avg_k29,9,breast
ach-000157,HC_avg_k29,14,lymphocyte
ach-001786,HC_avg_k29,9,colorectal
ach-000253,HC_avg_k29,9,colorectal
ach-001376,HC_avg_k29,9,pancreas
ach-000958,HC_avg_k29,9,colorectal
ach-000228,HC_avg_k29,9,upper_aerodigestive
ach-000266,HC_avg_k29,9,pancreas
ach-001750,HC_avg_k29,18,soft_tissue
ach-000174,HC_avg_k29,20,thyroid
ach-000245,HC_avg_k29,14,lymphocyte
ach-001279,HC_avg_k29,28,ovary
ach-000620,HC_avg_k29,8,liver
ach-000813,HC_avg_k29,6,lung
ach-001513,HC_avg_k29,9,cervix
ach-000168,HC_avg_k29,14,blood
ach-000257,HC_avg_k29,24,lung
ach-000211,HC_avg_k29,18,central_nervous_system
ach-000283,HC_avg_k29,18,central_nervous_system
ach-002401,HC_avg_k29,9,breast
ach-002041,HC_avg_k29,18,thyroid
ach-000987,HC_avg_k29,15,skin
ach-003465,HC_avg_k29,18,upper_aerodigestive
ach-000682,HC_avg_k29,9,upper_aerodigestive
ach-000073,HC_avg_k29,14,lymphocyte
ach-000212,HC_avg_k29,20,breast
ach-000096,HC_avg_k29,28,kidney
ach-002500,HC_avg_k29,14,lymphocyte
ach-001440,HC_avg_k29,23,testis
ach-000063,HC_avg_k29,18,fibroblast
ach-002942,HC_avg_k29,18,soft_tissue
ach-001999,HC_avg_k29,9,pancreas
ach-000776,HC_avg_k29,13,central_nervous_system
ach-000521,HC_avg_k29,5,lung
ach-000299,HC_avg_k29,14,blood
ach-000025,HC_avg_k29,18,central_nervous_system
ach-000591,HC_avg_k29,18,central_nervous_system
ach-001716,HC_avg_k29,24,peripheral_nervous_system
ach-000833,HC_avg_k29,22,soft_tissue
ach-001628,HC_avg_k29,3,ovary
ach-000398,HC_avg_k29,14,lymphocyte
ach-000274,HC_avg_k29,15,skin
ach-001370,HC_avg_k29,19,ovary
ach-001700,HC_avg_k29,9,upper_aerodigestive
ach-000029,HC_avg_k29,9,lung
ach-001849,HC_avg_k29,9,bile_duct
ach-000644,HC_avg_k29,15,skin
ach-001422,HC_avg_k29,9,prostate
ach-000588,HC_avg_k29,14,plasma_cell
ach-000849,HC_avg_k29,9,breast
ach-002690,HC_avg_k29,18,bone
ach-000219,HC_avg_k29,15,skin
ach-000150,HC_avg_k29,9,lung
ach-001845,HC_avg_k29,1,bile_duct
ach-002643,HC_avg_k29,14,lymphocyte
