original_value,dataset,resolution_step_reached,reason
ACH-003143,depmap_profiles,direct_join,model_id not present in cell_line_lookup.model_id
ACH-003145,depmap_profiles,direct_join,model_id not present in cell_line_lookup.model_id
ACH-003147,depmap_profiles,direct_join,model_id not present in cell_line_lookup.model_id
ACH-003148,depmap_profiles,direct_join,model_id not present in cell_line_lookup.model_id
ACH-003149,depmap_profiles,direct_join,model_id not present in cell_line_lookup.model_id
ACH-003150,depmap_profiles,direct_join,model_id not present in cell_line_lookup.model_id
ACH-003152,depmap_profiles,direct_join,model_id not present in cell_line_lookup.model_id
ACH-003153,depmap_profiles,direct_join,model_id not present in cell_line_lookup.model_id
ACH-003154,depmap_profiles,direct_join,model_id not present in cell_line_lookup.model_id
ACH-003155,depmap_profiles,direct_join,model_id not present in cell_line_lookup.model_id
ACH-003156,depmap_profiles,direct_join,model_id not present in cell_line_lookup.model_id
ACH-003157,depmap_profiles,direct_join,model_id not present in cell_line_lookup.model_id
ACH-003158,depmap_profiles,direct_join,model_id not present in cell_line_lookup.model_id
ACH-003159,depmap_profiles,direct_join,model_id not present in cell_line_lookup.model_id
ACH-003160,depmap_profiles,direct_join,model_id not present in cell_line_lookup.model_id
ACH-003161,depmap_profiles,direct_join,model_id not present in cell_line_lookup.model_id
