gsm,model_id,cvcl_id,deprecation_status,resolution_method
gsm1017466,,cvcl_0038,,no_depmap_equivalent
gsm1017467,,cvcl_0038,,no_depmap_equivalent
gsm1017468,,cvcl_0038,,no_depmap_equivalent
gsm1017475,,cvcl_0839,,no_depmap_equivalent
gsm1017476,,cvcl_0839,,no_depmap_equivalent
gsm1017477,,cvcl_0839,,no_depmap_equivalent
gsm1017481,,cvcl_5310,,no_depmap_equivalent
gsm1017482,,cvcl_5310,,no_depmap_equivalent
gsm1017483,,cvcl_5310,,no_depmap_equivalent
gsm1035339,,cvcl_1896,,no_depmap_equivalent
gsm1219500,,cvcl_e996,,no_depmap_equivalent
gsm1219501,,cvcl_e996,,no_depmap_equivalent
gsm1219502,,cvcl_e996,,no_depmap_equivalent
gsm1219503,,cvcl_e996,,no_depmap_equivalent
gsm1219504,,cvcl_e996,,no_depmap_equivalent
gsm1219505,,cvcl_e996,,no_depmap_equivalent
gsm1219506,,cvcl_e998,,no_depmap_equivalent
gsm1219507,,cvcl_e998,,no_depmap_equivalent
gsm1219508,,cvcl_e998,,no_depmap_equivalent
gsm1230533,,cvcl_2932,,no_depmap_equivalent
gsm1230534,,cvcl_2932,,no_depmap_equivalent
gsm1230535,,cvcl_2932,,no_depmap_equivalent
gsm1230536,,cvcl_2932,,no_depmap_equivalent
gsm1230537,,cvcl_2932,,no_depmap_equivalent
gsm1230538,,cvcl_2932,,no_depmap_equivalent
gsm1230539,,cvcl_2932,,no_depmap_equivalent
gsm1230540,,cvcl_2932,,no_depmap_equivalent
gsm1230541,,cvcl_2932,,no_depmap_equivalent
gsm1230560,,cvcl_7260,,no_depmap_equivalent
gsm1230561,,cvcl_7260,,no_depmap_equivalent
gsm1230562,,cvcl_7260,,no_depmap_equivalent
gsm1230563,,cvcl_7260,,no_depmap_equivalent
gsm1230564,,cvcl_7260,,no_depmap_equivalent
gsm1230565,,cvcl_7260,,no_depmap_equivalent
gsm1230566,,cvcl_7260,,no_depmap_equivalent
gsm1230567,,cvcl_7260,,no_depmap_equivalent
gsm1230568,,cvcl_7260,,no_depmap_equivalent
gsm1230604,,cvcl_3170,,no_depmap_equivalent
gsm1230605,,cvcl_3170,,no_depmap_equivalent
gsm1230606,,cvcl_3170,,no_depmap_equivalent
gsm1230607,,cvcl_3170,,no_depmap_equivalent
gsm1230608,,cvcl_3170,,no_depmap_equivalent
gsm1230609,,cvcl_3170,,no_depmap_equivalent
gsm1230610,,cvcl_3170,,no_depmap_equivalent
gsm1230611,,cvcl_3170,,no_depmap_equivalent
gsm1230612,,cvcl_3170,,no_depmap_equivalent
gsm1230773,,cvcl_1995,,no_depmap_equivalent
gsm1230774,,cvcl_1995,,no_depmap_equivalent
gsm1230775,,cvcl_1995,,no_depmap_equivalent
gsm1230776,,cvcl_1995,,no_depmap_equivalent
gsm1230777,,cvcl_1995,,no_depmap_equivalent
gsm1230778,,cvcl_1995,,no_depmap_equivalent
gsm1230779,,cvcl_1995,,no_depmap_equivalent
gsm1230780,,cvcl_1995,,no_depmap_equivalent
gsm1230781,,cvcl_1995,,no_depmap_equivalent
gsm1300943,,cvcl_m572,,no_depmap_equivalent
gsm1300953,,cvcl_1896,,no_depmap_equivalent
gsm1300958,,cvcl_1333,,no_depmap_equivalent
gsm1374369,,cvcl_8625,,no_depmap_equivalent
gsm1374374,,cvcl_6344,,no_depmap_equivalent
gsm1374391,,cvcl_0141,,no_depmap_equivalent
gsm1374398,,cvcl_at71,,no_depmap_equivalent
gsm1374399,,cvcl_at71,,no_depmap_equivalent
gsm1374400,,cvcl_5492,,no_depmap_equivalent
gsm1374401,,cvcl_6568,,no_depmap_equivalent
gsm1374402,,cvcl_6569,,no_depmap_equivalent
gsm1374411,,cvcl_ip20,,no_depmap_equivalent
gsm1374421,,cvcl_5246,,no_depmap_equivalent
gsm1374450,,cvcl_f399,,no_depmap_equivalent
gsm1374451,,cvcl_f402,,no_depmap_equivalent
gsm1374452,,cvcl_f402,,no_depmap_equivalent
gsm1374453,,cvcl_1988,,no_depmap_equivalent
gsm1374454,,cvcl_0219,,no_depmap_equivalent
gsm1374455,,cvcl_0219,,no_depmap_equivalent
gsm1374473,,cvcl_2443,,no_depmap_equivalent
gsm1374476,,cvcl_b398,,no_depmap_equivalent
gsm1374482,,cvcl_c8zl,,no_depmap_equivalent
gsm1374485,,cvcl_7668,,no_depmap_equivalent
gsm1374486,,cvcl_7668,,no_depmap_equivalent
gsm1374488,,cvcl_2915,,no_depmap_equivalent
gsm1374489,,cvcl_m572,,no_depmap_equivalent
gsm1374490,,cvcl_2468,,no_depmap_equivalent
gsm1374491,,cvcl_0289,,no_depmap_equivalent
gsm1374492,,cvcl_0289,,no_depmap_equivalent
gsm1374514,,cvcl_6908,,no_depmap_equivalent
