original_value,dataset,resolution_step_reached,reason
ach-001007,sample_info,xref_sanger,no match via direct_id / secondary_accession / name_match / synonym_fallback / xref_sanger
ach-001008,sample_info,xref_sanger,no match via direct_id / secondary_accession / name_match / synonym_fallback / xref_sanger
ach-001009,sample_info,xref_sanger,no match via direct_id / secondary_accession / name_match / synonym_fallback / xref_sanger
ach-001010,sample_info,xref_sanger,no match via direct_id / secondary_accession / name_match / synonym_fallback / xref_sanger
ach-001134,sample_info,xref_sanger,no match via direct_id / secondary_accession / name_match / synonym_fallback / xref_sanger
ach-001172,sample_info,xref_sanger,no match via direct_id / secondary_accession / name_match / synonym_fallback / xref_sanger
ach-002002,sample_info,xref_sanger,no match via direct_id / secondary_accession / name_match / synonym_fallback / xref_sanger
ach-002333,sample_info,xref_sanger,no match via direct_id / secondary_accession / name_match / synonym_fallback / xref_sanger
ach-002334,sample_info,xref_sanger,no match via direct_id / secondary_accession / name_match / synonym_fallback / xref_sanger
ach-002349,sample_info,xref_sanger,no match via direct_id / secondary_accession / name_match / synonym_fallback / xref_sanger
ach-002874,sample_info,xref_sanger,no match via direct_id / secondary_accession / name_match / synonym_fallback / xref_sanger
ach-002875,sample_info,xref_sanger,no match via direct_id / secondary_accession / name_match / synonym_fallback / xref_sanger
