merge_key_value,collapse_on_value,reason
ach-000556,wes,duplicate modelid+datatype pair in aux table
ach-000989,wes,duplicate modelid+datatype pair in aux table
ach-000055,wes,duplicate modelid+datatype pair in aux table
ach-001401,wes,duplicate modelid+datatype pair in aux table
ach-000112,wes,duplicate modelid+datatype pair in aux table
ach-000914,wes,duplicate modelid+datatype pair in aux table
ach-000804,wes,duplicate modelid+datatype pair in aux table
ach-000975,rna,duplicate modelid+datatype pair in aux table
ach-000527,wes,duplicate modelid+datatype pair in aux table
ach-001819,wes,duplicate modelid+datatype pair in aux table
ach-000840,wes,duplicate modelid+datatype pair in aux table
ach-000740,wes,duplicate modelid+datatype pair in aux table
ach-000143,rna,duplicate modelid+datatype pair in aux table
ach-001542,wes,duplicate modelid+datatype pair in aux table
ach-000226,wes,duplicate modelid+datatype pair in aux table
ach-001500,wes,duplicate modelid+datatype pair in aux table
ach-001517,wes,duplicate modelid+datatype pair in aux table
ach-000698,wes,duplicate modelid+datatype pair in aux table
ach-001341,wes,duplicate modelid+datatype pair in aux table
ach-000605,wes,duplicate modelid+datatype pair in aux table
ach-000924,wes,duplicate modelid+datatype pair in aux table
ach-000983,wes,duplicate modelid+datatype pair in aux table
ach-001494,wes,duplicate modelid+datatype pair in aux table
ach-000660,wes,duplicate modelid+datatype pair in aux table
ach-001819,wes,duplicate modelid+datatype pair in aux table
ach-000047,wes,duplicate modelid+datatype pair in aux table
ach-001498,wes,duplicate modelid+datatype pair in aux table
ach-000294,wes,duplicate modelid+datatype pair in aux table
ach-001400,wes,duplicate modelid+datatype pair in aux table
ach-001638,wes,duplicate modelid+datatype pair in aux table
ach-001203,wes,duplicate modelid+datatype pair in aux table
ach-000400,wes,duplicate modelid+datatype pair in aux table
ach-000156,wes,duplicate modelid+datatype pair in aux table
ach-000052,wes,duplicate modelid+datatype pair in aux table
ach-000249,wes,duplicate modelid+datatype pair in aux table
ach-000573,wes,duplicate modelid+datatype pair in aux table
ach-000337,wes,duplicate modelid+datatype pair in aux table
ach-002029,wes,duplicate modelid+datatype pair in aux table
ach-001517,wes,duplicate modelid+datatype pair in aux table
ach-000514,wes,duplicate modelid+datatype pair in aux table
ach-000711,wes,duplicate modelid+datatype pair in aux table
ach-000546,wes,duplicate modelid+datatype pair in aux table
ach-000366,wes,duplicate modelid+datatype pair in aux table
ach-000821,wes,duplicate modelid+datatype pair in aux table
ach-001274,wes,duplicate modelid+datatype pair in aux table
ach-000455,rna,duplicate modelid+datatype pair in aux table
ach-001670,wes,duplicate modelid+datatype pair in aux table
ach-000876,wes,duplicate modelid+datatype pair in aux table
ach-001399,wes,duplicate modelid+datatype pair in aux table
ach-000087,wes,duplicate modelid+datatype pair in aux table
ach-000546,wes,duplicate modelid+datatype pair in aux table
ach-000838,wes,duplicate modelid+datatype pair in aux table
ach-000700,rna,duplicate modelid+datatype pair in aux table
ach-000636,wes,duplicate modelid+datatype pair in aux table
ach-000702,wes,duplicate modelid+datatype pair in aux table
ach-000148,wes,duplicate modelid+datatype pair in aux table
ach-000218,wes,duplicate modelid+datatype pair in aux table
ach-000841,wes,duplicate modelid+datatype pair in aux table
ach-000929,wes,duplicate modelid+datatype pair in aux table
ach-000937,wes,duplicate modelid+datatype pair in aux table
ach-000517,rna,duplicate modelid+datatype pair in aux table
ach-000100,wes,duplicate modelid+datatype pair in aux table
ach-000020,wes,duplicate modelid+datatype pair in aux table
ach-001526,wes,duplicate modelid+datatype pair in aux table
ach-000660,wes,duplicate modelid+datatype pair in aux table
ach-000375,wes,duplicate modelid+datatype pair in aux table
ach-000369,wes,duplicate modelid+datatype pair in aux table
ach-000452,wes,duplicate modelid+datatype pair in aux table
ach-001529,wes,duplicate modelid+datatype pair in aux table
ach-000812,wes,duplicate modelid+datatype pair in aux table
ach-000481,wes,duplicate modelid+datatype pair in aux table
ach-000439,wes,duplicate modelid+datatype pair in aux table
ach-000556,rna,duplicate modelid+datatype pair in aux table
ach-001711,wes,duplicate modelid+datatype pair in aux table
ach-000338,wes,duplicate modelid+datatype pair in aux table
ach-000663,wes,duplicate modelid+datatype pair in aux table
ach-000974,wes,duplicate modelid+datatype pair in aux table
ach-000178,wes,duplicate modelid+datatype pair in aux table
ach-000345,wes,duplicate modelid+datatype pair in aux table
ach-001106,wes,duplicate modelid+datatype pair in aux table
ach-001336,wes,duplicate modelid+datatype pair in aux table
ach-001526,wes,duplicate modelid+datatype pair in aux table
ach-000640,wes,duplicate modelid+datatype pair in aux table
ach-000885,wes,duplicate modelid+datatype pair in aux table
ach-000200,wes,duplicate modelid+datatype pair in aux table
ach-000455,rna,duplicate modelid+datatype pair in aux table
ach-000841,wes,duplicate modelid+datatype pair in aux table
ach-000931,rna,duplicate modelid+datatype pair in aux table
ach-000481,wes,duplicate modelid+datatype pair in aux table
ach-000944,wes,duplicate modelid+datatype pair in aux table
ach-000751,wes,duplicate modelid+datatype pair in aux table
ach-000837,wes,duplicate modelid+datatype pair in aux table
ach-001861,wes,duplicate modelid+datatype pair in aux table
ach-000201,wes,duplicate modelid+datatype pair in aux table
ach-000410,wes,duplicate modelid+datatype pair in aux table
ach-000825,wes,duplicate modelid+datatype pair in aux table
ach-000655,wes,duplicate modelid+datatype pair in aux table
ach-000245,wes,duplicate modelid+datatype pair in aux table
ach-000132,wes,duplicate modelid+datatype pair in aux table
ach-001654,wes,duplicate modelid+datatype pair in aux table
ach-000245,wes,duplicate modelid+datatype pair in aux table
ach-000221,wes,duplicate modelid+datatype pair in aux table
ach-001373,wes,duplicate modelid+datatype pair in aux table
ach-000376,wes,duplicate modelid+datatype pair in aux table
ach-000977,wes,duplicate modelid+datatype pair in aux table
ach-001617,wes,duplicate modelid+datatype pair in aux table
ach-000812,wes,duplicate modelid+datatype pair in aux table
ach-000573,wes,duplicate modelid+datatype pair in aux table
ach-000145,wgs,duplicate modelid+datatype pair in aux table
ach-000374,wes,duplicate modelid+datatype pair in aux table
ach-000029,rna,duplicate modelid+datatype pair in aux table
ach-000369,wes,duplicate modelid+datatype pair in aux table
ach-001075,wes,duplicate modelid+datatype pair in aux table
ach-000157,wes,duplicate modelid+datatype pair in aux table
ach-000804,wes,duplicate modelid+datatype pair in aux table
ach-002059,wes,duplicate modelid+datatype pair in aux table
ach-000698,wes,duplicate modelid+datatype pair in aux table
ach-000798,wes,duplicate modelid+datatype pair in aux table
ach-000105,wes,duplicate modelid+datatype pair in aux table
ach-001192,wes,duplicate modelid+datatype pair in aux table
ach-001655,wes,duplicate modelid+datatype pair in aux table
ach-000551,wes,duplicate modelid+datatype pair in aux table
ach-000081,wes,duplicate modelid+datatype pair in aux table
ach-000247,wes,duplicate modelid+datatype pair in aux table
ach-001494,wes,duplicate modelid+datatype pair in aux table
ach-001374,wes,duplicate modelid+datatype pair in aux table
ach-000974,wes,duplicate modelid+datatype pair in aux table
ach-000827,wes,duplicate modelid+datatype pair in aux table
ach-000424,wes,duplicate modelid+datatype pair in aux table
ach-000637,wes,duplicate modelid+datatype pair in aux table
ach-000677,wes,duplicate modelid+datatype pair in aux table
ach-000596,wes,duplicate modelid+datatype pair in aux table
ach-000156,wes,duplicate modelid+datatype pair in aux table
ach-000073,wes,duplicate modelid+datatype pair in aux table
ach-001530,wes,duplicate modelid+datatype pair in aux table
ach-000210,wes,duplicate modelid+datatype pair in aux table
ach-000674,wes,duplicate modelid+datatype pair in aux table
ach-001497,wes,duplicate modelid+datatype pair in aux table
ach-000392,wes,duplicate modelid+datatype pair in aux table
ach-001496,wes,duplicate modelid+datatype pair in aux table
ach-000081,wes,duplicate modelid+datatype pair in aux table
ach-000814,wes,duplicate modelid+datatype pair in aux table
ach-000656,wes,duplicate modelid+datatype pair in aux table
ach-000869,wes,duplicate modelid+datatype pair in aux table
ach-000304,wes,duplicate modelid+datatype pair in aux table
ach-000100,wes,duplicate modelid+datatype pair in aux table
ach-000019,wes,duplicate modelid+datatype pair in aux table
ach-001192,wes,duplicate modelid+datatype pair in aux table
ach-001654,wes,duplicate modelid+datatype pair in aux table
ach-001203,wes,duplicate modelid+datatype pair in aux table
ach-000662,wes,duplicate modelid+datatype pair in aux table
ach-000326,wes,duplicate modelid+datatype pair in aux table
ach-001549,wes,duplicate modelid+datatype pair in aux table
ach-000757,wes,duplicate modelid+datatype pair in aux table
ach-000291,wes,duplicate modelid+datatype pair in aux table
ach-000105,wes,duplicate modelid+datatype pair in aux table
ach-000235,wes,duplicate modelid+datatype pair in aux table
ach-001345,wes,duplicate modelid+datatype pair in aux table
ach-000096,wes,duplicate modelid+datatype pair in aux table
ach-000798,wes,duplicate modelid+datatype pair in aux table
ach-000319,wes,duplicate modelid+datatype pair in aux table
ach-000362,wes,duplicate modelid+datatype pair in aux table
ach-001642,wes,duplicate modelid+datatype pair in aux table
ach-000767,wes,duplicate modelid+datatype pair in aux table
ach-000926,wes,duplicate modelid+datatype pair in aux table
ach-000821,wes,duplicate modelid+datatype pair in aux table
ach-000247,wes,duplicate modelid+datatype pair in aux table
ach-000157,wes,duplicate modelid+datatype pair in aux table
ach-000561,wes,duplicate modelid+datatype pair in aux table
ach-001336,wes,duplicate modelid+datatype pair in aux table
ach-000640,wes,duplicate modelid+datatype pair in aux table
ach-000029,rna,duplicate modelid+datatype pair in aux table
ach-000271,wes,duplicate modelid+datatype pair in aux table
ach-000653,wes,duplicate modelid+datatype pair in aux table
ach-001605,wes,duplicate modelid+datatype pair in aux table
ach-000148,wes,duplicate modelid+datatype pair in aux table
ach-000532,rna,duplicate modelid+datatype pair in aux table
ach-000751,wes,duplicate modelid+datatype pair in aux table
ach-000649,wes,duplicate modelid+datatype pair in aux table
ach-001328,wes,duplicate modelid+datatype pair in aux table
ach-000249,wes,duplicate modelid+datatype pair in aux table
ach-000177,wes,duplicate modelid+datatype pair in aux table
ach-001674,wes,duplicate modelid+datatype pair in aux table
ach-000468,rna,duplicate modelid+datatype pair in aux table
ach-000198,wes,duplicate modelid+datatype pair in aux table
ach-001321,wes,duplicate modelid+datatype pair in aux table
