HGNC ID,Approved symbol,Approved name,Locus group,locus_type,Status,Location,location_sortable,Alias symbols,alias_name,Previous symbols,prev_name,gene_group,gene_group_id,date_approved_reserved,date_symbol_changed,date_name_changed,date_modified,entrez_id,Ensembl gene ID,vega_id,ucsc_id,ena,refseq_accession,ccds_id,uniprot_ids,pubmed_id,mgd_id,rgd_id,lsdb,cosmic,omim_id,mirbase,homeodb,snornabase,bioparadigms_slc,orphanet,pseudogene.org,horde_id,merops,imgt,iuphar,kznf_gene_catalog,mamit-trnadb,cd,lncrnadb,enzyme_id,intermediate_filament_db,rna_central_id,lncipedia,gtrnadb,agr,mane_select,gencc
HGNC:5477,IGH,immunoglobulin heavy locus,protein-coding gene,gene with protein product,Approved,14q32.33,,,,IGHDY1|IGH@,,Immunoglobulin heavy locus at 14q32.33,349,1989-06-30,2013-03-05,,2013-03-05,3492,,,,,NG_001019,,,,,,,,146910|147010|147070,,,,,201163.0,,,,,,,,,,,,,,,HGNC:5477,,
HGNC:5715,IGK,immunoglobulin kappa locus,protein-coding gene,gene with protein product,Approved,2p11.2,,,,IGK@,,Immunoglobulin kappa locus at 2p11.2,351,2000-04-18,2013-03-05,,2013-03-05,50802,,,,,NG_000833,,,,,,,,,,,,,,,,,,,,,,,,,,,,HGNC:5715,,
HGNC:5853,IGL,immunoglobulin lambda locus,protein-coding gene,gene with protein product,Approved,22q11.2,,,,IGL@,,Immunoglobulin lambda locus at 22q11.2,353,1991-09-12,2013-03-05,,2013-03-05,3535,,,,,NG_000002,,,3923432|6795508,,,,,,,,,,,,,,,,,,,,,,,,,HGNC:5853,,
HGNC:17837,MSL3B,MSL complex subunit 3B,protein-coding gene,gene with protein product,Approved,2q37.1,,,,MSL3L2|MSL3P1,male-specific lethal 3-like 2 (Drosophila)|male-specific lethal 3 homolog (Drosophila) pseudogene 1|MSL complex subunit 3 pseudogene 1,,,2002-01-29,2023-11-23,2023-11-23,2023-11-23,151507,ENSG00000224287,OTTHUMG00000059126,,BI831020,NM_001425333,,P0C860,,MGI:1920640,RGD:1308699,,,,,,,,,PGOHUM00000240561,,,,,,,,,,,,,,HGNC:17837,ENST00000438684.2|NM_001425333.1,
HGNC:13384,MUC3B,"mucin 3B, cell surface associated",protein-coding gene,gene with protein product,Approved,7q22 not on reference assembly,,,,,mucin 3B,Mucins,648,2000-09-27,,2006-03-14,2023-09-04,57876,,,,AJ291390,XM_047444977,,Q9H195,10973822|36256656,MGI:3588263,,,,605633,,,,,,,,S71.002,,,,,,,,,,,,,,
HGNC:7519,MUC8,mucin 8,protein-coding gene,gene with protein product,Approved,12q24.33,,,,,"mucin 8, tracheobronchial",Mucins,648,1995-05-15,,2006-03-14,2020-04-20,100129528,,,,U14383,XM_047429967,,,8002930|9070607,,,,,601932,,,,,,,,,,,,,,,,,,,,HGNC:7519,,
HGNC:27849,PAXX,PAXX non-homologous end joining factor,protein-coding gene,gene with protein product,Approved,9q34.3,,XLS,paralog of XRCC4 and XLF|XRCC4-like small protein,C9orf142,chromosome 9 open reading frame 142,,,2006-01-31,2017-06-09,2019-01-21,2023-01-20,286257,ENSG00000148362,OTTHUMG00000020971,uc004cki.3,BC002613,NM_183241,CCDS7020,Q9BUH6,25574025|25941166,MGI:2442831,RGD:1306215,,,616315,,,,,,,,,,,,,,,,,,,,HGNC:27849,ENST00000371620.4|NM_183241.3,
HGNC:8662,PCDHA@,"protocadherin alpha cluster, complex locus",protein-coding gene,gene with protein product,Approved,5q31,,CNR1,,CNRS1,protocadherin alpha cluster,Clustered protocadherins,20,1999-11-26,,2010-11-26,2016-10-24,56117,,,,,NG_000016,,,10662547|10380929,,,,,604966,,,,,,,,,,,,,,,,,,,,HGNC:8662,,
HGNC:8679,PCDHB@,protocadherin beta cluster,protein-coding gene,gene with protein product,Approved,5q31,,PCDH3,,,,Clustered protocadherins,20,2000-06-28,,,2015-01-20,56116,,,,,NG_000017,,,10380929,,,,,604967,,,,,,,,,,,,,,,,,,,,HGNC:8679,,
HGNC:8695,PCDHG@,protocadherin gamma cluster,protein-coding gene,gene with protein product,Approved,5q31,,PCDH2|PCDH4,,,,Clustered protocadherins,20,2000-06-28,,,2024-01-15,56115,,,,,NG_000012,,,10380929,,,,,604968,,,,,,,,,,,,,,,,,,,,HGNC:8695,,
