HGNC ID	Approved symbol	Previous symbols	Alias symbols	Ensembl gene ID	Locus group
HGNC:1613	CCS			ENSG00000173992	protein-coding gene
HGNC:29578	CCSAP	C1orf96	FLJ41471, CSAP	ENSG00000154429	protein-coding gene
HGNC:29349	CCSER1	FAM190A	KIAA1680	ENSG00000184305	protein-coding gene
HGNC:58853	CCSER1-AS1			ENSG00000249049	non-coding RNA
HGNC:29197	CCSER2	KIAA1128, FAM190B		ENSG00000107771	protein-coding gene
HGNC:56795	CCSER2P1			ENSG00000235901	pseudogene
HGNC:1615	CCT2		Cctb	ENSG00000166226	protein-coding gene
HGNC:1616	CCT3	TRIC5	Cctg	ENSG00000163468	protein-coding gene
HGNC:35129	CCT3P1			ENSG00000253951	pseudogene
HGNC:1617	CCT4		Cctd	ENSG00000115484	protein-coding gene
HGNC:35151	CCT4P1			ENSG00000242703	pseudogene
HGNC:35141	CCT4P2			ENSG00000225569	pseudogene
HGNC:1618	CCT5		KIAA0098, CCTE	ENSG00000150753	protein-coding gene
HGNC:58210	CCT5-AS1			ENSG00000271980	non-coding RNA
HGNC:35135	CCT5P1			ENSG00000250444	pseudogene
HGNC:35139	CCT5P2			ENSG00000230584	pseudogene
HGNC:1620	CCT6A	CCT6	TTCP20, TCPZ, Cctz, HTR3, TCP20	ENSG00000146731	protein-coding gene
HGNC:33094	CCT6A2P	CCT6AP1, CCT6P1		ENSG00000228409	pseudogene
HGNC:35137	CCT6A3P	CCT6P3		ENSG00000234585	pseudogene
HGNC:1621	CCT6B		Cctz2, TSA303	ENSG00000132141	protein-coding gene
HGNC:35150	CCT6P2			ENSG00000250526	pseudogene
HGNC:35148	CCT6P4			ENSG00000232610	pseudogene
HGNC:38608	CCT6P5		CCT6-2P		pseudogene
HGNC:1622	CCT7		Ccth, Nip7-1	ENSG00000135624	protein-coding gene
HGNC:35149	CCT7P1			ENSG00000217733	pseudogene
HGNC:35134	CCT7P2			ENSG00000249958	pseudogene
HGNC:1623	CCT8	C21orf112	Cctq, PRED71	ENSG00000156261	protein-coding gene
HGNC:32153	CCT8L1P	CCT8L1		ENSG00000020219	pseudogene
HGNC:15553	CCT8L2		CESK1	ENSG00000198445	protein-coding gene
HGNC:35144	CCT8P1			ENSG00000226015	pseudogene
HGNC:21691	CCZ1	C7orf28A	CGI-43, CCZ1A	ENSG00000122674	protein-coding gene
HGNC:21717	CCZ1B	C7orf28B	DKFZP586I1023, H_NH0577018.2, MGC19819	ENSG00000146574	protein-coding gene
HGNC:55746	CCZ1P1			ENSG00000243554	pseudogene
HGNC:1634	CD1A	CD1		ENSG00000158477	protein-coding gene
HGNC:1635	CD1B	CD1		ENSG00000158485	protein-coding gene
HGNC:1636	CD1C	CD1		ENSG00000158481	protein-coding gene
HGNC:1637	CD1D			ENSG00000158473	protein-coding gene
HGNC:1638	CD1E			ENSG00000158488	protein-coding gene
HGNC:1639	CD2	SRBC		ENSG00000116824	protein-coding gene
HGNC:14258	CD2AP		CMS	ENSG00000198087	protein-coding gene
HGNC:55263	CD2AP-DT			ENSG00000270761	non-coding RNA
HGNC:1656	CD2BP2		LIN1, Snu40, PPP1R59, U5-52K	ENSG00000169217	protein-coding gene
HGNC:53029	CD2BP2-DT			ENSG00000260219	non-coding RNA
HGNC:1673	CD3D	T3D	CD3DELTA, CD3-DELTA	ENSG00000167286	protein-coding gene
HGNC:1674	CD3E		CD3epsilon, CD3-epsilon	ENSG00000198851	protein-coding gene
HGNC:1675	CD3G		CD3-GAMMA, CD3GAMMA	ENSG00000160654	protein-coding gene
HGNC:1678	CD4		T4, Leu-3	ENSG00000010610	protein-coding gene
HGNC:1685	CD5	LEU1	T1	ENSG00000110448	protein-coding gene
HGNC:1690	CD5L	API6	Spalpha	ENSG00000073754	protein-coding gene
HGNC:1691	CD6		Tp120	ENSG00000013725	protein-coding gene
HGNC:1695	CD7		GP40, LEU-9, TP41, Tp40	ENSG00000173762	protein-coding gene
HGNC:1706	CD8A	CD8	p32, CD8alpha	ENSG00000153563	protein-coding gene
HGNC:1707	CD8B	CD8B1	Ly-3, LYT3, P37, CD8beta	ENSG00000172116	protein-coding gene
HGNC:1708	CD8B2	CD8BP		ENSG00000254126	protein-coding gene
HGNC:1709	CD9	MIC3	BA2, P24, TSPAN29, MRP-1	ENSG00000010278	protein-coding gene
HGNC:1628	CD14			ENSG00000170458	protein-coding gene
HGNC:1633	CD19			ENSG00000177455	protein-coding gene
HGNC:1643	CD22		SIGLEC-2, SIGLEC2	ENSG00000012124	protein-coding gene
HGNC:1645	CD24		CD24A	ENSG00000272398	protein-coding gene
HGNC:1646	CD24P1	CD24L1		ENSG00000236500	pseudogene
HGNC:1647	CD24P2	CD24L2		ENSG00000261333	pseudogene
HGNC:1648	CD24P3	CD24L3			pseudogene
HGNC:1649	CD24P4	CD24L4	lnc-HSFY2-10:1	ENSG00000185275	pseudogene
HGNC:56381	CD24P5			ENSG00000237566	pseudogene
HGNC:11922	CD27	TNFRSF7	S152, Tp55	ENSG00000139193	protein-coding gene
HGNC:43896	CD27-AS1			ENSG00000215039	non-coding RNA
HGNC:1653	CD28			ENSG00000178562	protein-coding gene
HGNC:1659	CD33		SIGLEC3, SIGLEC-3, p67, FLJ00391, CD33rSiglec	ENSG00000105383	protein-coding gene
HGNC:1662	CD34			ENSG00000174059	protein-coding gene
HGNC:1663	CD36		SCARB3, GPIV, FAT, GP4, GP3B, GPIIIB	ENSG00000135218	protein-coding gene
HGNC:1666	CD37		TSPAN26	ENSG00000104894	protein-coding gene
HGNC:1667	CD38		cADPR1	ENSG00000004468	protein-coding gene
HGNC:58740	CD38-AS1			ENSG00000304423	non-coding RNA
HGNC:11919	CD40	TNFRSF5	p50, Bp50	ENSG00000101017	protein-coding gene
HGNC:11935	CD40LG	HIGM1, IMD3, TNFSF5	CD40L, TRAP, gp39, hCD40L, CD154, CD40-L, HIGM1, T-BAM	ENSG00000102245	protein-coding gene
HGNC:1681	CD44	MIC4, MDU2, MDU3	IN, MC56, Pgp1, PGP-1, CD44R, HCELL, CSPG8, Hermes-1, CDw44, HUTCH-1, HUTCH-I, ECM-III, H-CAM	ENSG00000026508	protein-coding gene
HGNC:40133	CD44-AS1		RP1-68D18.4, hLinfRNA5	ENSG00000255443	non-coding RNA
HGNC:56175	CD44-DT			ENSG00000255521	non-coding RNA
HGNC:6953	CD46	MIC10, MCP	TRA2.10, MGC26544, TLX	ENSG00000117335	protein-coding gene
HGNC:6959	CD46P1	MCPL, CD46P		ENSG00000244703	pseudogene
HGNC:1682	CD47	MER6	IAP, OA3	ENSG00000196776	protein-coding gene
HGNC:1683	CD48	BCM1	BLAST, mCD48, hCD48, SLAMF2	ENSG00000117091	protein-coding gene
HGNC:1804	CD52	CDW52	HE5, EDDM5	ENSG00000169442	protein-coding gene
HGNC:1686	CD53	MOX44	TSPAN25	ENSG00000143119	protein-coding gene
HGNC:2665	CD55	DAF	CR, TC, CROM	ENSG00000196352	protein-coding gene
HGNC:1688	CD58	LFA3		ENSG00000116815	protein-coding gene
HGNC:1689	CD59	MIC11, MIN1, MSK21, MIN2, MIN3, MIRL, MACIF, HRF20	16.3A5, EJ16, EJ30, EL32, G344, p18-20	ENSG00000085063	protein-coding gene
HGNC:1692	CD63	MLA1	ME491, TSPAN30, HOP-26, Pltgp40, AD1	ENSG00000135404	protein-coding gene
HGNC:55455	CD63-AS1		CEAM	ENSG00000258056	non-coding RNA
HGNC:1693	CD68		SCARD1, GP110, DKFZp686M18236, LAMP4	ENSG00000129226	protein-coding gene
HGNC:1694	CD69		CLEC2C	ENSG00000110848	protein-coding gene
HGNC:11937	CD70	CD27LG, TNFSF7	CD27L, CD27-L	ENSG00000125726	protein-coding gene
HGNC:1696	CD72		LYB2, CD72b	ENSG00000137101	protein-coding gene
HGNC:1697	CD74	DHLAG	CLIP	ENSG00000019582	protein-coding gene
HGNC:1698	CD79A	IGA	MB-1, Ig-alpha, MB1, IGAlpha	ENSG00000105369	protein-coding gene
HGNC:1699	CD79B	IGB	B29, Ig-beta, Igbeta	ENSG00000007312	protein-coding gene
HGNC:1700	CD80	CD28LG, CD28LG1	B7.1, B7-1	ENSG00000121594	protein-coding gene
HGNC:1701	CD81	TAPA1	TAPA-1, TSPAN28, S5.7	ENSG00000110651	protein-coding gene
HGNC:49384	CD81-AS1			ENSG00000238184	non-coding RNA
HGNC:6210	CD82	ST6, KAI1	R2, IA4, TSPAN27	ENSG00000085117	protein-coding gene
HGNC:56287	CD82-AS1			ENSG00000254693	non-coding RNA
HGNC:1703	CD83		HB15, BL11	ENSG00000112149	protein-coding gene
HGNC:13946	CD83P1	CD83P	HB15p, b34I8.3	ENSG00000219738	pseudogene
HGNC:1704	CD84		SLAMF5, hCD84, mCD84	ENSG00000066294	protein-coding gene
HGNC:58385	CD84-AS1			ENSG00000234425	non-coding RNA
HGNC:55159	CD84P1			ENSG00000224978	pseudogene
HGNC:1705	CD86	CD28LG2	B7.2, B7-2	ENSG00000114013	protein-coding gene
HGNC:15855	CD93	MXRA4, C1QR1	C1qRP, C1qR(P), dJ737E23.1, CDw93, ECSM3	ENSG00000125810	protein-coding gene
HGNC:16892	CD96		TACTILE	ENSG00000153283	protein-coding gene
HGNC:7082	CD99	MIC2, MIC2X, MIC2Y		ENSG00000002586	protein-coding gene
HGNC:18237	CD99L2	MIC2L1	CD99B	ENSG00000102181	protein-coding gene
HGNC:7083	CD99P1	MIC2R, NCRNA00103, CXYorf12, CD99L1		ENSG00000223773	pseudogene
HGNC:5949	CD101	IGSF2	V7	ENSG00000134256	protein-coding gene
HGNC:55665	CD101-AS1			ENSG00000236137	non-coding RNA
HGNC:21685	CD109		HPA-15, FLJ38569, DKFZp762L1111, CPAMD7	ENSG00000156535	protein-coding gene
HGNC:55765	CD109-AS1			ENSG00000231652	non-coding RNA
HGNC:1630	CD151		SFA-1, PETA-3, TSPAN24, RAPH	ENSG00000177697	protein-coding gene
HGNC:17013	CD160		BY55, NK1, NK28	ENSG00000117281	protein-coding gene
HGNC:1631	CD163		M130, MM130, SCARI1	ENSG00000177575	protein-coding gene
HGNC:30375	CD163L1		M160, CD163B, SCARI2, WC1	ENSG00000177675	protein-coding gene
HGNC:1632	CD164		MUC-24, MGC-24, DFNA66, MGC-24v	ENSG00000135535	protein-coding gene
HGNC:32043	CD164L2			ENSG00000174950	protein-coding gene
HGNC:30072	CD177		HNA-2, PRV1, HNA2A, NB1	ENSG00000204936	protein-coding gene
HGNC:34508	CD177P1	CD177P		ENSG00000204933	pseudogene
HGNC:6726	CD180	LY64	RP105, Ly78	ENSG00000134061	protein-coding gene
HGNC:7203	CD200	MOX1, MOX2	MRC, OX-2	ENSG00000091972	protein-coding gene
HGNC:55196	CD200LP			ENSG00000283669	pseudogene
HGNC:24235	CD200R1	MOX2R	OX2R, HCRTR2, CD200R	ENSG00000163606	protein-coding gene
HGNC:24665	CD200R1L		CD200RLa, CD200R2	ENSG00000206531	protein-coding gene
HGNC:54071	CD200R1L-AS1			ENSG00000242770	non-coding RNA
HGNC:56477	CD200R1P1			ENSG00000289742	pseudogene
HGNC:17935	CD207		Langerin, CLEC4K	ENSG00000116031	protein-coding gene
HGNC:1641	CD209		DC-SIGN, hDC-SIGN, CDSIGN, DC-SIGN1, CLEC4L	ENSG00000090659	protein-coding gene
HGNC:16961	CD226		DNAM-1, DNAM1, PTA1, TLiSA1	ENSG00000150637	protein-coding gene
HGNC:18171	CD244		2B4, NAIL, NKR2B4, Nmrk, SLAMF4	ENSG00000122223	protein-coding gene
HGNC:1677	CD247	CD3Z	CD3H, CD3Q, TCRZ, CD3-ZETA, CD3ZETA	ENSG00000198821	protein-coding gene
HGNC:18219	CD248	CD164L1	TEM1	ENSG00000174807	protein-coding gene
HGNC:17635	CD274	PDCD1LG1	B7-H, B7H1, PD-L1, PDL1, B7-H1	ENSG00000120217	protein-coding gene
HGNC:19137	CD276		B7-H3, B7H3, B7RP-2	ENSG00000103855	protein-coding gene
HGNC:19319	CD300A		Irp60, CMRF35H, CMRF-35-H9, IRC1, IRC2, IGSF12	ENSG00000167851	protein-coding gene
HGNC:19320	CD300C		CMRF35, LIR, CMRF-35A, CMRF35A, IGSF16	ENSG00000167850	protein-coding gene
HGNC:28874	CD300E	CD300LE	IREM2, CLM2	ENSG00000186407	protein-coding gene
HGNC:52292	CD300H			ENSG00000284690	protein-coding gene
HGNC:30811	CD300LB		TREM5, CLM7	ENSG00000178789	protein-coding gene
HGNC:16848	CD300LD		CMRF35A4, CD300D	ENSG00000204345	protein-coding gene
HGNC:26480	CD300LD-AS1	C17orf77	FLJ31882	ENSG00000182352	non-coding RNA
HGNC:29883	CD300LF		IREM1, NKIR, IGSF13, CD300f, CLM1	ENSG00000186074	protein-coding gene
HGNC:30455	CD300LG		Trem4, CLM9	ENSG00000161649	protein-coding gene
HGNC:30843	CD302		DCL-1, KIAA0022, BIMLEC, CLEC13A	ENSG00000241399	protein-coding gene
HGNC:16692	CD320		8D6, 8D6A, TCblR, TCN2R, sCD320, TCII-R	ENSG00000167775	protein-coding gene
HGNC:1712	CDA		CDD	ENSG00000158825	protein-coding gene
HGNC:20299	CDADC1		NYD-SP15	ENSG00000102543	protein-coding gene
HGNC:1713	CDAN1		CDA-I, CDAI	ENSG00000140326	protein-coding gene
HGNC:1743	CDC5L		PCDC5RP, hCDC5, CEF1, CDC5	ENSG00000096401	protein-coding gene
HGNC:1744	CDC6	CDC18L		ENSG00000094804	protein-coding gene
HGNC:1745	CDC7	CDC7L1	Hsk1, huCdc7, HsCdc7	ENSG00000097046	protein-coding gene
HGNC:1718	CDC14A	DFNB32	Cdc14A1, Cdc14A2, cdc14, DFNB105	ENSG00000079335	protein-coding gene
HGNC:1719	CDC14B		Cdc14B1, Cdc14B2, CDC14B3, hCDC14B	ENSG00000081377	protein-coding gene
HGNC:22427	CDC14C		MGC26484, CDC14B2, CDC14Bretro, CDC14CP	ENSG00000218305	protein-coding gene
HGNC:1720	CDC16		APC6, ANAPC6, CUT9	ENSG00000130177	protein-coding gene
HGNC:1723	CDC20		p55CDC, CDC20A	ENSG00000117399	protein-coding gene
HGNC:55681	CDC20-DT			ENSG00000234694	non-coding RNA
HGNC:24222	CDC20B		FLJ37927	ENSG00000164287	protein-coding gene
HGNC:29487	CDC20P1	CDC20P	OTTHUMG00000020142	ENSG00000231007	pseudogene
HGNC:1724	CDC23		APC8, ANAPC8, CUT23	ENSG00000094880	protein-coding gene
HGNC:1725	CDC25A			ENSG00000164045	protein-coding gene
HGNC:1726	CDC25B		MPIP2	ENSG00000101224	protein-coding gene
HGNC:1727	CDC25C	CDC25	PPP1R60	ENSG00000158402	protein-coding gene
HGNC:17839	CDC26	C9orf17	APC12, ANAPC12	ENSG00000176386	protein-coding gene
HGNC:22770	CDC26P1	CDC26P	TCAG_1970866	ENSG00000238072	pseudogene
HGNC:1728	CDC27	D0S1430E, D17S978E	APC3, ANAPC3, NUC2	ENSG00000004897	protein-coding gene
HGNC:38091	CDC27P1			ENSG00000233786	pseudogene
HGNC:38092	CDC27P2			ENSG00000237447	pseudogene
HGNC:51754	CDC27P3			ENSG00000283005	pseudogene
HGNC:51753	CDC27P4				pseudogene
HGNC:51755	CDC27P5				pseudogene
HGNC:51756	CDC27P6				pseudogene
HGNC:51757	CDC27P7				pseudogene
HGNC:51758	CDC27P8				pseudogene
HGNC:51759	CDC27P9				pseudogene
HGNC:51760	CDC27P10				pseudogene
HGNC:51761	CDC27P11				pseudogene
HGNC:1734	CDC34		E2-CDC34, UBE2R1, UBC3	ENSG00000099804	protein-coding gene
HGNC:1735	CDC37		P50CDC37	ENSG00000105401	protein-coding gene
HGNC:17179	CDC37L1		HARC, FLJ20639, CDC37B	ENSG00000106993	protein-coding gene
HGNC:49735	CDC37L1-DT	CDC37L1-AS1		ENSG00000273061	non-coding RNA
HGNC:34406	CDC37P1		A-761H5.2	ENSG00000259982	pseudogene
HGNC:35453	CDC37P2			ENSG00000261089	pseudogene
HGNC:17350	CDC40		PRP17, EHB3, PRPF17, FLJ10564	ENSG00000168438	protein-coding gene
HGNC:1736	CDC42		G25K, CDC42Hs	ENSG00000070831	protein-coding gene
HGNC:54314	CDC42-AS1			ENSG00000285752	non-coding RNA
HGNC:41317	CDC42-IT1			ENSG00000230068	non-coding RNA
HGNC:1737	CDC42BPA		MRCKA, PK428, FLJ23347, KIAA0451, MRCKalpha	ENSG00000143776	protein-coding gene
HGNC:1738	CDC42BPB		MRCKB, KIAA1124	ENSG00000198752	protein-coding gene
HGNC:58618	CDC42BPB-AS1			ENSG00000259515	non-coding RNA
HGNC:29829	CDC42BPG		HSMDPKIN, MRCKgamma, DMPK2, kappa-200	ENSG00000171219	protein-coding gene
HGNC:17014	CDC42EP1		MSE55, CEP1, Borg5	ENSG00000128283	protein-coding gene
HGNC:16263	CDC42EP2		CEP2, BORG1	ENSG00000149798	protein-coding gene
HGNC:16943	CDC42EP3		CEP3, UB1, BORG2	ENSG00000163171	protein-coding gene
HGNC:56370	CDC42EP3-AS1	LINC03063	AC006369.1	ENSG00000236213	non-coding RNA
HGNC:49673	CDC42EP3P1			ENSG00000268992	pseudogene
HGNC:17147	CDC42EP4		CEP4, KAIA1777, BORG4, MGC3740, MGC17125	ENSG00000179604	protein-coding gene
HGNC:17408	CDC42EP5		CEP5, Borg3	ENSG00000167617	protein-coding gene
HGNC:16339	CDC42P1		bK3216D2.3	ENSG00000234933	pseudogene
HGNC:33952	CDC42P2			ENSG00000234844	pseudogene
HGNC:44427	CDC42P3			ENSG00000253971	pseudogene
HGNC:44428	CDC42P4			ENSG00000249965	pseudogene
HGNC:44429	CDC42P5			ENSG00000253439	pseudogene
HGNC:44430	CDC42P6			ENSG00000237350	pseudogene
HGNC:56410	CDC42P7			ENSG00000237982	pseudogene
HGNC:59181	CDC42P8			ENSG00000227499	pseudogene
HGNC:59182	CDC42P9			ENSG00000225018	pseudogene
HGNC:17719	CDC42SE1		SCIP1, SPEC1	ENSG00000197622	protein-coding gene
HGNC:18547	CDC42SE2		FLJ21967, SPEC2	ENSG00000158985	protein-coding gene
HGNC:1739	CDC45	CDC45L2, CDC45L		ENSG00000093009	protein-coding gene
HGNC:16667	CDC50A	C6orf67, TMEM30A	FLJ10856	ENSG00000112697	protein-coding gene
HGNC:27254	CDC50B	TMEM30B		ENSG00000182107	protein-coding gene
HGNC:30443	CDC50CP	TMEM30C, TMEM30CP	CDC50C	ENSG00000235156	pseudogene
HGNC:16783	CDC73	C1orf28, HRPT2, HRPT1	parafibromin, FIHP	ENSG00000134371	protein-coding gene
HGNC:16827	CDC123	C10orf7	D123	ENSG00000151465	protein-coding gene
HGNC:14623	CDCA2		Repo-Man, PPP1R81	ENSG00000184661	protein-coding gene
HGNC:14624	CDCA3		TOME-1, GRCC8	ENSG00000111665	protein-coding gene
HGNC:56264	CDCA3P1		lncCDCA3L	ENSG00000225314	pseudogene
HGNC:14625	CDCA4		SEI-3, TRIP-Br3, FLJ20764, Hepp	ENSG00000170779	protein-coding gene
HGNC:49770	CDCA4P1			ENSG00000229029	pseudogene
HGNC:49771	CDCA4P2			ENSG00000224466	pseudogene
HGNC:49772	CDCA4P3			ENSG00000226289	pseudogene
HGNC:49773	CDCA4P4			ENSG00000234219	pseudogene
HGNC:14626	CDCA5			ENSG00000146670	protein-coding gene
HGNC:14628	CDCA7		FLJ14736, JPO1	ENSG00000144354	protein-coding gene
HGNC:30777	CDCA7L		RAM2, R1, JPO2	ENSG00000164649	protein-coding gene
HGNC:56918	CDCA7P1			ENSG00000270935	pseudogene
HGNC:56919	CDCA7P2			ENSG00000235707	pseudogene
HGNC:14629	CDCA8		FLJ12042, MESRGP, BOR, DasraB	ENSG00000134690	protein-coding gene
HGNC:24357	CDCP1		CD318, SIMA135	ENSG00000163814	protein-coding gene
HGNC:27297	CDCP2			ENSG00000157211	protein-coding gene
HGNC:1748	CDH1	UVO	uvomorulin, CD324	ENSG00000039068	protein-coding gene
HGNC:1759	CDH2	NCAD	CDHN, CD325	ENSG00000170558	protein-coding gene
HGNC:40138	CDH2-AS1			ENSG00000227279	non-coding RNA
HGNC:1762	CDH3		CDHP, PCAD	ENSG00000062038	protein-coding gene
HGNC:56084	CDH3-AS1			ENSG00000260577	non-coding RNA
HGNC:1763	CDH4		R-CAD	ENSG00000179242	protein-coding gene
HGNC:40139	CDH4-AS1			ENSG00000225106	non-coding RNA
HGNC:58218	CDH4-AS2			ENSG00000179253	non-coding RNA
HGNC:1764	CDH5		7B4, CD144	ENSG00000179776	protein-coding gene
HGNC:1765	CDH6			ENSG00000113361	protein-coding gene
HGNC:1766	CDH7			ENSG00000081138	protein-coding gene
HGNC:1767	CDH8			ENSG00000150394	protein-coding gene
HGNC:55399	CDH8-AS1			ENSG00000260115	non-coding RNA
HGNC:1768	CDH9			ENSG00000113100	protein-coding gene
HGNC:1749	CDH10			ENSG00000040731	protein-coding gene
HGNC:59018	CDH10-AS2			ENSG00000301045	non-coding RNA
HGNC:1750	CDH11		OB, CAD11	ENSG00000140937	protein-coding gene
HGNC:1751	CDH12		Br-cadherin, CDHB	ENSG00000154162	protein-coding gene
HGNC:59011	CDH12-AS1				non-coding RNA
HGNC:59012	CDH12-AS2				non-coding RNA
HGNC:59013	CDH12-AS3			ENSG00000287471	non-coding RNA
HGNC:59014	CDH12-AS4				non-coding RNA
HGNC:59015	CDH12-AS5			ENSG00000286961	non-coding RNA
HGNC:37698	CDH12P1			ENSG00000254335	pseudogene
HGNC:1752	CDH12P2	CDH12P	C41-CAD	ENSG00000249230	pseudogene
HGNC:37699	CDH12P3			ENSG00000253492	pseudogene
HGNC:37700	CDH12P4			ENSG00000253900	pseudogene
HGNC:1753	CDH13		CDHH	ENSG00000140945	protein-coding gene
HGNC:55989	CDH13-AS1		RP11-543N12.1	ENSG00000261410	non-coding RNA
HGNC:56243	CDH13-AS2			ENSG00000260228	non-coding RNA
HGNC:1754	CDH15	CDH3, CDH14		ENSG00000129910	protein-coding gene
HGNC:1755	CDH16			ENSG00000166589	protein-coding gene
HGNC:1756	CDH17		HPT-1, cadherin	ENSG00000079112	protein-coding gene
HGNC:1757	CDH18		CDH14, EY-CADHERIN	ENSG00000145526	protein-coding gene
HGNC:53088	CDH18-AS1			ENSG00000249854	non-coding RNA
HGNC:59009	CDH18-AS2				non-coding RNA
HGNC:59010	CDH18-AS3			ENSG00000305364	non-coding RNA
HGNC:1758	CDH19		CDH7	ENSG00000071991	protein-coding gene
HGNC:1760	CDH20		CDH7L3, Cdh7	ENSG00000101542	protein-coding gene
HGNC:13251	CDH22	C20orf25	dJ998H6.1	ENSG00000149654	protein-coding gene
HGNC:13733	CDH23	DFNB12, USH1D	CDHR23	ENSG00000107736	protein-coding gene
HGNC:31433	CDH23-AS1	C10orf106, NCRNA00223	bA327E2.3	ENSG00000223817	non-coding RNA
HGNC:14265	CDH24		CDH11L	ENSG00000139880	protein-coding gene
HGNC:15902	CDH26		VR20	ENSG00000124215	protein-coding gene
HGNC:14550	CDHR1	PCDH21	KIAA1775, CORD15, RP65	ENSG00000148600	protein-coding gene
HGNC:18231	CDHR2	PCDH24	PC-LKC, FLJ20124, FLJ20383, PCLKC	ENSG00000074276	protein-coding gene
HGNC:26308	CDHR3		FLJ44366, FLJ23834, CDH28	ENSG00000128536	protein-coding gene
HGNC:34527	CDHR4	CDH29	VLLR9392	ENSG00000187492	protein-coding gene
HGNC:7521	CDHR5	MUCDHL, MUPCDH	FLJ20219, MU-PCDH	ENSG00000099834	protein-coding gene
HGNC:53741	CDHR17P			ENSG00000233491	pseudogene
HGNC:53742	CDHR18P			ENSG00000224479	pseudogene
HGNC:26929	CDIN1	C15orf41	HH114, MGC11326, FLJ22851	ENSG00000186073	protein-coding gene
HGNC:13234	CDIP1	C16orf5	CDIP, LITAFL	ENSG00000089486	protein-coding gene
HGNC:1769	CDIPT		PIS1, PIS	ENSG00000103502	protein-coding gene
HGNC:48609	CDIPTOSP	CDIPT-AS1	lnc-CTHCC	ENSG00000214725	pseudogene
HGNC:1722	CDK1	CDC2	CDC28A	ENSG00000170312	protein-coding gene
HGNC:1771	CDK2			ENSG00000123374	protein-coding gene
HGNC:14002	CDK2AP1		DORC1, doc-1, DOC1, ST19, p12DOC-1	ENSG00000111328	protein-coding gene
HGNC:56493	CDK2AP1P1			ENSG00000240774	pseudogene
HGNC:30833	CDK2AP2		DOC-1R, p14	ENSG00000167797	protein-coding gene
HGNC:38492	CDK2AP2P1			ENSG00000278647	pseudogene
HGNC:38493	CDK2AP2P2			ENSG00000237451	pseudogene
HGNC:38494	CDK2AP2P3			ENSG00000226020	pseudogene
HGNC:1772	CDK3			ENSG00000250506	protein-coding gene
HGNC:1773	CDK4		PSK-J3	ENSG00000135446	protein-coding gene
HGNC:19040	CDK4P1	CDK4PS		ENSG00000225036	pseudogene
HGNC:1774	CDK5		PSSALRE	ENSG00000164885	protein-coding gene
HGNC:21261	CDK5P1	CDK5PS		ENSG00000235165	pseudogene
HGNC:1775	CDK5R1		p35nck5a, Nck5a, p35	ENSG00000176749	protein-coding gene
HGNC:1776	CDK5R2		p39nck5ai, P39, NCK5AI	ENSG00000171450	protein-coding gene
HGNC:55677	CDK5R2-AS1	LINC01494		ENSG00000235024	non-coding RNA
HGNC:15880	CDK5RAP1	C20orf34	CGI-05, HSPC167, C42	ENSG00000101391	protein-coding gene
HGNC:18672	CDK5RAP2	MCPH3	C48, FLJ10867, CEP215	ENSG00000136861	protein-coding gene
HGNC:18673	CDK5RAP3		MST016, FLJ13660, C53, IC53, HSF-27, OK/SW-cl.114, LZAP	ENSG00000108465	protein-coding gene
HGNC:56953	CDK5RAP3P1			ENSG00000224628	pseudogene
HGNC:1777	CDK6		PLSTIRE	ENSG00000105810	protein-coding gene
HGNC:40141	CDK6-AS1		BALR-2, AC002454.1	ENSG00000237819	non-coding RNA
HGNC:1778	CDK7		CAK1, CDKN7, MO15, STK1, CAK	ENSG00000134058	protein-coding gene
HGNC:18614	CDK7P1	CDK7PS		ENSG00000213194	pseudogene
HGNC:1779	CDK8		K35	ENSG00000132964	protein-coding gene
HGNC:18995	CDK8P1	CDK8PS		ENSG00000230044	pseudogene
HGNC:52296	CDK8P2			ENSG00000227368	pseudogene
HGNC:1780	CDK9	CDC2L4	PITALRE, C-2k, TAK	ENSG00000136807	protein-coding gene
HGNC:1770	CDK10		PISSLRE	ENSG00000185324	protein-coding gene
HGNC:1730	CDK11A	CDC2L3, CDC2L2	PITSLRE, CDK11-p110, CDK11-p58, CDK11-p46, p58GTA	ENSG00000008128	protein-coding gene
HGNC:1729	CDK11B	CDC2L1	CDK11-p110, CDK11-p58, CDK11-p46	ENSG00000248333	protein-coding gene
HGNC:24224	CDK12	CRKRS	CRK7, CRKR, KIAA0904	ENSG00000167258	protein-coding gene
HGNC:1733	CDK13	CDC2L5	CHED, CDC2L, KIAA1791	ENSG00000065883	protein-coding gene
HGNC:55407	CDK13-DT		AC072061.1	ENSG00000259826	non-coding RNA
HGNC:8883	CDK14	PFTK1	PFTAIRE1	ENSG00000058091	protein-coding gene
HGNC:14434	CDK15	ALS2CR7, PFTK2	PFTAIRE2	ENSG00000138395	protein-coding gene
HGNC:8749	CDK16	PCTK1	PCTAIRE, PCTAIRE1, PCTGAIRE, FLJ16665	ENSG00000102225	protein-coding gene
HGNC:8750	CDK17	PCTK2	PCTAIRE2	ENSG00000059758	protein-coding gene
HGNC:8751	CDK18	PCTK3	PCTAIRE3	ENSG00000117266	protein-coding gene
HGNC:19338	CDK19	CDK11, CDC2L6	KIAA1028, bA346C16.3	ENSG00000155111	protein-coding gene
HGNC:21420	CDK20	CCRK	p42, PNQALRE	ENSG00000156345	protein-coding gene
