HGNC ID	Approved symbol	Previous symbols	Alias symbols	Ensembl gene ID	Locus group
HGNC:41	ABCB10		EST20237, M-ABC2, MTABC2	ENSG00000135776	protein-coding gene
HGNC:14114	ABCB10P1	ABCB10P, ABCB10P2	M-ABC2, MABC2	ENSG00000274099	pseudogene
HGNC:31129	ABCB10P3			ENSG00000261524	pseudogene
HGNC:31130	ABCB10P4			ENSG00000260053	pseudogene
HGNC:42	ABCB11	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4	ENSG00000073734	protein-coding gene
HGNC:51	ABCC1	MRP, MRP1	GS-X	ENSG00000103222	protein-coding gene
HGNC:53	ABCC2	CMOAT	DJS, MRP2, cMRP	ENSG00000023839	protein-coding gene
HGNC:54	ABCC3		MRP3, cMOAT2, EST90757, MLP2, MOAT-D	ENSG00000108846	protein-coding gene
HGNC:55	ABCC4		MRP4, EST170205, MOAT-B, MOATB	ENSG00000125257	protein-coding gene
HGNC:56	ABCC5		MRP5, SMRP, EST277145, MOAT-C	ENSG00000114770	protein-coding gene
HGNC:40055	ABCC5-AS1			ENSG00000223882	non-coding RNA
HGNC:57	ABCC6	ARA, PXE	MRP6, EST349056, MLP1, URG7	ENSG00000091262	protein-coding gene
HGNC:33352	ABCC6P1			ENSG00000256340	pseudogene
HGNC:33353	ABCC6P2			ENSG00000255277	pseudogene
HGNC:59	ABCC8	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	ENSG00000006071	protein-coding gene
HGNC:60	ABCC9		SUR2, CMD1O	ENSG00000069431	protein-coding gene
HGNC:52	ABCC10		EST182763, MRP7, SIMRP7	ENSG00000124574	protein-coding gene
HGNC:14639	ABCC11		MRP8	ENSG00000121270	protein-coding gene
HGNC:14640	ABCC12		MRP9	ENSG00000140798	protein-coding gene
HGNC:16022	ABCC13		PRED6, C21orf73, ABCC13P	ENSG00000243064	pseudogene
HGNC:61	ABCD1	ALD	AMN, ALDP, adrenoleukodystrophy	ENSG00000101986	protein-coding gene
HGNC:62	ABCD1P1				pseudogene
HGNC:63	ABCD1P2		bA453N3.6	ENSG00000215151	pseudogene
HGNC:64	ABCD1P3			ENSG00000261233	pseudogene
HGNC:65	ABCD1P4			ENSG00000225293	pseudogene
HGNC:42662	ABCD1P5			ENSG00000214330	pseudogene
HGNC:66	ABCD2	ALDL1	ALDR, ALDRP	ENSG00000173208	protein-coding gene
HGNC:67	ABCD3	PXMP1	PMP70, ZWS2	ENSG00000117528	protein-coding gene
HGNC:68	ABCD4	PXMP1L	PMP69, P70R, EST352188	ENSG00000119688	protein-coding gene
HGNC:69	ABCE1	RNASEL1, RNASELI, RNS4I	RLI, OABP, RLI1	ENSG00000164163	protein-coding gene
HGNC:58656	ABCE1P1		ABCE1P2	ENSG00000224785	pseudogene
HGNC:58657	ABCE1P2			ENSG00000226723	pseudogene
HGNC:58658	ABCE1P3			ENSG00000236792	pseudogene
HGNC:70	ABCF1	ABC50	EST123147	ENSG00000204574	protein-coding gene
HGNC:53628	ABCF1-DT				non-coding RNA
HGNC:71	ABCF2		EST133090, ABC28, M-ABC1, HUSSY-18	ENSG00000033050	protein-coding gene
