hpa_name,model_id,cvcl_id,deprecation_status,resolution_method
537-mel,,cvcl_8052,,hpa_only_no_depmap_equivalent
624-mel,,cvcl_8054,,hpa_only_no_depmap_equivalent
888-mel,,cvcl_4632,,hpa_only_no_depmap_equivalent
af22,,cvcl_a5cw,,hpa_only_no_depmap_equivalent
asc52telo,,cvcl_u602,,hpa_only_no_depmap_equivalent
bewo,,cvcl_0044,,hpa_only_no_depmap_equivalent
bj [human fibroblast],,cvcl_3653,,hpa_only_no_depmap_equivalent
bjab,,cvcl_5711,,hpa_only_no_depmap_equivalent
c170,,cvcl_s959,,hpa_only_no_depmap_equivalent
ccrf-sb,,cvcl_1860,,hpa_only_no_depmap_equivalent
colo 206f,,cvcl_1988,,hpa_only_no_depmap_equivalent
colo 320dm,,cvcl_0219,,hpa_only_no_depmap_equivalent
colo 699,,cvcl_1992,,hpa_only_no_depmap_equivalent
cor-l26,,cvcl_2410,,hpa_only_no_depmap_equivalent
cov413b,,cvcl_2423,,hpa_only_no_depmap_equivalent
deoc-1,,cvcl_4161,,hpa_only_no_depmap_equivalent
fhdf/tert166,,cvcl_gz73,,hpa_only_no_depmap_equivalent
gtl-16,,cvcl_7668,,hpa_only_no_depmap_equivalent
hacat,,cvcl_0038,,hpa_only_no_depmap_equivalent
hbec3-kt,,cvcl_x491,,hpa_only_no_depmap_equivalent
hbf/tert88,,cvcl_9q52,,hpa_only_no_depmap_equivalent
hca7,,cvcl_0289,,hpa_only_no_depmap_equivalent
hcc1011,,cvcl_v675,,hpa_only_no_depmap_equivalent
hcc1162,,cvcl_v651,,hpa_only_no_depmap_equivalent
hcc1263,,cvcl_v686,,hpa_only_no_depmap_equivalent
hcc1319,,cvcl_v671,,hpa_only_no_depmap_equivalent
hcc1482,,cvcl_v591,,hpa_only_no_depmap_equivalent
hcc1493,,cvcl_v592,,hpa_only_no_depmap_equivalent
hcc1534,,cvcl_v595,,hpa_only_no_depmap_equivalent
hcc1576,,cvcl_v597,,hpa_only_no_depmap_equivalent
hcc193,,cvcl_5130,,hpa_only_no_depmap_equivalent
hcc2270,,cvcl_v635,,hpa_only_no_depmap_equivalent
hcc2302,,cvcl_v636,,hpa_only_no_depmap_equivalent
hcc2885,,cvcl_v588,,hpa_only_no_depmap_equivalent
hcc2911,,cvcl_0v16,,hpa_only_no_depmap_equivalent
hcc4011,,cvcl_s700,,hpa_only_no_depmap_equivalent
hcc4017,,cvcl_v579,,hpa_only_no_depmap_equivalent
hcc630,,cvcl_v729,,hpa_only_no_depmap_equivalent
hcc89,,cvcl_v731,,hpa_only_no_depmap_equivalent
hek293,,cvcl_0045,,hpa_only_no_depmap_equivalent
hmc-1,,cvcl_0003,,hpa_only_no_depmap_equivalent
hs 38.t,,cvcl_0735,,hpa_only_no_depmap_equivalent
htcepi,,cvcl_aq44,,hpa_only_no_depmap_equivalent
htec/svtert24-b,,cvcl_jm27,,hpa_only_no_depmap_equivalent
htert-hme1,,cvcl_3383,,hpa_only_no_depmap_equivalent
htert-rpe1,,cvcl_4388,,hpa_only_no_depmap_equivalent
huvec/tert2,,cvcl_9q53,,hpa_only_no_depmap_equivalent
jj012,,cvcl_d605,,hpa_only_no_depmap_equivalent
jurkat e6.1,,cvcl_0367,,hpa_only_no_depmap_equivalent
karpas-707,,cvcl_0010,,hpa_only_no_depmap_equivalent
kpl-4,,cvcl_5310,,hpa_only_no_depmap_equivalent
lhcn-m2,,cvcl_8890,,hpa_only_no_depmap_equivalent
lncap,,cvcl_0395,,hpa_only_no_depmap_equivalent
lxfl 529l,,cvcl_d085,,hpa_only_no_depmap_equivalent
mda-mb-435,,cvcl_0417,,hpa_only_no_depmap_equivalent
mel 928,,cvcl_c694,,hpa_only_no_depmap_equivalent
mor,,cvcl_2618,,hpa_only_no_depmap_equivalent
nce-g 111,,cvcl_n739,,hpa_only_no_depmap_equivalent
nce-g 118,,cvcl_n741,,hpa_only_no_depmap_equivalent
nce-g 120,,cvcl_n742,,hpa_only_no_depmap_equivalent
nce-g 121,,cvcl_n743,,hpa_only_no_depmap_equivalent
nce-g 122,,cvcl_n744,,hpa_only_no_depmap_equivalent
nce-g 124,,cvcl_n746,,hpa_only_no_depmap_equivalent
nce-g 130,,cvcl_n747,,hpa_only_no_depmap_equivalent
nce-g 140,,cvcl_n748,,hpa_only_no_depmap_equivalent
nce-g 22,,cvcl_n723,,hpa_only_no_depmap_equivalent
nce-g 28t,,cvcl_0v15,,hpa_only_no_depmap_equivalent
nce-g 44,,cvcl_n727,,hpa_only_no_depmap_equivalent
nce-g 59,,cvcl_n729,,hpa_only_no_depmap_equivalent
nce-g 61,,cvcl_n731,,hpa_only_no_depmap_equivalent
nce-g 84,,cvcl_n735,,hpa_only_no_depmap_equivalent
nci-h1882,,cvcl_1504,,hpa_only_no_depmap_equivalent
nci-h2077,,cvcl_5157,,hpa_only_no_depmap_equivalent
nci-h2198,,cvcl_1540,,hpa_only_no_depmap_equivalent
nci-h2596,,cvcl_a546,,hpa_only_no_depmap_equivalent
nci-h820,,cvcl_1592,,hpa_only_no_depmap_equivalent
nci-h920,,cvcl_1599,,hpa_only_no_depmap_equivalent
nci-n417,,cvcl_1602,,hpa_only_no_depmap_equivalent
ntera-2,,cvcl_0034,,hpa_only_no_depmap_equivalent
okajima,,cvcl_9815,,hpa_only_no_depmap_equivalent
ovca432,,cvcl_3769,,hpa_only_no_depmap_equivalent
pk-45p,,cvcl_6749,,hpa_only_no_depmap_equivalent
podo/svtert152,,cvcl_b5st,,hpa_only_no_depmap_equivalent
podo/tert256,,cvcl_jl76,,hpa_only_no_depmap_equivalent
rerf-lc-ok,,cvcl_3154,,hpa_only_no_depmap_equivalent
rptec/tert1,,cvcl_k278,,hpa_only_no_depmap_equivalent
sk-mel-23,,cvcl_6027,,hpa_only_no_depmap_equivalent
snu-484,,cvcl_0100,,hpa_only_no_depmap_equivalent
time,,cvcl_0047,,hpa_only_no_depmap_equivalent
tmd8,,cvcl_a442,,hpa_only_no_depmap_equivalent
u-2197,,cvcl_0043,,hpa_only_no_depmap_equivalent
u-266/70,,cvcl_0015,,hpa_only_no_depmap_equivalent
u-266/84,,cvcl_0016,,hpa_only_no_depmap_equivalent
u-2932,,cvcl_1896,,hpa_only_no_depmap_equivalent
ucsd-242l,,cvcl_m009,,hpa_only_no_depmap_equivalent
uke-1,,cvcl_0104,,hpa_only_no_depmap_equivalent
wsu-fsccl,,cvcl_1903,,hpa_only_no_depmap_equivalent
